"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT","TOTAL_COUNT"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -ALL Students","218","87.9","248"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Active Duty","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -American Indian/Alaskan","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Asian/Pacific Islander","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Black","58","86.57","67"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Economically Disadvantaged","218","87.9","248"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Female","118","93.65","126"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Foster","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Hispanic","25","100","25"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Homeless","TFS","TFS","TFS"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Male","100","81.97","122"
"2020-21","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Migrant","13","100","13"
