LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2018-19,601,Appling County,103,Appling County High School,ALL Subjects,79,92,37
2018-19,601,Appling County,103,Appling County High School,Biology,12,12,7
2018-19,601,Appling County,103,Appling County High School,Calculus A,TFS,,
2018-19,601,Appling County,103,Appling County High School,Computer Science Principles,TFS,,
2018-19,601,Appling County,103,Appling County High School,Eng. Literature & Comp,10,10,3
2018-19,601,Appling County,103,Appling County High School,Geography: Human,30,30,7
2018-19,601,Appling County,103,Appling County High School,Music Theory,TFS,,
2018-19,601,Appling County,103,Appling County High School,Physics 1,TFS,,
2018-19,601,Appling County,103,Appling County High School,Psychology,23,23,13
2018-19,601,Appling County,103,Appling County High School,Spanish Language,TFS,,
2018-19,601,Appling County,103,Appling County High School,U.S. History,TFS,,
2018-19,601,Appling County,103,Appling County High School,World History,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,79,92,37
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Biology,12,12,7
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Computer Science Principles,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,10,10,3
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,30,30,7
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Music Theory,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Psychology,23,23,13
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2018-19,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,World History,TFS,,
2018-19,602,Atkinson County,103,Atkinson County High School,ALL Subjects,29,37,8
2018-19,602,Atkinson County,103,Atkinson County High School,Biology,17,17,6
2018-19,602,Atkinson County,103,Atkinson County High School,Eng. Literature & Comp,20,20,2
2018-19,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,29,37,8
2018-19,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Biology,17,17,6
2018-19,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,20,20,2
2018-19,603,Bacon County,302,Bacon County High School,ALL Subjects,TFS,,
2018-19,603,Bacon County,302,Bacon County High School,Computer Science Principles,TFS,,
2018-19,603,Bacon County,302,Bacon County High School,World History,TFS,,
2018-19,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,TFS,,
2018-19,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Computer Science Principles,TFS,,
2018-19,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,World History,TFS,,
2018-19,605,Baldwin County,189,Baldwin High School,ALL Subjects,33,46,13
2018-19,605,Baldwin County,189,Baldwin High School,Art: Studio 2-D Design,TFS,,
2018-19,605,Baldwin County,189,Baldwin High School,Biology,TFS,,
2018-19,605,Baldwin County,189,Baldwin High School,Computer Science A,TFS,,
2018-19,605,Baldwin County,189,Baldwin High School,Environmental Science,15,15,3
2018-19,605,Baldwin County,189,Baldwin High School,Psychology,TFS,,
