"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2019-20","601","Appling County","0103","Appling County High School","ALL Subjects","51","57","22"
"2019-20","601","Appling County","0103","Appling County High School","Biology","TFS","TFS","TFS"
"2019-20","601","Appling County","0103","Appling County High School","Calculus A","TFS","TFS","TFS"
"2019-20","601","Appling County","0103","Appling County High School","Eng. Language & Comp","TFS","TFS","TFS"
"2019-20","601","Appling County","0103","Appling County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"2019-20","601","Appling County","0103","Appling County High School","Geography: Human","12","12","5"
"2019-20","601","Appling County","0103","Appling County High School","Psychology","31","31","11"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","51","57","22"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Biology","TFS","TFS","TFS"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","TFS","TFS","TFS"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","TFS","TFS","TFS"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","TFS","TFS","TFS"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","12","12","5"
"2019-20","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Psychology","31","31","11"
"2019-20","602","Atkinson County","0103","Atkinson County High School","ALL Subjects","12","12","3"
"2019-20","602","Atkinson County","0103","Atkinson County High School","Eng. Literature & Comp","12","12","3"
"2019-20","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","12","12","3"
"2019-20","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","12","12","3"
"2019-20","605","Baldwin County","0189","Baldwin High School","ALL Subjects","19","19","7"
"2019-20","605","Baldwin County","0189","Baldwin High School","Environmental Science","19","19","7"
"2019-20","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","19","19","7"
"2019-20","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","19","19","7"
"2019-20","606","Banks County","0199","Banks County High School","ALL Subjects","26","26","14"
"2019-20","606","Banks County","0199","Banks County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"2019-20","606","Banks County","0199","Banks County High School","U.S. History","TFS","TFS","TFS"
"2019-20","606","Banks County","0199","Banks County High School","World History","16","16","10"
"2019-20","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","26","26","14"
"2019-20","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","TFS","TFS","TFS"
"2019-20","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","TFS","TFS","TFS"
"2019-20","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","World History","16","16","10"
"2019-20","607","Barrow County","0101","Apalachee High School","ALL Subjects","217","371","207"
"2019-20","607","Barrow County","0101","Apalachee High School","Biology","48","48","19"
"2019-20","607","Barrow County","0101","Apalachee High School","Calculus A","20","20","15"
"2019-20","607","Barrow County","0101","Apalachee High School","Calculus BC","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Capstone","15","15","12"
"2019-20","607","Barrow County","0101","Apalachee High School","Capstone Research","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Chemistry","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Computer Science A","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Economics: Micro","46","46","20"
"2019-20","607","Barrow County","0101","Apalachee High School","Eng. Language & Comp","57","57","25"
"2019-20","607","Barrow County","0101","Apalachee High School","Eng. Literature & Comp","22","22","14"
"2019-20","607","Barrow County","0101","Apalachee High School","Gov. & Pol. U.S.","18","18","15"
"2019-20","607","Barrow County","0101","Apalachee High School","Physics 1","17","17","11"
"2019-20","607","Barrow County","0101","Apalachee High School","Physics C: Mechanics","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Psychology","TFS","TFS","TFS"
"2019-20","607","Barrow County","0101","Apalachee High School","Spanish Language","11","11","11"
"2019-20","607","Barrow County","0101","Apalachee High School","Statistics","15","15","12"
"2019-20","607","Barrow County","0101","Apalachee High School","U.S. History","30","30","22"
"2019-20","607","Barrow County","0101","Apalachee High School","World History","46","46","15"
"2019-20","607","Barrow County","3052","Winder-Barrow High School","ALL Subjects","171","287","133"
"2019-20","607","Barrow County","3052","Winder-Barrow High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"2019-20","607","Barrow County","3052","Winder-Barrow High School","Biology","TFS","TFS","TFS"
"2019-20","607","Barrow County","3052","Winder-Barrow High School","Calculus A","20","20","9"
"2019-20","607","Barrow County","3052","Winder-Barrow High School","Calculus BC","TFS","TFS","TFS"
