"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2020-21","Appling County","Altamaha Elementary School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Appling County","Altamaha Elementary School","Teachers","Total","26.3","TFS","19"
"2020-21","Appling County","Appling County Elementary School","Leaders","Not Applicable","TFS","TFS","100"
"2020-21","Appling County","Appling County Elementary School","Teachers","Total","45.9","13","28"
"2020-21","Appling County","Appling County High School","Leaders","Not Applicable","TFS","TFS","20"
"2020-21","Appling County","Appling County High School","Teachers","Total","55.4","15.8","28"
"2020-21","Appling County","Appling County Middle School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Appling County","Appling County Middle School","Teachers","Total","57.9","21.5","37"
"2020-21","Appling County","Appling County Primary School","Leaders","Not Applicable","TFS","TFS","50"
"2020-21","Appling County","Appling County Primary School","Teachers","Total","51.2","16.1","32"
"2020-21","Appling County","Appling County- All Schools","Leaders","Total","10.5","TFS","33"
"2020-21","Appling County","Appling County- All Schools","Teachers","Total","249.9","65.4","26"
"2020-21","Appling County","Fourth District Elementary School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Appling County","Fourth District Elementary School","Teachers","Total","13.2","TFS","23"
"2020-21","Atkinson County","Atkinson County High School","Leaders","Not Applicable","TFS","TFS","50"
"2020-21","Atkinson County","Atkinson County High School","Teachers","Total","29.3","14.5","49"
"2020-21","Atkinson County","Atkinson County Middle School","Leaders","Not Applicable","TFS","TFS","65"
"2020-21","Atkinson County","Atkinson County Middle School","Teachers","Total","25.5","10.2","40"
"2020-21","Atkinson County","Atkinson County- All Schools","Leaders","Total","TFS","TFS","35"
"2020-21","Atkinson County","Atkinson County- All Schools","Teachers","Total","107","39","36"
"2020-21","Atkinson County","Pearson Elementary School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Atkinson County","Pearson Elementary School","Teachers","Total","40.6","14","34"
"2020-21","Atkinson County","Willacoochee Elementary School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Atkinson County","Willacoochee Elementary School","Teachers","Total","11.6","TFS","26"
