"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2018-19","Appling County","Altamaha Elementary School","Leaders","High Poverty",1,0,0
"2018-19","Appling County","Altamaha Elementary School","Teachers","Total",29.2,7,24
"2018-19","Appling County","Appling County Elementary School","Leaders","High Poverty",2,0,0
"2018-19","Appling County","Appling County Elementary School","Teachers","Total",45.9,15,33
"2018-19","Appling County","Appling County High School","Leaders","High Poverty",2,0,0
"2018-19","Appling County","Appling County High School","Teachers","Total",69.2,26.3,38
"2018-19","Appling County","Appling County Middle School","Leaders","High Poverty",2,0,0
"2018-19","Appling County","Appling County Middle School","Teachers","Total",57.9,23.5,41
"2018-19","Appling County","Appling County Primary School","Leaders","High Poverty",2,1,50
"2018-19","Appling County","Appling County Primary School","Teachers","Total",54.2,17,31
"2018-19","Appling County","Appling County- All Schools","Leaders","High Poverty",10,2,20
"2018-19","Appling County","Appling County- All Schools","Leaders","Total",10,2,20
"2018-19","Appling County","Appling County- All Schools","Teachers","Total",271.7,77.7,29
"2018-19","Appling County","Fourth District Elementary School","Leaders","High Poverty",1,1,100
"2018-19","Appling County","Fourth District Elementary School","Teachers","Total",15.3,5.5,36
"2018-19","Atkinson County","Atkinson County High School","Leaders","Not Applicable",2.2,1,45
"2018-19","Atkinson County","Atkinson County High School","Teachers","Total",34,16.7,49
"2018-19","Atkinson County","Atkinson County Middle School","Leaders","Not Applicable",2.3,0,0
"2018-19","Atkinson County","Atkinson County Middle School","Teachers","Total",28,12.9,46
"2018-19","Atkinson County","Atkinson County- All Schools","Leaders","High Poverty",1,0,0
"2018-19","Atkinson County","Atkinson County- All Schools","Leaders","Total",7.7,3.2,42
"2018-19","Atkinson County","Atkinson County- All Schools","Teachers","Total",128.5,44.6,35
"2018-19","Atkinson County","Pearson Elementary School","Leaders","Not Applicable",2.2,2.2,100
"2018-19","Atkinson County","Pearson Elementary School","Teachers","Total",50.2,16.6,33
"2018-19","Atkinson County","Willacoochee Elementary School","Leaders","High Poverty",1,0,0
