"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","OUTOFFIELD_FTE","OUTOFFIELD_FTE_PCT"
"2019-20","Appling County","Altamaha Elementary School","Teachers","Total",27.3,1,4
"2019-20","Appling County","Appling County Elementary School","Teachers","Total",44.9,1,2
"2019-20","Appling County","Appling County High School","Teachers","Total",55.7,2,4
"2019-20","Appling County","Appling County Middle School","Teachers","Total",53.9,0,0
"2019-20","Appling County","Appling County Primary School","Teachers","Total",48.2,0,0
"2019-20","Appling County","Appling County- All Schools","Teachers","Total",242.1,4,2
"2019-20","Appling County","Fourth District Elementary School","Teachers","Total",12.2,0,0
"2019-20","Atkinson County","Atkinson County High School","Teachers","Total",31.5,3,10
"2019-20","Atkinson County","Atkinson County Middle School","Teachers","Total",25.4,1,4
"2019-20","Atkinson County","Atkinson County- All Schools","Teachers","Total",114.5,4,3
"2019-20","Atkinson County","Pearson Elementary School","Teachers","Total",44,0,0
"2019-20","Atkinson County","Willacoochee Elementary School","Teachers","Total",13.6,0,0
"2019-20","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",27.1,1,4
"2019-20","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",57.8,16,28
"2019-20","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",57.8,16,28
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",33,7,21
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",33,7,21
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",23,6,26
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",23,6,26
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",315.9,68.1,22
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",113.8,29,25
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",3879,251.2,6
"2019-20","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",35,3,9
"2019-20","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",24.9,1,4
"2019-20","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",32,0,0
"2019-20","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",26.5,1,4
"2019-20","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",27.2,0,0
"2019-20","Atlanta Public Schools","Bolton Academy","Teachers","Total",43,2,5
"2019-20","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",52.2,4,8
"2019-20","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",35.3,0,0
"2019-20","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",66,1,2
"2019-20","Atlanta Public Schools","Brown Middle School","Teachers","Total",31.2,1,3
"2019-20","Atlanta Public Schools","Bunche Middle School","Teachers","Total",60.1,0,0
"2019-20","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",39,0,0
"2019-20","Atlanta Public Schools","Carver High School","Teachers","Total",40.5,4.5,11
"2019-20","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",31.8,0,0
"2019-20","Atlanta Public Schools","Centennial Academy","Teachers","Total",58,4,7
"2019-20","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",78.5,2.5,3
"2019-20","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",75,1,1
"2019-20","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",28.6,0,0
"2019-20","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",33.7,0,0
"2019-20","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",37.7,1,3
"2019-20","Atlanta Public Schools","Crim High School","Teachers","Total",16.3,0,0
"2019-20","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",46.5,3,6
"2019-20","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",33.9,1,3
"2019-20","Atlanta Public Schools","Douglass High School","Teachers","Total",67.3,4,6
"2019-20","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",26,1,4
"2019-20","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",35.6,2,6
"2019-20","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",19.5,0,0
"2019-20","Atlanta Public Schools","Fickett Elementary School","Teachers","Total",38.2,0,0
"2019-20","Atlanta Public Schools","Finch Elementary","Teachers","Total",35,1,3
"2019-20","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total",44,0,0
"2019-20","Atlanta Public Schools","Gideons Elementary School","Teachers","Total",42,7,17
"2019-20","Atlanta Public Schools","Grady High School","Teachers","Total",87.2,2,2
"2019-20","Atlanta Public Schools","Harper-Archer Elementary School","Teachers","Total",49.8,1,2
"2019-20","Atlanta Public Schools","Heritage Academy Elementary","Teachers","Total",31.2,2,6
"2019-20","Atlanta Public Schools","Hillside Conant School","Teachers","High Poverty",11,2,18
"2019-20","Atlanta Public Schools","Hillside Conant School","Teachers","Total",11,2,18
"2019-20","Atlanta Public Schools","Humphries Elementary School","Teachers","Total",24.1,0,0
"2019-20","Atlanta Public Schools","Hutchinson Elementary School","Teachers","Total",33.6,1,3
"2019-20","Atlanta Public Schools","Inman Middle School","Teachers","Total",72,0,0
"2019-20","Atlanta Public Schools","Jackson Elementary School","Teachers","Total",51.3,0.4,1
"2019-20","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","Total",61,3,5
"2019-20","Atlanta Public Schools","KIPP Atlanta Collegiate Academy","Teachers","High Poverty",52.3,5.6,11
"2019-20","Atlanta Public Schools","KIPP Atlanta Collegiate Academy","Teachers","Total",52.3,5.6,11
"2019-20","Atlanta Public Schools","KIPP Soul Primary","Teachers","High Poverty",9,4,44
"2019-20","Atlanta Public Schools","KIPP Soul Primary","Teachers","Total",9,4,44
"2019-20","Atlanta Public Schools","KIPP Strive Primary","Teachers","High Poverty",26,5,19
"2019-20","Atlanta Public Schools","KIPP Strive Primary","Teachers","Total",26,5,19
"2019-20","Atlanta Public Schools","KIPP VISION","Teachers","High Poverty",21.4,10,47
"2019-20","Atlanta Public Schools","KIPP VISION","Teachers","Total",21.4,10,47
"2019-20","Atlanta Public Schools","KIPP Vision Primary","Teachers","High Poverty",30,7.5,25
"2019-20","Atlanta Public Schools","KIPP Vision Primary","Teachers","Total",30,7.5,25
"2019-20","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","High Poverty",23.3,4,17
"2019-20","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","Total",23.3,4,17
"2019-20","Atlanta Public Schools","Kimberly Elementary School","Teachers","Total",33.4,0,0
"2019-20","Atlanta Public Schools","Kindezi","Teachers","Total",67,7,10
"2019-20","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","Total",70,14,20
"2019-20","Atlanta Public Schools","King Middle School","Teachers","Total",60,2,3
