LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2018-19,601,Appling County,103,Appling County High School,222,94,42.34
2018-19,601,Appling County,ALL,All Schools,222,94,42.34
2018-19,602,Atkinson County,103,Atkinson County High School,106,51,48.11
2018-19,602,Atkinson County,ALL,All Schools,106,51,48.11
2018-19,603,Bacon County,302,Bacon County High School,148,58,39.19
2018-19,603,Bacon County,ALL,All Schools,148,58,39.19
2018-19,604,Baker County,105,Baker County K12 School,22,TFS,36.36
2018-19,604,Baker County,ALL,All Schools,22,TFS,36.36
2018-19,605,Baldwin County,189,Baldwin High School,270,89,32.96
2018-19,605,Baldwin County,ALL,All Schools,270,89,32.96
2018-19,606,Banks County,199,Banks County High School,172,86,50
2018-19,606,Banks County,ALL,All Schools,172,86,50
2018-19,607,Barrow County,101,Apalachee High School,410,167,40.73
2018-19,607,Barrow County,3052,Winder-Barrow High School,408,165,40.44
2018-19,607,Barrow County,ALL,All Schools,818,332,40.59
2018-19,608,Bartow County,105,Adairsville High School,204,103,50.49
2018-19,608,Bartow County,114,Cass High School,356,201,56.46
2018-19,608,Bartow County,198,Woodland High School,331,153,46.22
2018-19,608,Bartow County,ALL,All Schools,891,457,51.29
2018-19,609,Ben Hill County,291,Fitzgerald High School,200,82,41
2018-19,609,Ben Hill County,ALL,All Schools,200,82,41
2018-19,610,Berrien County,101,Berrien High School,174,76,43.68
2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,22,TFS,13.64
2018-19,610,Berrien County,ALL,All Schools,196,79,40.31
2018-19,611,Bibb County,105,Howard High School,256,65,25.39
2018-19,611,Bibb County,117,Academy For Classical Education,64,45,70.31
2018-19,611,Bibb County,186,Central High School,220,70,31.82
2018-19,611,Bibb County,198,Westside High School,229,50,21.83
2018-19,611,Bibb County,204,Rutland High School,234,79,33.76
2018-19,611,Bibb County,286,Northeast High School,163,51,31.29
2018-19,611,Bibb County,386,Southwest High School,178,29,16.29
2018-19,611,Bibb County,ALL,All Schools,1344,389,28.94
2018-19,612,Bleckley County,105,Bleckley County High School,154,82,53.25
2018-19,612,Bleckley County,115,Bleckley County Success Academy,24,,
2018-19,612,Bleckley County,ALL,All Schools,178,82,46.07
2018-19,613,Brantley County,1050,Brantley County High School,210,98,46.67
2018-19,613,Brantley County,ALL,All Schools,210,98,46.67
2018-19,614,Brooks County,110,Brooks County High School,112,35,31.25
2018-19,614,Brooks County,394,Delta Innovative School,31,TFS,6.45
2018-19,614,Brooks County,ALL,All Schools,143,37,25.87
2018-19,615,Bryan County,182,Richmond Hill High School,516,244,47.29
2018-19,615,Bryan County,502,Bryan County High School,140,46,32.86
2018-19,615,Bryan County,ALL,All Schools,656,290,44.21
2018-19,616,Bulloch County,203,Southeast Bulloch High School,234,99,42.31
2018-19,616,Bulloch County,2054,Statesboro High School,343,162,47.23
2018-19,616,Bulloch County,4052,Portal Middle/High School,56,27,48.21
2018-19,616,Bulloch County,ALL,All Schools,633,288,45.5
2018-19,617,Burke County,288,Burke County High School,258,76,29.46
2018-19,617,Burke County,ALL,All Schools,258,76,29.46
2018-19,618,Butts County,190,Jackson High School,213,81,38.03
2018-19,618,Butts County,ALL,All Schools,213,81,38.03
2018-19,619,Calhoun County,113,Calhoun County High School,45,10,22.22
2018-19,619,Calhoun County,ALL,All Schools,45,10,22.22
2018-19,620,Camden County,295,Camden County High School,556,254,45.68
2018-19,620,Camden County,ALL,All Schools,556,254,45.68
2018-19,621,Candler County,101,Metter High School,117,56,47.86
2018-19,621,Candler County,ALL,All Schools,117,56,47.86
2018-19,622,Carroll County,189,Temple High School,145,70,48.28
2018-19,622,Carroll County,212,Mt. Zion High School,104,60,57.69
2018-19,622,Carroll County,2052,Central High School,278,146,52.52
2018-19,622,Carroll County,3050,Bowdon High School,79,35,44.3
2018-19,622,Carroll County,5054,Villa Rica High School,375,173,46.13
2018-19,622,Carroll County,ALL,All Schools,981,484,49.34
2018-19,623,Catoosa County,109,Heritage High School,279,130,46.59
2018-19,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,213,70,32.86
2018-19,623,Catoosa County,4052,Ringgold High School,230,139,60.43
2018-19,623,Catoosa County,ALL,All Schools,722,339,46.95
2018-19,624,Charlton County,287,Charlton County High School,111,44,39.64
2018-19,624,Charlton County,ALL,All Schools,111,44,39.64
2018-19,625,Savannah-Chatham County,101,Johnson High School,173,33,19.08
2018-19,625,Savannah-Chatham County,115,Woodville-Tompkins Technical and Career High School,148,80,54.05
2018-19,625,Savannah-Chatham County,117,New Hampstead High School,321,109,33.96
2018-19,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,96,14,14.58
2018-19,625,Savannah-Chatham County,411,Islands High School,236,104,44.07
2018-19,625,Savannah-Chatham County,499,Savannah Arts Academy,220,170,77.27
2018-19,625,Savannah-Chatham County,513,Savannah Early College High School,55,41,74.55
2018-19,625,Savannah-Chatham County,2052,Beach High School,188,40,21.28
2018-19,625,Savannah-Chatham County,3056,Groves High School,165,16,9.7
2018-19,625,Savannah-Chatham County,5060,Jenkins High School,190,56,29.47
2018-19,625,Savannah-Chatham County,5070,Windsor Forest High School,251,62,24.7
2018-19,625,Savannah-Chatham County,ALL,All Schools,2043,725,35.49
2018-19,626,Chattahoochee County,206,Chattahoochee County High School,95,38,40
2018-19,626,Chattahoochee County,ALL,All Schools,95,38,40
2018-19,627,Chattooga County,111,Chattooga Academy,46,,
2018-19,627,Chattooga County,1050,Chattooga High School,151,56,37.09
