"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2020-21","601","Appling County","0103","Appling County High School","215","95","44.19"
"2020-21","601","Appling County","ALL","All Schools","215","95","44.19"
"2020-21","602","Atkinson County","0103","Atkinson County High School","116","56","48.28"
"2020-21","602","Atkinson County","ALL","All Schools","116","56","48.28"
"2020-21","603","Bacon County","0302","Bacon County High School","141","69","48.94"
"2020-21","603","Bacon County","ALL","All Schools","141","69","48.94"
"2020-21","604","Baker County","0105","Baker County K12 School","19","10","52.63"
"2020-21","604","Baker County","ALL","All Schools","19","10","52.63"
"2020-21","605","Baldwin County","0189","Baldwin High School","208","56","26.92"
"2020-21","605","Baldwin County","ALL","All Schools","208","56","26.92"
"2020-21","606","Banks County","0199","Banks County High School","182","89","48.9"
"2020-21","606","Banks County","ALL","All Schools","182","89","48.9"
"2020-21","607","Barrow County","0101","Apalachee High School","392","178","45.41"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","438","222","50.68"
"2020-21","607","Barrow County","ALL","All Schools","830","400","48.19"
"2020-21","608","Bartow County","0105","Adairsville High School","217","121","55.76"
"2020-21","608","Bartow County","0114","Cass High School","323","197","60.99"
"2020-21","608","Bartow County","0198","Woodland High School","337","151","44.81"
"2020-21","608","Bartow County","ALL","All Schools","877","469","53.48"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","172","71","41.28"
"2020-21","609","Ben Hill County","ALL","All Schools","172","71","41.28"
"2020-21","610","Berrien County","0101","Berrien High School","172","85","49.42"
"2020-21","610","Berrien County","0106","Berrien Academy Performance Learning Center","19","8","42.11"
"2020-21","610","Berrien County","ALL","All Schools","191","93","48.69"
"2020-21","611","Bibb County","0105","Howard High School","212","65","30.66"
"2020-21","611","Bibb County","0186","Central High School","194","81","41.75"
"2020-21","611","Bibb County","0198","Westside High School","194","57","29.38"
"2020-21","611","Bibb County","0204","Rutland High School","186","55","29.57"
"2020-21","611","Bibb County","0286","Northeast High School","149","47","31.54"
"2020-21","611","Bibb County","0386","Southwest High School","124","30","24.19"
"2020-21","611","Bibb County","ALL","All Schools","1059","335","31.63"
"2020-21","612","Bleckley County","0105","Bleckley County High School","137","70","51.09"
"2020-21","612","Bleckley County","0115","Bleckley County Success Academy","15","TFS","TFS"
"2020-21","612","Bleckley County","ALL","All Schools","152","70","46.05"
"2020-21","613","Brantley County","1050","Brantley County High School","209","83","39.71"
"2020-21","613","Brantley County","ALL","All Schools","209","83","39.71"
