LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,601,Appling County,103,Appling County High School,All Students,Combined Test Score,2220087,49344,78,78,1027,1002,1002
2018-19,601,Appling County,103,Appling County High School,All Students,Essay Analysis Score - New,1747071,19599,24,24,3,3,3
2018-19,601,Appling County,103,Appling County High School,All Students,Essay Reading Score - New,1747071,19599,24,24,5,4,4
2018-19,601,Appling County,103,Appling County High School,All Students,Essay Total,1747071,19599,24,24,13,13,13
2018-19,601,Appling County,103,Appling County High School,All Students,Essay Writing Score - New,1747071,19599,24,24,5,5,5
2018-19,601,Appling County,103,Appling County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,78,78,523,511,511
2018-19,601,Appling County,103,Appling County High School,All Students,Math Section Score - New,2220087,49344,78,78,504,491,491
2018-19,601,Appling County,103,Appling County High School,All Students,Reading Test  Score - New,2220087,49344,78,78,264,257,257
2018-19,601,Appling County,103,Appling County High School,All Students,WritLang Test  Score - New,2220087,49344,78,78,259,254,254
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Combined Test Score,2220087,49344,57,57,1027,952,952
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Essay Analysis Score - New,1747071,19599,15,15,3,3,3
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Essay Reading Score - New,1747071,19599,15,15,5,4,4
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Essay Total,1747071,19599,15,15,13,12,12
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Essay Writing Score - New,1747071,19599,15,15,5,5,5
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,57,57,523,481,481
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Math Section Score - New,2220087,49344,57,57,504,471,471
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Reading Test  Score - New,2220087,49344,57,57,264,240,240
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,WritLang Test  Score - New,2220087,49344,57,57,259,242,242
2018-19,603,Bacon County,302,Bacon County High School,All Students,Combined Test Score,2220087,49344,49,49,1027,1019,1019
2018-19,603,Bacon County,302,Bacon County High School,All Students,Essay Analysis Score - New,1747071,19599,21,21,3,3,3
2018-19,603,Bacon County,302,Bacon County High School,All Students,Essay Reading Score - New,1747071,19599,21,21,5,4,4
2018-19,603,Bacon County,302,Bacon County High School,All Students,Essay Total,1747071,19599,21,21,13,12,12
2018-19,603,Bacon County,302,Bacon County High School,All Students,Essay Writing Score - New,1747071,19599,21,21,5,5,5
2018-19,603,Bacon County,302,Bacon County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,49,49,523,518,518
2018-19,603,Bacon County,302,Bacon County High School,All Students,Math Section Score - New,2220087,49344,49,49,504,501,501
2018-19,603,Bacon County,302,Bacon County High School,All Students,Reading Test  Score - New,2220087,49344,49,49,264,261,261
2018-19,603,Bacon County,302,Bacon County High School,All Students,WritLang Test  Score - New,2220087,49344,49,49,259,257,257
2018-19,604,Baker County,105,Baker County K12 School,All Students,Combined Test Score,2220087,49344,TFS,TFS,1027,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Evidence Based Reading and Writing - New,1747071,49344,TFS,TFS,523,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Math Section Score - New,2220087,49344,TFS,TFS,504,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Reading Test  Score - New,2220087,49344,TFS,TFS,264,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,WritLang Test  Score - New,2220087,49344,TFS,TFS,259,,
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Combined Test Score,2220087,49344,122,122,1027,915,915
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Essay Analysis Score - New,1747071,19599,43,43,3,3,3
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Essay Reading Score - New,1747071,19599,43,43,5,4,4
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Essay Total,1747071,19599,43,43,13,11,11
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Essay Writing Score - New,1747071,19599,43,43,5,4,4
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,122,122,523,467,467
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Math Section Score - New,2220087,49344,122,122,504,448,448
2018-19,605,Baldwin County,189,Baldwin High School,All Students,Reading Test  Score - New,2220087,49344,122,122,264,234,234
2018-19,605,Baldwin County,189,Baldwin High School,All Students,WritLang Test  Score - New,2220087,49344,122,122,259,233,233
2018-19,606,Banks County,199,Banks County High School,All Students,Combined Test Score,2220087,49344,53,53,1027,1055,1055
2018-19,606,Banks County,199,Banks County High School,All Students,Essay Analysis Score - New,1747071,19599,10,10,3,4,4
2018-19,606,Banks County,199,Banks County High School,All Students,Essay Reading Score - New,1747071,19599,10,10,5,4,4
2018-19,606,Banks County,199,Banks County High School,All Students,Essay Total,1747071,19599,10,10,13,13,13
2018-19,606,Banks County,199,Banks County High School,All Students,Essay Writing Score - New,1747071,19599,10,10,5,5,5
2018-19,606,Banks County,199,Banks County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,53,53,523,548,548
