"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"29","29",1094,"1019","1019"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New",687305,26246,"29","29",539,"488","488"
"2020-21","601","Appling County","0103","Appling County High School","All Students","Reading Test  Score - New",687305,26245,"29","29",279,"269","269"
"2020-21","601","Appling County","0103","Appling County High School","All Students","WritLang Test  Score - New",687305,26245,"29","29",277,"263","263"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"TFS","TFS",1094,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Math Section Score - New",687305,26246,"TFS","TFS",539,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","Reading Test  Score - New",687305,26245,"TFS","TFS",279,"TFS","TFS"
"2020-21","602","Atkinson County","0103","Atkinson County High School","All Students","WritLang Test  Score - New",687305,26245,"TFS","TFS",277,"TFS","TFS"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"30","30",1094,"1019","1019"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Math Section Score - New",687305,26246,"30","30",539,"500","500"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","Reading Test  Score - New",687305,26245,"30","30",279,"267","267"
"2020-21","603","Bacon County","0302","Bacon County High School","All Students","WritLang Test  Score - New",687305,26245,"30","30",277,"252","252"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"10","10",1094,"820","820"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Math Section Score - New",687305,26246,"10","10",539,"397","397"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","Reading Test  Score - New",687305,26245,"10","10",279,"207","207"
"2020-21","604","Baker County","0105","Baker County K12 School","All Students","WritLang Test  Score - New",687305,26245,"10","10",277,"216","216"
"2020-21","605","Baldwin County","0189","Baldwin High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"25","25",1094,"990","990"
"2020-21","605","Baldwin County","0189","Baldwin High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
