"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2019-20","601","Appling County","ALL","All Column Values","General Administration",159045.08,141029.3,300074.38,0.78,0.67,0.81,0.66
"2019-20","601","Appling County","ALL","All Column Values","School Administration",997845.68,502800.08,1500645.76,3.92,3.36,4.06,3.29
"2019-20","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",14455359.8,6639210.66,21094570.46,55.04,47.18,57.04,46.24
"2019-20","602","Atkinson County","ALL","All Column Values","General Administration",130000.04,121604.74,251604.78,1.36,1.22,1.4,1.28
"2019-20","602","Atkinson County","ALL","All Column Values","School Administration",682793.21,371972.57,1054765.78,5.69,5.12,5.87,5.35
"2019-20","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",6439953.38,3447391.85,9887345.23,53.37,48.03,55.03,50.12
"2019-20","603","Bacon County","ALL","All Column Values","General Administration",337701.24,178318.72,516019.96,2.22,1.98,2.29,2.1
"2019-20","603","Bacon County","ALL","All Column Values","School Administration",720683.18,355397.62,1076080.8,4.62,4.13,4.77,4.38
"2019-20","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",8573155.59,3902551.95,12475707.54,53.61,47.84,55.3,50.73
"2019-20","604","Baker County","ALL","All Column Values","General Administration",182499.96,143338.69,325838.65,6.03,5.19,6.82,5.94
"2019-20","604","Baker County","ALL","All Column Values","School Administration",89650.04,74272.03,163922.07,3.03,2.61,3.43,2.99
"2019-20","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1368258.56,772351.29,2140609.85,39.59,34.06,44.79,39.02
"2019-20","605","Baldwin County","ALL","All Column Values","General Administration",660144.84,493321.05,1153465.89,2.25,1.81,2.22,1.64
"2019-20","605","Baldwin County","ALL","All Column Values","School Administration",1669427.49,908279.75,2577707.24,5.03,4.05,4.97,3.67
"2019-20","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",18578890.2,9787406.51,28366296.71,55.37,44.6,54.68,40.34
"2019-20","606","Banks County","ALL","All Column Values","General Administration",322405.84,186980.03,509385.87,1.63,1.4,1.65,1.41
"2019-20","606","Banks County","ALL","All Column Values","School Administration",713931.58,486268.82,1200200.4,3.84,3.29,3.9,3.33
"2019-20","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",12683947.31,6402881.61,19086828.92,61.1,52.33,61.96,52.91
"2019-20","607","Barrow County","ALL","All Column Values","General Administration",997780.72,1205742.85,2203523.57,1.5,0.99,1.59,1.19
"2019-20","607","Barrow County","ALL","All Column Values","School Administration",4080990.08,2597222.67,6678212.75,4.53,2.99,4.82,3.62
"2019-20","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",53857173.93,27292320.37,81149494.3,55.09,36.35,58.58,43.98
"2019-20","608","Bartow County","ALL","All Column Values","General Administration",594237.9,375164.21,969402.11,0.66,0.56,0.7,0.59
"2019-20","608","Bartow County","ALL","All Column Values","School Administration",4647946.22,3027423.1,7675369.32,5.25,4.45,5.58,4.65
"2019-20","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",52541417.85,27285709.98,79827127.83,54.56,46.23,58.04,48.32
"2019-20","609","Ben Hill County","ALL","All Column Values","General Administration",492698.08,379287.15,871985.23,2.69,1.34,2.65,2.23
"2019-20","609","Ben Hill County","ALL","All Column Values","School Administration",863624.84,596564.44,1460189.28,4.5,2.24,4.43,3.73
"2019-20","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",12424482.4,6290501.78,18714984.18,57.68,28.65,56.77,47.85
"2019-20","610","Berrien County","ALL","All Column Values","General Administration",389694.72,222953.05,612647.77,1.88,1.73,2.06,1.88
"2019-20","610","Berrien County","ALL","All Column Values","School Administration",853349.64,509257.46,1362607.1,4.17,3.84,4.58,4.18
"2019-20","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",11469856.69,5450551.32,16920408.01,51.82,47.68,56.84,51.93
"2019-20","611","Bibb County","ALL","All Column Values","General Administration",1337083.96,1265379.07,2602463.03,0.99,0.82,1.03,0.81
"2019-20","611","Bibb County","ALL","All Column Values","School Administration",8010029.37,5277293.28,13287322.65,5.06,4.2,5.28,4.12
"2019-20","611","Bibb County","ALL","All Column Values","Teachers and Paraprofessionals",81161637.43,42751492.95,123913130.38,47.2,39.14,49.27,38.46
"2019-20","612","Bleckley County","ALL","All Column Values","General Administration",322490.4,166404.51,488894.91,1.86,0.97,2,1.63
"2019-20","612","Bleckley County","ALL","All Column Values","School Administration",898121.96,439511.71,1337633.67,5.09,2.65,5.46,4.45
"2019-20","612","Bleckley County","ALL","All Column Values","Teachers and Paraprofessionals",9352618.14,4244660.28,13597278.42,51.78,26.94,55.51,45.28
"2019-20","613","Brantley County","ALL","All Column Values","General Administration",401522.7,202224.68,603747.38,1.7,1.5,1.75,1.5
"2019-20","613","Brantley County","ALL","All Column Values","School Administration",1321177.54,631433.42,1952610.96,5.5,4.84,5.65,4.85
"2019-20","613","Brantley County","ALL","All Column Values","Teachers and Paraprofessionals",13288024.78,5831248.41,19119273.19,53.86,47.39,55.3,47.5
"2019-20","614","Brooks County","ALL","All Column Values","General Administration",660260.56,444296.04,1104556.6,4.41,3.92,4.25,3.43
"2019-20","614","Brooks County","ALL","All Column Values","School Administration",1129243.88,641668.57,1770912.45,7.07,6.29,6.82,5.51
"2019-20","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7780650.33,4078468.62,11859118.95,47.33,42.09,45.66,36.87
"2019-20","615","Bryan County","ALL","All Column Values","General Administration",1046586.84,431937.57,1478524.41,1.66,1.41,1.71,1.24
"2019-20","615","Bryan County","ALL","All Column Values","School Administration",3293193.96,1649322.31,4942516.27,5.53,4.71,5.71,4.16
"2019-20","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",34909834.97,15709254.23,50619089.2,56.69,48.24,58.45,42.6
"2019-20","616","Bulloch County","ALL","All Column Values","General Administration",558068,303487.79,861555.79,0.78,0.66,0.8,0.65
"2019-20","616","Bulloch County","ALL","All Column Values","School Administration",4093707.02,2152619.68,6246326.7,5.65,4.79,5.81,4.73
"2019-20","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",45160754.51,19793893.27,64954647.78,58.76,49.85,60.42,49.16
"2019-20","617","Burke County","ALL","All Column Values","General Administration",864839.78,559473.15,1424312.93,1.85,1.73,2.47,2.19
"2019-20","617","Burke County","ALL","All Column Values","School Administration",2298110.84,1214358.68,3512469.52,4.56,4.27,6.1,5.4
"2019-20","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",20074504.98,10418017.71,30492522.69,39.56,37.1,52.94,46.91
"2019-20","618","Butts County","ALL","All Column Values","General Administration",217320.66,301453.4,518774.06,1.51,1.26,1.53,1.24
"2019-20","618","Butts County","ALL","All Column Values","School Administration",1477954.7,814182.08,2292136.78,6.69,5.56,6.77,5.5
"2019-20","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",11917776.47,6380976.48,18298752.95,53.37,44.39,54.07,43.87
"2019-20","619","Calhoun County","ALL","All Column Values","General Administration",252422.94,138514.52,390937.46,5.32,2.33,5.55,1.8
"2019-20","619","Calhoun County","ALL","All Column Values","School Administration",266505.65,163667.88,430173.53,5.86,2.57,6.11,1.98
"2019-20","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1862385.23,991488.51,2853873.74,38.84,17.03,40.54,13.17
"2019-20","620","Camden County","ALL","All Column Values","General Administration",333132,235347.7,568479.7,0.59,0.52,0.65,0.52
"2019-20","620","Camden County","ALL","All Column Values","School Administration",3453101.27,1577106.71,5030207.98,5.25,4.63,5.77,4.64
"2019-20","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",34863612.93,13920162.64,48783775.57,50.92,44.88,55.98,45
"2019-20","621","Candler County","ALL","All Column Values","General Administration",453956.16,233761.39,687717.55,3.1,2.62,3.34,2.79
"2019-20","621","Candler County","ALL","All Column Values","School Administration",674487.28,429531.2,1104018.48,4.97,4.21,5.36,4.47
"2019-20","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",7224386.68,4076290.07,11300676.75,50.92,43.1,54.91,45.79
"2019-20","622","Carroll County","ALL","All Column Values","General Administration",635779.02,451590.79,1087369.81,0.72,0.62,0.73,0.62
"2019-20","622","Carroll County","ALL","All Column Values","School Administration",5427479.66,3346232.38,8773712.04,5.78,4.96,5.92,5.02
"2019-20","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",53270167.51,28366423.22,81636590.73,53.77,46.18,55.09,46.66
