"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2020-21","601","Appling County","ALL","All Column Values","General Administration",319110.48,271890.15,591000.63,1.41,1.14,1.34,1.23
"2020-21","601","Appling County","ALL","All Column Values","School Administration",2037017.48,992717.29,3029734.77,7.22,5.86,6.88,6.33
"2020-21","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",29503714.13,13247384.54,42751098.67,101.9,82.63,97.04,89.29
"2020-21","602","Atkinson County","ALL","All Column Values","General Administration",258300.08,239450.44,497750.52,2.22,2.03,2.69,2.47
"2020-21","602","Atkinson County","ALL","All Column Values","School Administration",1320131.65,710980.93,2031112.58,9.08,8.27,10.97,10.08
"2020-21","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",12687709.19,6669952.61,19357661.8,86.53,78.85,104.57,96.08
"2020-21","603","Bacon County","ALL","All Column Values","General Administration",686054.96,353476.54,1039531.5,4.21,3.72,4.43,4.07
"2020-21","603","Bacon County","ALL","All Column Values","School Administration",1461004.84,696952.2,2157957.04,8.74,7.72,9.19,8.46
"2020-21","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",17402176.68,7660504.14,25062680.82,101.46,89.64,106.72,98.24
"2020-21","604","Baker County","ALL","All Column Values","General Administration",364374.97,271869.14,636244.11,11.44,10.55,13.16,12.36
"2020-21","604","Baker County","ALL","All Column Values","School Administration",178910.08,150210.26,329120.34,5.92,5.46,6.81,6.39
"2020-21","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",2537210.32,1454992.64,3992202.96,71.81,66.19,82.57,77.54
"2020-21","605","Baldwin County","ALL","All Column Values","General Administration",1378195.99,1030468.98,2408664.97,4.43,2.67,4.53,3.18
"2020-21","605","Baldwin County","ALL","All Column Values","School Administration",3461696.93,1811343.92,5273040.85,9.7,5.84,9.92,6.95
"2020-21","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",37018419.94,19154149.95,56172569.89,103.38,62.23,105.72,74.08
"2020-21","606","Banks County","ALL","All Column Values","General Administration",642069.96,358451.25,1000521.21,3.13,2.6,3.29,2.84
"2020-21","606","Banks County","ALL","All Column Values","School Administration",1464243.14,938645.67,2402888.81,7.52,6.26,7.9,6.81
"2020-21","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",24917163.4,12332836.35,37249999.75,116.6,96.98,122.4,105.62
"2020-21","607","Barrow County","ALL","All Column Values","General Administration",1978448.68,2333470.29,4311918.97,2.79,2.07,3.02,2.42
"2020-21","607","Barrow County","ALL","All Column Values","School Administration",8166553.23,5051279.61,13217832.84,8.55,6.34,9.25,7.42
"2020-21","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",109585560.03,53814843.09,163400403.12,105.66,78.37,114.39,91.78
"2020-21","608","Bartow County","ALL","All Column Values","General Administration",1188975.7,720447.74,1909423.44,1.23,1.05,1.34,1.17
"2020-21","608","Bartow County","ALL","All Column Values","School Administration",9329933.69,6013587.44,15343521.13,9.85,8.43,10.79,9.37
"2020-21","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",105714292.55,54849709.68,160564002.23,103.11,88.17,112.88,98.09
"2020-21","609","Ben Hill County","ALL","All Column Values","General Administration",1000303.79,744017.73,1744321.52,4.29,3.19,5.12,2.84
"2020-21","609","Ben Hill County","ALL","All Column Values","School Administration",1799398.74,1182516.76,2981915.5,7.34,5.45,8.75,4.86
"2020-21","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",25162590.9,12718468.53,37881059.43,93.21,69.29,111.11,61.73
"2020-21","610","Berrien County","ALL","All Column Values","General Administration",779389.44,423096.3,1202485.74,3.55,3.19,3.98,3.46
"2020-21","610","Berrien County","ALL","All Column Values","School Administration",1711944.12,972548.74,2684492.86,7.92,7.11,8.88,7.73
"2020-21","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",23076998.46,10659453.49,33736451.95,99.51,89.36,111.61,97.19
