,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,27405986978.218773,0.9036343840092218
1,3,3,11619702064.302982,0.7841785357983125
2,3,4,6135305603.72943,0.7862844417398024
3,3,5,3886172901.2179832,0.5729259504232407
4,3,6,2341506417.4175353,0.5476182859949472
5,4,7,1944082060.4240541,0.4384460933324255
6,8,8,1615375740.9311085,0.42702185878509674
7,6,9,1338079837.127582,0.42761077738116504
8,7,10,1187020729.2752132,0.3849581014787321
9,7,11,1054583634.01196,0.37619913706912766
10,9,12,931464503.9837737,0.31556362844814645
11,5,13,831504791.1656941,0.3208193534452375
12,13,14,742808453.7615209,0.32394597464855723
13,15,15,678215205.7343984,0.31208825824070136
14,10,16,626140826.0705895,0.31590616043956776
15,7,17,567868158.1807959,0.309144512391532
16,20,18,525045866.89567775,0.3067863881936648
17,13,19,475269093.6577228,0.30531603988024125
18,13,20,437533486.80545926,0.30276678430882636
19,6,21,411377831.4337187,0.30075580881925446
20,10,22,384032463.8092776,0.3070097473109667
21,5,23,352894027.9550581,0.3001839860847379
22,6,24,338737699.39478767,0.2993097166867163
23,11,25,323454659.7566963,0.2795275046078797
24,5,26,297980702.9363985,0.29919058867137116
25,11,27,291420886.6598177,0.28450008537898247
26,5,28,272325634.60277957,0.3072103822813428
27,5,29,263067936.7193749,0.2667786027399837
