SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels
Appling County,601,90.16,42.7,18.8,3628,45.8,41.2,13.0,13.1,0.9,31.65255797,42.34,0.0,0.0,219.8418275,6116.264074,370.6731064,4233.710609,688.6431781,163.8435639,0.0,291.9462569,0.0,486.4229548,7.7594129,157.4035088,5297.802646,595.0718495,0.0,0.0,0.064018743,1.78109151,0.107941014,1.232880375,0.200537486,0.047712238,0.0,0.085016538,0.0,0.141648291,0.002260198,0.045837927,1.542750827,0.173288313,1002.0,0
Atkinson County,602,89.74,44.9,18.0,1727,58.0,33.9,8.1,8.9,1.812686567,37.41734734,48.11,0.0,0.0,354.3041691,5607.573399,369.9516966,1554.688332,685.9467516,219.0664042,0.0,256.4126462,0.0,660.3967921,8.758425014,165.6419456,7352.63231,600.7654835,0.0,0.0,0.216039375,3.41925304,0.225581934,0.947979155,0.418262884,0.13357846,0.0,0.156352056,0.0,0.40268095,0.005338738,0.101001737,4.483312102,0.366323104,952.0,7
Atlanta Public Schools,761,77.95,49.8,18.6,58359,45.8,35.9,18.3,21.0,4.1,62.56715053,36.24,16.5204947,20.83655186,271.5298794,8696.843385,1003.445298,10404.67158,1363.595157,110.8380605,66.93653661,760.314307,0.0,677.440031,1.354018575,42.33650748,3231.130914,571.7601712,0.000321459,0.000405422,0.005282304,0.169186072,0.019520725,0.20240974,0.026527014,0.002156137,0.001302113,0.014791035,0.0,0.013178773,2.64e-05,0.000823523,0.062857657,0.011122877,964.0,12
Bacon County,603,94.08,42.8,19.11411043,2220,44.7,42.1,13.2,14.0,1.812686567,41.4507772,39.19,0.0,111.3466441,362.6725045,5838.65841,279.1231622,1863.570288,793.5355225,165.073,1.590540541,440.3125586,0.0,588.0331171,3.310941441,172.4990315,6954.783784,523.6696757,0.0,0.053504505,0.174279279,2.805698198,0.134130631,0.895518018,0.381324324,0.079324324,0.000765766,0.211585586,0.0,0.282572072,0.00159009,0.082891892,3.342040541,0.251644144,1019.0,7
Baker County,604,86.96,68.3,19.11411043,297,51.2,36.7,12.1,11.8,1.812686567,62.5,36.36,0.0,0.0,1801.138519,8004.371246,802.5562626,8502.30596,1692.261178,531.5301347,0.0,827.773468,0.0,637.9541751,8.100909091,94.86198653,6766.319865,1148.310337,0.0,0.0,6.597575758,29.32003367,2.93976431,31.14397306,6.198754209,1.947003367,0.0,3.032121212,0.0,2.336835017,0.0296633,0.347474747,24.78505051,4.206262626,1001.5625,11
Baldwin County,605,90.7,54.8,16.4,5209,51.9,35.4,12.7,11.9,1.7,65.61181435,32.96,0.0,0.0,384.6133116,5076.700094,467.886938,3703.617026,731.7994605,146.3298407,0.0,290.8251872,11.13995009,621.0527337,11.09641198,67.1957439,4608.134959,543.5561874,0.0,0.0,0.07953158,1.049773469,0.096749856,0.765843732,0.151322711,0.030259167,0.0,0.060138222,0.002303705,0.128421962,0.002294106,0.013895181,0.952881551,0.112397773,915.0,0
Banks County,606,85.28,27.0,20.1,2935,35.8,45.9,18.3,16.5,1.3,35.13513514,50.0,0.0,0.0,267.9002828,6424.552664,235.5840988,2898.720845,748.2676695,178.9145588,0.0,281.3705486,17.95482453,510.3941942,6.061083475,358.323356,6172.759455,658.8631721,0.0,0.0,0.096296422,2.30932879,0.084681431,1.041955707,0.268967632,0.064310051,0.0,0.10113799,0.006453152,0.18346167,0.002177172,0.128800681,2.218821124,0.236831346,1055.0,16
Barrow County,607,87.64,23.3,18.8,14551,48.1,39.0,12.9,12.9,1.4,47.52475248,40.59,0.0,0.0,217.4924514,5636.507925,351.2898103,3061.98242,643.811459,141.1528967,0.687237991,308.1398433,0.0,536.2924782,3.925922617,85.221158,5707.495361,561.857816,0.0,0.0,0.015554257,0.403097382,0.025122672,0.218978764,0.046042196,0.010094839,4.95e-05,0.022036973,0.0,0.038353378,0.00028108,0.006094426,0.408174009,0.040181431,983.0,10
Bartow County,608,89.19,27.5,20.0,14202,45.0,40.3,14.7,15.3,0.9,34.80600687,51.29,0.0,9.134640896,143.2914167,5690.411644,173.8618828,3763.763752,714.478998,141.9095557,28.02432756,313.5179524,0.0,652.6847641,5.867799606,90.83113505,5082.352486,504.7415237,0.0,0.00069286,0.0108703,0.431680749,0.013189692,0.285523166,0.054200817,0.010765385,0.002125757,0.023783974,0.0,0.049513449,0.000445008,0.006890579,0.385552739,0.038290382,1035.0,10
Ben Hill County,609,88.53,46.1,17.8,3116,50.4,37.6,12.0,11.8,1.812686567,35.60473269,41.0,0.0,0.0,387.842163,5960.869272,69.68239089,2117.269307,780.2779525,136.3665116,3.091476252,257.565154,0.0,689.5331483,6.751578947,96.51567715,6718.421694,521.4221598,0.0,0.0,0.130673941,2.008379332,0.023478819,0.713366496,0.262897946,0.045946727,0.001043004,0.08678113,0.0,0.232323492,0.002275353,0.032519255,2.263620026,0.175680359,937.0,16
