SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Lottery_Revenues_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels
Appling County,601,216,87.45,247,44.27784578,21.35454545,3495,38.1,42.2,19.8,18.4,1.2,27.97779112,44.19,0.0,0.0,1202.517651,6640.353185,470.9900715,4630.981605,695.6678627,210.8971474,0.0,379.4004006,0.0,568.7007868,8.538649499,0,163.7716023,5428.332189,610.5988269,0.0,0.0,0.360034335,1.988128755,0.141015737,1.386520744,0.208283262,0.063141631,0.0,0.113593705,0.0,0.170268956,0.002555079,0,0.049032904,1.625250358,0.182815451,1019.0,11
Atkinson County,602,114,94.21,121,45.92164419,21.35454545,1664,52.3,36.1,11.7,12.4,2.287288136,37.71775701,48.28,0.0,2.030288462,349.7423678,5101.272482,343.6907692,1897.81488,618.9060697,154.2380048,0.0,232.0853846,0.0,524.2292067,18.2143149,0,192.7782692,8050.057692,481.3111478,0.0,0.00125601,0.21655649,3.158683894,0.2128125,1.175120192,0.383221154,0.095504808,0.0,0.143707933,0.0,0.324597356,0.011280048,0,0.11936899,4.984555288,0.298022837,1048.509554,5
Atlanta Public Schools,761,2557,83.13,3076,54.39046893,20.0,52688,42.4,20.0,37.6,38.4,2.5,49.58234596,42.22,18.31442492,25.07475251,302.7573539,10643.44272,1018.547592,13168.32464,1451.547594,98.53993908,84.63757573,892.106863,0.037959308,746.9349406,2.466968949,0,77.14039326,3395.080607,561.9403145,0.000368015,0.00050391,0.006084687,0.21390848,0.020470506,0.264652672,0.029172677,0.001980337,0.001700957,0.01792932,7.59e-07,0.015011578,4.95e-05,0,0.001550258,0.068233184,0.011293653,1086.0,14
Bacon County,603,140,95.89,146,46.46464646,21.35454545,2107,28.4,39.9,31.7,29.3,2.287288136,37.61543739,48.94,0.0,142.1743522,385.3741671,6067.59158,273.0679307,2002.523953,907.732411,155.1594495,15.91585192,605.4641006,0.0,645.3531182,18.0265496,0,182.1271856,7881.559089,582.4980161,0.0,0.070626483,0.19144281,3.014205031,0.135652587,0.994793545,0.450934979,0.077076412,0.007906977,0.300778358,0.0,0.320593261,0.008955861,0,0.090474608,3.915329853,0.289368771,1019.0,5
Baker County,604,22,91.67,24,61.95652174,21.35454545,306,31.7,46.1,22.2,19.3,2.287288136,35.0,52.63,0.0,0.0,1628.138366,6641.546242,626.3294444,8215.635163,1537.489575,126.1938562,0.0,493.9987908,0.0,773.2113725,10.69398693,0,542.7901634,7050.591503,1165.777255,0.0,0.0,5.899052288,24.06356209,2.269313725,29.76679739,5.570620915,0.457222222,0.0,1.789836601,0.0,2.801503268,0.03875817,0,1.966633987,25.54562092,4.223823529,820.0,10
Baldwin County,605,207,84.84,244,59.63127781,18.1,5030,45.8,30.0,24.2,24.6,2.3,46.6603235,26.92,0.0,-12.85586481,413.9332724,5519.473396,443.7539264,4039.080439,682.9780934,165.9090378,0.0,304.4870258,0.0,669.0320915,9.067900596,0,50.97007753,4847.293042,444.1931093,0.0,-0.002735586,0.088089463,1.174606362,0.094435388,0.859562624,0.145345924,0.035308151,0.0,0.064799205,0.0,0.142377734,0.001930417,0,0.010846918,1.031558648,0.094528827,990.0,11
Banks County,606,175,88.83,197,27.0993766,20.6,2888,37.2,40.8,22.0,22.2,3.5,23.4747229,48.9,0.0,0.0,258.9882445,6511.068556,447.3737742,3617.568355,548.7500277,146.9360111,0.0,333.0954155,0.0,507.3799515,9.022209141,0,375.8159037,6184.00554,667.7800866,0.0,0.0,0.093195983,2.342953601,0.16098338,1.301752078,0.197461911,0.052873961,0.0,0.119861496,0.0,0.182576177,0.003247922,0,0.135235457,2.225263158,0.240294321,1078.0,13
Barrow County,607,814,90.95,895,24.72034148,21.4,14780,24.6,36.1,39.4,39.4,3.3,43.48834863,48.19,0.0,2.926522327,209.4531942,5914.734358,417.4702246,3657.928078,519.9962605,152.0835947,0.0,406.9353329,0.0,587.2197815,4.858102842,0,103.6216103,5947.488633,592.0658681,0.0,0.000209743,0.015019621,0.424147497,0.029937077,0.262311231,0.037288904,0.010905954,0.0,0.029181326,0.0,0.042109608,0.000348444,0,0.007430988,0.42649594,0.042457375,1053.0,6
Bartow County,608,867,93.63,926,29.8700288,21.4,13947,37.0,37.5,25.4,25.1,1.5,32.19234807,53.48,0.0,13.66834445,157.7970395,6565.135854,191.5550929,4892.114219,735.4108747,141.9520872,51.43471714,405.7028135,0.0,725.4126063,5.171563777,0,109.2107693,5176.880835,347.7883839,0.0,0.00104682,0.012082168,0.502690184,0.014666953,0.374587366,0.056310318,0.010869004,0.003938481,0.031064745,0.0,0.055544562,0.000395784,0,0.008362372,0.396392056,0.0266301,1051.0,6
Ben Hill County,609,180,84.51,213,49.20578892,21.35454545,3064,38.0,37.1,24.8,25.1,3.2,37.71908764,41.28,0.0,0.0,569.5834987,4791.778512,90.55329308,2550.77748,669.1354569,94.54,0.0,289.6924282,0.0,724.27875,9.928097258,0,166.3318505,7233.583877,320.0278198,0.0,0.0,0.198531332,1.670192559,0.031563316,0.889082898,0.23323107,0.032953655,0.0,0.100972585,0.0,0.252451044,0.00345953,0,0.057976501,2.521292428,0.111546997,955.0,13
Berrien County,610,189,89.57,211,40.36729037,20.0,3171,19.6,37.2,43.1,41.7,3.8,30.72927073,48.69,0.0,0.0,272.8772312,5219.194787,292.1919458,2023.229871,538.9974929,150.3117534,8.889637338,235.6657679,0.0,490.1238568,7.051611479,0,131.8053705,6558.609902,365.2616367,0.0,0.0,0.093708609,1.792305266,0.100340587,0.694790287,0.185096184,0.051617786,0.003052665,0.080930306,0.0,0.168312835,0.002421949,0,0.045263324,2.252270577,0.125433617,1040.0,13
Bibb County,611,1085,80.67,1345,61.4123029,18.5,22542,22.4,26.8,50.8,53.7,2.9,49.3416568,31.63,29.6075987,73.65883506,172.5129767,5436.693958,559.5586807,4225.284087,823.9502595,184.7557102,6.412356934,291.7270739,0.0,739.7264573,5.354539526,0,93.01436785,5195.794961,340.8698261,0.001434212,0.003567563,0.008355958,0.263329341,0.027102742,0.204653979,0.039908615,0.008948629,0.000310531,0.014130068,0.0,0.035829119,0.000259516,0,0.004505368,0.2516609,0.01651007,975.0,12
Bleckley County,612,158,92.94,170,32.76006711,21.35454545,2534,66.0,27.8,6.2,5.6,2.287288136,26.62112191,46.05,0.0,33.01030387,374.7413812,5670.149534,161.7844199,1987.18747,620.35691,122.7247238,0.0,387.4446409,0.0,622.4573915,11.73353197,0,138.2721902,7375.756117,761.3516298,0.0,0.013681926,0.155299921,2.349834254,0.067048145,0.823535912,0.257087609,0.0508603,0.0,0.160564325,0.0,0.257959747,0.004861878,0,0.057304657,3.056673244,0.315520916,1149.0,5
Brantley County,613,206,94.06,219,41.76819744,19.8,3477,39.4,36.0,24.6,23.8,1.7,23.429124,39.71,0.0,0.0,218.4215703,5487.356324,264.3440552,1836.846598,942.4816624,200.0722951,0.0,354.4112166,0.0,477.1402013,9.478932988,0,232.4179523,7688.625122,741.736937,0.0,0.0,0.068170837,1.712657463,0.082505033,0.573298821,0.294158758,0.062444636,0.0,0.110615473,0.0,0.148921484,0.002959448,0,0.072539546,2.399695139,0.23150417,1110.0,13
Bremen City,763,161,97.58,165,13.05919566,20.7,2279,61.8,32.1,6.1,5.0,2.287288136,15.6667874,75.78,0.0,62.78482668,506.3639403,6038.533817,177.6979289,2754.139487,807.420939,149.6102326,0.0,349.9337473,0.0,594.0511057,5.795283019,0,61.04069767,7002.2681,59.6078982,0.0,0.028056165,0.22625713,2.698183414,0.079398859,1.230627468,0.360776656,0.066849495,0.0,0.156358052,0.0,0.265436595,0.002588855,0,0.027275121,3.128806494,0.026634489,1097.0,5
Brooks County,614,126,87.5,144,56.73996176,21.35454545,2266,37.8,35.1,27.1,28.6,2.287288136,52.88741172,24.59,0.0,0.0,850.4016461,5514.87222,124.1280362,4157.159903,1007.476156,189.2198147,0.0,648.9810503,126.3969726,582.051474,10.31637246,0,457.3038791,5908.779788,624.9690644,0.0,0.0,0.400379523,2.596456311,0.058442189,1.95723301,0.474329214,0.089086496,0.0,0.30554722,0.05951015,0.274033539,0.004858782,0,0.215304501,2.781910856,0.294240953,925.0,16
Bryan County,615,654,93.43,700,14.73181094,22.7,10114,56.2,31.9,12.0,12.9,1.5,43.50919043,48.29,0.0,133.4065078,209.9862517,5426.491957,376.179558,2900.823545,747.4638966,152.4229573,7.192273087,335.9775974,0.0,615.4778218,3.047196955,0,74.06354261,5693.618549,422.707545,0.0,0.013986553,0.022016017,0.568934151,0.03944038,0.304132885,0.078366621,0.015980819,0.0007544,0.03522543,0.0,0.064529365,0.000319359,0,0.007765474,0.596940874,0.044317777,1095.0,17
Buford City,764,349,95.88,364,13.05305673,25.2,5664,52.8,33.1,14.1,12.4,2.287288136,35.30148786,68.27,0.0,0.0,801.2799435,6834.24804,51.41349223,5927.660132,790.237154,136.3128602,0.0,502.5635222,0.0,717.042417,1.99220339,0,101.6278867,4499.064795,308.3586388,0.0,0.0,0.143804732,1.226534251,0.009226695,1.063829449,0.141822034,0.024463277,0.0,0.090194209,0.0,0.128686441,0.000358404,0,0.01823976,0.807441737,0.055340749,1165.0,11
