SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels,Labels,FIPS,Latitude,Longitude
Appling County,601,92.76,41.45976668,19,3533,57.4,34.4,8.2,8.4,1.9,27.29712988,46.57,0,0,237.9581432,6623.394953,438.1712369,4348.681613,743.3099689,206.301953,0,313.1899689,0,549.1135834,8.12876026,209.5860543,5591.990659,615.370617,0,0,0.069617888,1.937797905,0.128194169,1.272287008,0.217469573,0.060356637,0,0.091630342,0,0.160653835,0.002377583,0.061318992,1.636043023,0.180039626,1005,16,9,13001,,
Atkinson County,602,91.94,43.2160804,19.41111111,1702,60.3,33.2,6.5,6.9,1.833333333,37.77292576,43.59,0,0,417.0865687,5975.374307,457.2726557,1645.134395,765.5221739,235.2405288,0,269.0002526,0,784.757262,10.1262926,185.233161,7974.827262,562.6085958,0,0,0.250951821,3.595293772,0.275135135,0.989853114,0.46060517,0.141539365,0,0.161850764,0,0.472173913,0.006092832,0.111451234,4.798331375,0.338513514,1004,11,13,13003,,
Atlanta Public Schools,761,80.26,48.37741917,19,57060,52.9,33.9,13.2,15,4,53.040497,40.2,16.91653803,23.1292904,284.491554,9408.840938,940.2383812,11623.69587,1517.992861,101.0763006,39.56249877,773.0292294,0,701.6518013,1.300753067,105.1898267,3583.617911,575.1917326,0.000327725,0.000448125,0.005511216,0.182271293,0.018214686,0.225178058,0.029407115,0.001958114,0.000766386,0.014975464,0,0.013592709,2.52E-05,0.002037855,0.069423063,0.011142832,969,9,11,,33.748783,-84.388168
Bacon County,603,92.86,41.72876304,19.41111111,2147,52.1,38,9.9,10.1,1.833333333,34.68815697,52.14,0,98.12050769,391.9676712,6387.909762,280.3407825,1927.605277,832.0658919,175.5278435,6.131383326,509.3239031,0,637.5867583,9.791485794,208.9329809,7835.123428,519.9230182,0,0.047838845,0.191108524,3.114536563,0.136683745,0.939836982,0.405687005,0.085579879,0.002990219,0.248327899,0,0.310866325,0.004774103,0.101867722,3.820149045,0.253497904,954,11,13,13005,,
Baker County,604,89.71179775,63.41463415,19.41111111,278,60.1,32.4,7.6,8.3,1.833333333,57.69230769,0,0,0,1977.103561,8187.789029,770.4970863,8948.438597,1690.906511,109.8226619,0,647.041223,0,824.4123741,8.601906475,486.0272662,8380.28777,1339.894353,0,0,7.908417266,32.75115108,3.081978417,35.79374101,6.763633094,0.439280576,0,2.588165468,0,3.297661871,0.03442446,1.944100719,33.52115108,5.359568345,998.0346821,7,8,13007,,
Baldwin County,605,85.02,53.01306363,15.6,5031,57.8,32.9,9.3,8.7,2.7,58.36685438,27.97,0,0,388.3363407,5797.354184,467.5419936,3807.260759,771.8019996,178.7594852,0,323.4068396,0,645.1758974,8.480031803,119.0280759,5115.960644,545.1465633,0,0,0.081858477,1.222039356,0.098554959,0.802542238,0.162689326,0.037680382,0,0.068171338,0,0.135998807,0.001786921,0.025090439,1.078405884,0.114913536,904,16,9,13009,,
Banks County,606,88.34,24.25905598,20.1,2945,50.9,38.8,10.4,10.2,1.7,31.33640553,50,0,0,263.4477419,6836.35384,352.3045399,3234.969158,774.601657,183.0204075,0,311.6769338,0,506.4555484,6.606410866,421.3870934,6432.78472,625.6160917,0,0,0.09486927,2.461775891,0.126865874,1.164913413,0.278933786,0.065904924,0,0.112234295,0,0.182373514,0.002380306,0.151741935,2.316451613,0.225283531,1043,0,0,13011,,
Barrow County,607,85.13,20.67213472,19.3,14712,56.2,35.7,8.1,9.5,1.5,42.63908627,46.75,0,0,238.0352889,5901.081576,422.572897,3412.599765,695.1828188,146.3247206,0,392.7201652,0,592.4426026,3.981343121,116.024028,6038.826944,557.4604031,0,0,0.016761827,0.415539695,0.029756661,0.240307232,0.048953235,0.010303834,0,0.027654296,0,0.041718325,0.000280044,0.008170201,0.42523926,0.03925503,1004,5,15,13013,,
Bartow County,608,91.16,25.48958898,20.2,13930,52.3,37.9,9.9,10.4,1.1,29.51209366,49.2,0,6.866961953,171.0768291,6380.985824,185.785827,4258.129676,792.1030675,153.2601622,29.11640488,383.2276439,0,724.302117,5.23795621,128.202542,5533.761091,523.4870459,0,0.000521895,0.013002872,0.484987796,0.014120603,0.323639627,0.060203877,0.011648241,0.002213209,0.029127064,0,0.055050969,0.000398421,0.009743719,0.420594401,0.039787509,1007,5,15,13015,,
Ben Hill County,609,85.65,45.57137895,16,3092,54.7,37.1,8.2,9.3,2.2,31.96891192,49.43,0,36.91445343,519.2114877,6413.466439,278.2039554,2270.405191,781.0507245,100.2266041,95.53700194,285.5414554,0,730.2497736,6.679062096,158.1094405,6921.14295,520.9873383,0,0.012719922,0.178916559,2.210016171,0.095866753,0.782357697,0.26914295,0.034537516,0.03292044,0.09839586,0,0.251636481,0.002302717,0.054482536,2.384954722,0.179527814,928,0,0,13017,,
