SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,0.3149999999999995,18.634999999999998,0.8241104967678511,0.3833509700446571,0.21650635094611062
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,3.17,25.77666666666667,0.9932750050613942,0.07387283871962216,0.3695041722813575
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.0,0.0,0.0,1.0,0.0
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,6.659999999999999,1.4433333333333342,0.9362169794664525,0.22860384154288668,2.49992666559108
Calhoun County,0.0,0.0,0.0,1.0,0.0
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,-7.509999999999999,30.896666666666665,-0.9010820020270159,0.2855482436988826,3.614212685127057
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,0.0,0.0,0.0,1.0,0.0
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,-134.58499999999998,299.91499999999996,-0.9310002428676161,0.23787472007962274,52.76692785258586
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,0.0,0.0,0.0,1.0,0.0
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,-6.5249999999999995,11.968333333333334,-0.9611645307327996,0.1780020554943886,1.8735016235203397
Cook County,-41.915,73.945,-0.8339237265253737,0.37217849987671353,27.738793683215558
Coweta County,0.0,0.0,0.0,1.0,0.0
Crawford County,0.0,0.0,0.0,1.0,0.0
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,1.2899999999999991,54.85666666666667,0.22100373172664012,0.8581334020205414,5.6926736542097105
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,0.0,0.0,0.0,1.0,0.0
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,-0.71,1.1833333333333333,-0.8660254037844387,0.3333333333333332,0.40991869112463414
Elbert County,9.725,0.6050000000000004,0.73596711887944,0.47345555914574944,8.946042421093251
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,-23.975,55.538333333333334,-0.8774110429691461,0.31853756827394414,13.108737861950448
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,0.0,0.0,0.0,1.0,0.0
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,0.18999999999999997,0.06333333333333338,0.6546536707079772,0.54562894834299,0.21939310229205777
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,11.715,4.895,0.8830179870305199,0.31101564070166426,6.226722653210113
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,100.3,-3.5433333333333366,0.9981332077887499,0.038905472625423106,6.137233361485788
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,0.08,0.07666666666666667,0.8925696039667221,0.2978006711216706,0.04041451884327381
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,0.0,0.0,1.0,0.0
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,-43.28,111.36666666666666,-0.7096731387644695,0.49768525309864736,42.96640703309195
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,4.2,-1.4,0.8660254037844386,0.3333333333333333,2.424871130596429
Jefferson City,2.69,-0.8966666666666667,0.8660254037844386,0.3333333333333333,1.5530722241200936
Jefferson County,-4.915000000000001,8.845,-0.8221305372920511,0.38557065639697125,3.4034798368728443
Jenkins County,0.0,0.0,0.0,1.0,0.0
Johnson County,0.0,0.0,0.0,1.0,0.0
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,-1.5600000000000005,13.566666666666666,-0.9114032065180637,0.27000010847277156,0.7043673284113441
Lee County,0.0,0.0,0.0,1.0,0.0
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,-15.970000000000002,26.616666666666667,-0.8660254037844387,0.3333333333333332,9.220283798958322
Lowndes County,0.0,0.0,0.0,1.0,0.0
Lumpkin County,0.7899999999999999,1.7799999999999998,0.24822034469399623,0.8403085965602943,3.0830504374726018
Macon County,0.0,0.0,0.0,1.0,0.0
Madison County,0.0,0.0,0.0,1.0,0.0
Marietta City,0.0,0.0,0.0,1.0,0.0
Marion County,0.0,0.0,0.0,1.0,0.0
McDuffie County,0.0,0.0,0.0,1.0,0.0
McIntosh County,0.0,0.0,0.0,1.0,0.0
Meriwether County,0.0,0.0,0.0,1.0,0.0
Miller County,0.0,0.0,0.0,1.0,0.0
Mitchell County,0.0,0.0,0.0,1.0,0.0
Monroe County,0.0,0.0,0.0,1.0,0.0
Montgomery County,0.0,0.0,0.0,1.0,0.0
Morgan County,-7.144999999999995,89.58166666666666,-0.9759377878486958,0.13993862566111837,1.5963734943093164
Murray County,0.0,0.0,0.0,1.0,0.0
Muscogee County,1.0,0.31333333333333324,0.8789079263854306,0.3165454827895316,0.542709253038248
Newton County,0.0,0.0,0.0,1.0,0.0
Oconee County,-1.845,3.378333333333333,-0.9597622954676165,0.18120861202545174,0.5398225016922997
Oglethorpe County,0.0,0.0,0.0,1.0,0.0
