SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,2.3278000000000003e-05,0.0003157883333333334,0.9213432298591905,0.2541861145456594,9.821882779453924e-06
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,0.00021726000000000004,0.0009984426666666663,0.9999504029263145,0.0063405209571716385,2.163908808921271e-06
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.0,0.0,0.0,1.0,0.0
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,0.0016079189999999998,0.0003391663333333335,0.9392753823770391,0.2229975526598895,0.0005874533215501747
Calhoun County,0.0,0.0,0.0,1.0,0.0
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,-0.0004660395,0.0019552031666666666,-0.8871806411874318,0.30532135593534476,0.0002423869427879383
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,0.0,0.0,0.0,1.0,0.0
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,-0.003029634,0.0067559609999999996,-0.9301887981363424,0.2392859522454241,0.0011955879070929918
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,0.0,0.0,0.0,1.0,0.0
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,-0.0036575110000000004,0.006697245000000001,-0.9597706405333644,0.1811896923516206,0.0010700211517474776
Cook County,-0.013211617500000002,0.023310976500000004,-0.8338357802635893,0.37227993790507946,0.008746301455939007
Coweta County,0.0,0.0,0.0,1.0,0.0
Crawford County,0.0,0.0,0.0,1.0,0.0
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,0.0001858050000000007,0.009558945666666666,0.2046219460774246,0.8688070107534922,0.0008888272753158141
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,0.0,0.0,0.0,1.0,0.0
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,-5.4724999999999995e-05,9.120833333333333e-05,-0.8660254037844387,0.3333333333333332,3.159549348140226e-05
Elbert County,0.003211954,0.0001938673333333335,0.736555693107498,0.47290184320331374,0.002949527795417656
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,-0.000469985,0.0010833986666666667,-0.8846009225135685,0.308861659636087,0.00024776929067245866
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,0.0,0.0,0.0,1.0,0.0
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,4.5425999999999995e-05,1.4124666666666677e-05,0.6609746690216083,0.5402861220536758,5.157239014563251e-05
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,0.0008674924999999999,0.00034557083333333334,0.8924604351770189,0.2979547648892399,0.0004385047463278857
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,0.0218900045,-0.0009208148333333353,0.9973562568156862,0.04630207776223843,0.0015948980756964144
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,1.1400000000000001e-05,1.0466666666666664e-05,0.8921145531425876,0.298442497324962,5.7735026918962595e-06
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,0.0,0.0,1.0,0.0
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,-0.0249308755,0.06475272083333333,-0.6950032141940826,0.5108058517779237,0.025791916325308792
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,0.001376147,-0.0004587156666666667,0.8660254037844387,0.3333333333333332,0.0007945188408944958
Jefferson City,0.0006706555,-0.00022355183333333333,0.8660254037844387,0.3333333333333332,0.000387203133458503
Jefferson County,-0.0019441175000000002,0.003522657166666667,-0.8180097892224472,0.39015489535799613,0.001367055452214753
Jenkins County,0.0,0.0,0.0,1.0,0.0
Johnson County,0.0,0.0,0.0,1.0,0.0
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,-0.0002177680000000001,0.0020526333333333335,-0.9111019523899333,0.2704657764459174,9.851789523397936e-05
Lee County,0.0,0.0,0.0,1.0,0.0
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,-0.003977584,0.006629306666666667,-0.8660254037844387,0.3333333333333332,0.002296459193124348
Lowndes County,0.0,0.0,0.0,1.0,0.0
Lumpkin County,0.00019132949999999996,0.00043814783333333333,0.24446636972212343,0.8427744439939361,0.0007588943085595538
Macon County,0.0,0.0,0.0,1.0,0.0
Madison County,0.0,0.0,0.0,1.0,0.0
Marietta City,0.0,0.0,0.0,1.0,0.0
Marion County,0.0,0.0,0.0,1.0,0.0
McDuffie County,0.0,0.0,0.0,1.0,0.0
McIntosh County,0.0,0.0,0.0,1.0,0.0
Meriwether County,0.0,0.0,0.0,1.0,0.0
Miller County,0.0,0.0,0.0,1.0,0.0
Mitchell County,0.0,0.0,0.0,1.0,0.0
Monroe County,0.0,0.0,0.0,1.0,0.0
Montgomery County,0.0,0.0,0.0,1.0,0.0
Morgan County,-0.0027660954999999994,0.028225145833333333,-0.993910023720487,0.07029486017688767,0.00030667662731300946
Murray County,0.0,0.0,0.0,1.0,0.0
