SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,0.89696511,16.353520773333333,0.9517508522934104,0.19856458560015383,0.2892073245259456
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,3.26445017,22.805390896666665,0.9896488180556485,0.09167806254892912,0.47338241258110386
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.0,0.0,0.0,1.0,0.0
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,6.671110575,1.443512591666666,0.936395120567989,0.22828091163559547,2.500237150132093
Calhoun County,0.0,0.0,0.0,1.0,0.0
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,-6.878495319999999,28.632897423333333,-0.8932006006929928,0.29690855658003146,3.462798027511955
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,0.0,0.0,0.0,1.0,0.0
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,-129.983661795,290.5007091983333,-0.927427745910107,0.2440296322991671,52.41831330712255
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,0.0,0.0,0.0,1.0,0.0
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,-6.121931055,11.200981534666667,-0.959121104382504,0.18265659981611274,1.806322142703995
Cook County,-39.596505204500005,69.88008979483334,-0.8337113624049436,0.37242340092244103,26.226353572883625
Coweta County,0.0,0.0,0.0,1.0,0.0
Crawford County,0.0,0.0,0.0,1.0,0.0
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,1.1685014799999998,54.04064805333333,0.19514737050812048,0.8749629700722118,5.872668368358767
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,0.0,0.0,0.0,1.0,0.0
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,-0.668751734,1.1145862233333332,-0.8660254037844386,0.3333333333333333,0.3861039936459291
Elbert County,9.529206656500001,0.4848557258333326,0.7395723108474102,0.4700556027466885,8.672432418182781
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,-23.2194172615,53.93755498383334,-0.8732665101047856,0.32399470148900356,12.955375121470084
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,0.0,0.0,0.0,1.0,0.0
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,0.1860687725,0.06222580450000001,0.6543478447044173,0.5458864603639922,0.2150294113039114
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,10.853636228500001,4.642773839166667,0.8761589034199274,0.32019522692940683,5.9711720772306025
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,96.64396445,-3.005768296666659,0.998552199144863,0.03426115082831938,5.206143405606347
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,0.075371626,0.07365203033333334,0.8888210162947847,0.30305035347423387,0.03885977865422604
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,0.0,0.0,1.0,0.0
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,-40.685,105.53517543333334,-0.6970108911955878,0.5090258152015825,41.85531162434858
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,4.067033093,-1.3556776976666667,0.8660254037844387,0.3333333333333332,2.348102651046666
Jefferson City,2.5956980805,-0.8652326935000001,0.8660254037844386,0.3333333333333333,1.4986269855116703
Jefferson County,-4.642815289,8.352678889666667,-0.8223099283075015,0.3853700063686242,3.212836122752541
Jenkins County,0.0,0.0,0.0,1.0,0.0
Johnson County,0.0,0.0,0.0,1.0,0.0
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,-1.5151502915000001,12.992945433833333,-0.9120622800313516,0.26897869563353743,0.681192466378086
Lee County,0.0,0.0,0.0,1.0,0.0
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,-14.467596515,24.112660858333335,-0.8660254037844386,0.3333333333333333,8.352870742462144
Lowndes County,0.0,0.0,0.0,1.0,0.0
Lumpkin County,0.7176883025,1.6999149201666666,0.2368181562729217,0.847790876307848,2.9443390102730587
Macon County,0.0,0.0,0.0,1.0,0.0
Madison County,0.0,0.0,0.0,1.0,0.0
Marietta City,0.0,0.0,0.0,1.0,0.0
Marion County,0.0,0.0,0.0,1.0,0.0
McDuffie County,0.0,0.0,0.0,1.0,0.0
McIntosh County,0.0,0.0,0.0,1.0,0.0
Meriwether County,0.0,0.0,0.0,1.0,0.0
Miller County,0.0,0.0,0.0,1.0,0.0
Mitchell County,0.0,0.0,0.0,1.0,0.0
Monroe County,0.0,0.0,0.0,1.0,0.0
Montgomery County,0.0,0.0,0.0,1.0,0.0
Morgan County,-6.327357374999998,85.69977725166666,-0.9666259354171374,0.16493581793711834,1.6769856763479987
Murray County,0.0,0.0,0.0,1.0,0.0
Muscogee County,0.9305082865,0.28316075583333344,0.8846408007190634,0.308807216881747,0.49044881581293864
Newton County,0.0,0.0,0.0,1.0,0.0
Oconee County,-1.8085735045,3.311646322833333,-0.9597654251593986,0.1812015167106854,0.5291427101878222
