SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.000628005,-0.000209335,0.8660254037844386,0.3333333333333333,0.00036257885580243105
Atlanta Public Schools,4.924399999999999e-05,0.0004032416666666667,0.9970723447001647,0.048726038500073066,3.776448110769279e-06
Bacon County,0.008560989000000001,0.04876228866666667,0.7215889842146956,0.48682415313476163,0.008213759629816323
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,-0.001367793,0.000455931,-0.8660254037844386,0.3333333333333333,0.0007896956567456859
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,0.00010487150000000001,-3.4957166666666685e-05,0.8660254037844387,0.3333333333333332,6.054758875531983e-05
Bartow County,0.00017697999999999998,0.0005768783333333333,0.661049211947561,0.540222879706274,0.00020088613941318434
Ben Hill County,0.0,0.004239974,0.0,1.0,0.007343850390771043
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,0.00034097800000000003,0.00262668,0.6052376388528656,0.5861561763784999,0.00044847471945138673
Bleckley County,0.006840963,-0.002280321,0.8660254037844387,0.3333333333333332,0.003949631829566269
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.006816669000000001,0.012425174999999997,0.8917056104768962,0.2990182021830191,0.003460034759841584
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,3.5052000000000694e-05,0.013344185,0.035341449613552546,0.9774962481342366,0.000991190323342596
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.0,0.0,0.0,1.0,0.0
Burke County,0.000255309,-8.5103e-05,0.8660254037844386,0.3333333333333333,0.0001474027198765342
Butts County,0.000361768,-0.00012058933333333334,0.8660254037844386,0.3333333333333333,0.00020886685218419259
Calhoun City,-0.0005374224999999998,0.007461340833333334,-0.150587690524844,0.9037668265546934,0.003528137554219518
Calhoun County,0.0,0.0,0.0,1.0,0.0
Camden County,0.012525571000000001,0.035125175333333335,0.7835716704660343,0.42679147164632664,0.009931643993830092
Candler County,0.003929038,-0.0013096793333333334,0.8660254037844387,0.3333333333333332,0.0022684311469562683
Carroll County,6.162150000000002e-05,0.00025421216666666666,0.7129175132395268,0.4947467694439399,6.0612829335738276e-05
Carrollton City,3.431150000000015e-05,0.015542382166666667,0.010334591617050387,0.9934206775176078,0.0033198861574222807
Cartersville City,0.0,0.0,0.0,1.0,0.0
Catoosa County,0.0020021195,-0.0006673731666666665,0.8660254037844387,0.3333333333333332,0.0011559242322747986
Charlton County,-0.0028167490000000003,0.044036203999999995,-0.9946610646671015,0.06581363268265923,0.00029223680840544434
Chattahoochee County,0.277922671,1.0899818216666666,0.9992400567615779,0.024820653140551742,0.010841195834407832
Chattooga County,0.0005555555,-0.00018518516666666667,0.8660254037844386,0.3333333333333333,0.00032075011747477716
Cherokee County,-0.000232482,0.0004828206666666667,-0.8283663143836529,0.37854130095458655,0.0001572170971024886
Chickamauga City,0.0007902854999999999,-0.00026342849999999986,0.8660254037844387,0.3333333333333332,0.00045627154616165785
Clarke County,0.0001352895,0.0001643198333333333,0.9114321277535512,0.26995536335954723,6.107413220082083e-05
Clay County,0.38063045250000016,3.8994775131666666,0.4816270212191947,0.6800920072028945,0.6926013106877613
Clayton County,-2.8349999999999998e-05,0.00024851699999999997,-0.7095925810804707,0.4977580414585902,2.8151021775416965e-05
Clinch County,0.000833971,-0.00027799033333333336,0.8660254037844385,0.3333333333333334,0.00048149338134634176
Cobb County,-2.5609500000000013e-05,0.0005109108333333333,-0.36450576729425543,0.7624758894543581,6.542446647916458e-05
Coffee County,-0.00033043649999999966,0.010652935166666667,-0.08014813660703192,0.9489213257736868,0.0041095587201572005
Colquitt County,0.0008411985,-0.00028039950000000003,0.8660254037844386,0.3333333333333333,0.00048566618041690954
Columbia County,-5.7274500000000016e-05,0.0011242391666666665,-0.3934821470415032,0.7425406329725269,0.0001338162246668293
Commerce City,0.003668775,-0.0012229250000000001,0.8660254037844385,0.3333333333333334,0.002118168233846171
Cook County,0.0,0.0,0.0,1.0,0.0
Coweta County,-1.535e-05,2.5583333333333336e-05,-0.8660254037844387,0.3333333333333332,8.862326632060752e-06
