SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,186.5,4418.09,0.8912192736553113,0.2997015292978218,94.91638425477478
Atkinson County,159.12,1599.976666666667,0.9269514562749342,0.24483908764125042,64.4034225281028
Atlanta Public Schools,1065.795,11802.575,0.999871774730133,0.010194984560797524,17.069360708592328
Bacon County,53.990000000000116,1979.98,0.96808290316368,0.16127563067936151,13.977650017080961
Baker County,-70.5600000000004,9506.913333333334,-0.15646724313583077,0.8999788726486408,445.4026386690287
Baldwin County,167.16000000000008,3949.663333333334,0.925091608051884,0.24797585827307994,68.61807949318704
Banks County,350.6600000000001,3065.4300000000003,0.999352332981272,0.02291365946215648,12.626650387178287
Barrow County,345.29999999999995,3187.6066666666675,0.9999804482308722,0.003980969576107044,2.1592900067696195
Bartow County,584.685,4011.2049999999995,0.9916889509289372,0.08213424896734733,75.85516511747844
Ben Hill County,250.6500000000001,2204.7,0.9922264040496062,0.07943059946043604,31.436722157374874
Berrien County,223.17999999999995,1747.3899999999999,0.9973327493413054,0.046507566377981854,16.333239115374298
Bibb County,385.3750000000002,3880.541666666667,0.9857404799219193,0.10763784618521567,65.78617642281158
Bleckley County,212.84000000000003,1638.5766666666668,0.9835287535417228,0.11570610552158786,39.11548073759715
Brantley County,89.02499999999998,1767.585,0.7328096902978245,0.47641710683259714,82.66212479122458
Bremen City,217.73499999999987,2271.021666666667,0.7883349144293782,0.42188691330424977,169.92861797923663
Brooks County,307.8000000000002,3722.833333333333,0.8784668230623592,0.3171337035739678,167.41425755691571
Bryan County,262.895,2527.1983333333337,0.9887016855354217,0.09578813093578936,39.85737583350573
Buford City,276.27999999999975,5633.76,0.7042761192115145,0.502543417216496,278.4964493489997
Bulloch County,291.43000000000006,3285.5966666666664,0.9152745812326074,0.26394720713211245,128.2641358031673
Burke County,2661.88,13239.763333333332,0.9828664287043792,0.11801605972790966,499.1885897467359
Butts County,322.64499999999975,3467.1549999999997,0.9605200707639528,0.1794826965274083,93.45280132237869
Calhoun City,318.10000000000014,3359.2666666666664,0.955855927454508,0.18986374189178776,97.78581509264697
Calhoun County,431.4850000000001,5624.395,0.7887740499627632,0.4214323143533155,336.25168352738405
Camden County,230.78500000000008,2703.3583333333336,0.9997645931016536,0.01381380221260515,5.00851358521963
Candler County,176.5150000000001,2251.875,0.9662851120640938,0.16578062644987454,47.03383967953276
Carroll County,303.6750000000002,2613.4849999999997,0.9991283937270055,0.02658195043871189,12.687272165441769
Carrollton City,154.4000000000001,3151.4666666666667,0.9993043962559136,0.023746590015076886,5.761955686512585
Cartersville City,313.78999999999974,3794.9699999999993,0.8580566778587,0.3433435330035193,187.8062690646932
Catoosa County,177.02499999999986,3135.7183333333332,0.9391245252714329,0.22327724638630816,64.76426644634631
Charlton County,94.52499999999986,3361.421666666667,0.9893780725488895,0.09287139250858482,13.888160725356519
Chattahoochee County,152.60500000000002,1623.7183333333335,0.9592928300649447,0.18226989244017017,44.9265111969907
Chattooga County,240.5250000000001,2729.3016666666663,0.9841187091139226,0.11360945198499547,43.38498597825436
Cherokee County,411.18499999999995,4141.978333333334,0.980808740817494,0.1249234206963729,81.73836436052144
Chickamauga City,12.839999999999918,2248.006666666667,0.2327665832940902,0.8504443668490949,53.64738701309994
Clarke County,866.23,6339.026666666667,0.9973192884410472,0.04662482665766693,63.55471763239496
Clay County,1018.6799999999994,7045.040000000001,0.9971739803859984,0.047872381937210724,76.74717128337788
Clayton County,378.1400000000001,2611.33,0.9999886539339727,0.0030326213261443586,1.8013328398618418
Clinch County,143.27999999999975,4759.323333333334,0.8243142261571368,0.38312193498866143,98.40357988067959
Cobb County,384.02999999999975,4859.993333333334,0.9820325256159839,0.12086235583978656,73.79691140781759
Coffee County,106.81500000000005,2096.908333333333,0.9981579479452037,0.038646730515864466,6.492303777037188
Colquitt County,220.69500000000005,1838.5183333333334,0.994041899837019,0.06952882459036162,24.199636533083318
Columbia County,237.635,3620.961666666666,0.9932616171399652,0.07394641679637244,27.727246677831793
Commerce City,707.8,2027.3200000000004,0.950080157939734,0.20200175712835652,232.4412183757435
Cook County,134.7449999999999,2283.5383333333334,0.9812476425881607,0.12348211871933784,26.468623090998573
Coweta County,350.5300000000002,4328.5666666666675,0.9681885972605403,0.161006940601726,90.59203073854447
Crawford County,122.865,2870.5283333333336,0.9914036720706113,0.08353398711544949,16.214882310190475
Crisp County,163.69000000000005,3058.0733333333337,0.9171520129619121,0.2609642883410004,71.12955316416183
Dade County,202.0,3453.726666666667,0.69363273790415,0.5120181779720294,209.77444680735871
Dalton Public Schools,81.93500000000017,4016.4049999999997,0.98273919100308,0.11845471986163802,15.423912441400807
Dawson County,406.105,6694.005000000001,0.9748738235067163,0.14301180517914275,92.79462201550253
Decatur City,526.585,6787.401666666667,0.9982574122720577,0.03758854654187799,31.12783976335916
Decatur County,349.9749999999999,3398.375,0.9788646239361378,0.13111971805311495,73.11852484151991
DeKalb County,549.4749999999999,5739.668333333333,0.9607749752147454,0.17889848206461523,158.60677920042784
Dodge County,222.3649999999999,1989.1750000000002,0.9773565388578868,0.1357342488652053,48.14235219637699
Dooly County,212.02999999999975,4484.12,0.9772625912602915,0.13601661154100042,46.003269449029524
Dougherty County,250.7049999999999,3102.328333333333,0.9622126402391968,0.17556807167440064,70.94768782936706
Douglas County,286.79999999999995,3316.3866666666663,0.9803448327292271,0.12642920712589129,57.71770641088708
Dublin City,252.44500000000016,4775.038333333334,0.985559020803212,0.10832219895482442,43.37343897287078
Early County,172.69999999999982,4151.506666666667,0.9999880886214652,0.0031072526358752587,0.842931393011763
Echols County,145.4749999999999,2389.9883333333332,0.7956177100388302,0.41429290111621997,110.76753589537566
Effingham County,204.17499999999993,2919.4883333333337,0.9997075220810095,0.0153975721755516,4.939231552917569
Elbert County,156.14499999999998,3220.6316666666667,0.9879579158525545,0.09889691230405626,24.453670651526583
Emanuel County,148.625,1957.0283333333332,0.9810470678673677,0.12414283242248496,29.355374436946644
Evans County,225.78500000000005,2140.5916666666667,0.931487331682375,0.23702374974128354,88.17581986198567
