SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,198.6354980000001,4205.822444333333,0.9716822334730902,0.1518640004008642,48.303718132513865
Atkinson County,171.56327399999998,1527.6492616666665,0.9647023322373134,0.16965002955923794,46.83304360676166
Atlanta Public Schools,1381.8265300000003,10350.404166666665,0.997694534915468,0.043237230528637795,93.99391708867425
Bacon County,69.4768325,1861.7563401666664,0.99897907144097,0.028769330323042172,3.1418498096128147
Baker County,-143.33539849999943,8698.795305166665,-0.388146140721106,0.7462311561763502,340.3295289746049
Baldwin County,167.73170649999997,3682.2543681666666,0.9765218536363143,0.1382230294917309,37.0012087520426
Banks County,359.423755,2890.9956976666663,0.999307786399603,0.023688646111353476,13.380347677288507
Barrow County,297.97282900000005,3079.530592,0.9948378727403404,0.06471373629893698,30.394325483957882
Bartow County,564.1752335000001,3740.493982166666,0.9974579216986278,0.04540269437766311,40.304423631767094
Ben Hill County,216.75408650000008,2096.0632395000002,0.9859445482869559,0.10686303988462868,36.72998633873536
Berrien County,195.35133849999997,1637.0683325000005,0.9991904189616839,0.025618552567954648,7.865482606208153
Bibb County,406.7107390000001,3434.414058,0.9954198763633791,0.06095363655296316,39.06025545229837
Bleckley County,218.59648900000002,1528.189083,0.985400407540933,0.10891690304080076,37.768076267819495
Brantley County,77.3201335,1642.8743348333333,0.7503124966898151,0.45980606032295057,68.12501572377107
Bremen City,225.28162399999997,2210.260159333334,0.8125158497304108,0.3961947765680581,161.6281911458117
Brooks County,367.80203949999986,3330.0791758333335,0.9184086230894315,0.2589496530419751,158.4422023307688
Bryan County,238.81669850000003,2405.3341465000003,0.9917184968356265,0.08198792224323835,30.927501818026215
Buford City,245.00520999999978,5607.4135313333345,0.6401415984944165,0.5577513449690741,294.0395603722771
Bulloch County,275.6473484999999,3002.1594885000004,0.9397591267147916,0.2220983982130103,100.26671777819307
Burke County,2679.7050449999997,12368.517604999997,0.9861543909874811,0.10606046298405217,450.6139321025435
Butts County,317.8054155,3206.505427833334,0.997769023225239,0.042532745766528615,21.26431703911531
Calhoun City,352.8175154999999,3306.4158528333332,0.9494683063338804,0.20324648023642497,116.62984054350086
Calhoun County,427.04466049999974,5361.718575499999,0.9211550737646519,0.2544940637058726,180.4299522475599
Camden County,212.13025500000003,2482.6184566666666,0.9985211892866186,0.034626209263722146,11.549309011366962
Candler County,132.1126139999999,2145.4580706666666,0.9419142896194772,0.2180493101309254,47.106689159149106
Carroll County,295.75666750000005,2421.0998591666666,0.997739390691615,0.042814386441882374,19.920470779046635
Carrollton City,164.88415200000009,3026.7981659999996,0.9839411947710527,0.11424432667884155,29.910989777902284
Cartersville City,328.08075250000024,3659.227465499999,0.8915445047332166,0.29924472356729,166.67550815394898
Catoosa County,171.47302999999988,2972.9147853333334,0.9694668142850476,0.157722063929625,43.37338008314331
Charlton County,107.18513749999988,3089.6763165,0.9936723244134402,0.07165499924447667,12.115472830415436
Chattahoochee County,131.28540599999997,1478.5409423333333,0.9536373153073708,0.1946129687084768,41.43234117983345
Chattooga County,260.1439129999999,2498.7731213333336,0.9993450529776586,0.02304209235411408,9.419875519069192
Cherokee County,390.1273354999998,4019.2456991666663,0.9930613155177389,0.07503867036259669,46.19864275939756
Chickamauga City,-2.8535329999999703,2239.696839666667,-0.1051397214169762,0.9329420381590984,26.989962878522974
Clarke County,930.438318,5902.991121333333,0.9966674127519203,0.05198841403657404,76.15193758959855
Clay County,1359.2101345,6356.271196833333,0.9917624457271217,0.08176978268774134,175.5483933677336
Clayton County,478.393859,2239.092054333333,0.9945757433951734,0.06633790314947664,50.03145266947026
Clinch County,177.5880570000004,4434.813050333332,0.761711104771814,0.44871913114227924,151.05764730264457
Cobb County,404.371576,4611.222344666667,0.9896582819968083,0.09163607043344882,58.61124544174909
Coffee County,116.52136700000005,1954.8727496666668,0.9990234211087473,0.02813741117961188,5.153384046815797
Colquitt County,253.23632399999997,1727.3708066666666,0.9983423663541944,0.03666058640325283,14.599087907525945
Columbia County,220.15830750000006,3418.9374775,0.9963332629327647,0.05453405579957929,18.905442817790153
Commerce City,725.073928,1859.89164,0.9277867847461785,0.24341775391986967,291.5895444827569
Cook County,134.88697450000018,2160.4063668333333,0.987737944786606,0.09979793017914032,21.320111591779256
Coweta County,322.0273400000001,4090.6807706666664,0.9870045418704869,0.10274539446314859,52.42866756747172
Crawford County,111.29338800000005,2692.842622666667,0.9999845240799362,0.003541799072005383,0.6191810282407487
Crisp County,143.52791000000002,2923.1623709999994,0.9511502037034368,0.1998069002328385,46.58691860965588
Dade County,221.5273320000001,3237.171968333333,0.7780164047478283,0.4324520403474229,178.88210013589872
Dalton Public Schools,124.48759849999988,3970.7972001666662,0.9993149206159199,0.023566243842849093,4.610359271855581
Dawson County,417.0195385000001,6304.083660166667,0.9890509780156003,0.09429308413077743,62.22262766718211
Decatur City,503.47777200000013,6685.749027333333,0.9918087922987261,0.08153911357223062,64.84106500180411
Decatur County,325.8895459999999,3141.888911666667,0.989994641711677,0.09013100536773522,46.44937356827554
DeKalb County,715.203915,5173.418729333333,0.9722946154903394,0.15020522330646233,171.94913203385164
Dodge County,227.5603155,1843.423672166667,0.9902880393476943,0.08879749062467206,31.94820166832771
Dooly County,272.4843714999997,4130.5615645,0.9101516024504376,0.2719298858343685,124.02720206662119
Dougherty County,291.92100849999997,2826.081970833334,0.9619517289659724,0.1761770381018434,82.91320316496514
Douglas County,299.7012595000001,3043.0447348333337,0.9848438853739925,0.11097856630262744,52.78108246046045
