SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0038728880000000044,0.20489055233333336,0.4569105222105429,0.6979119097515736,0.007539732058050897
Atkinson County,-0.017520864999999997,0.43821726766666663,-0.4521588088264264,0.7013080503481199,0.03456200634438922
Atlanta Public Schools,0.0013228314999999997,0.027046103833333335,0.827053075614774,0.38003114406360694,0.0008990899650257935
Bacon County,0.03480532750000001,0.3778434418333334,0.9853263968992929,0.10919330082843896,0.006029064767827111
Baker County,-0.31406664699999975,6.4917360529999995,-0.526263864080632,0.6471848334305923,0.507459439503219
Baldwin County,-0.0029883935000000056,0.15610771383333333,-0.3391978230699995,0.7796887926512277,0.008287868021694369
Banks County,-0.03575286050000001,0.2842073035,-0.804500220238814,0.4048664842539306,0.02639588532865941
Barrow County,-0.004376646000000001,0.04847142433333333,-0.7208961454974621,0.4874609165161662,0.004207546896519198
Bartow County,0.0010547504999999999,0.0558502535,0.34634293957774204,0.7748467182026402,0.002856907821858585
Ben Hill County,-0.014833437999999989,0.26992409333333334,-0.7731086874816271,0.4374014118131296,0.012169644162797909
Berrien County,0.006898780999999993,0.18234731066666665,0.339132884425706,0.7797327387002971,0.0191368901276771
Bibb County,0.003269754999999999,0.034877438000000004,0.7812526576083028,0.42916209928564875,0.002612509390732785
Bleckley County,-0.013367733999999992,0.2939021763333334,-0.6079628651554826,0.583973887070739,0.017457512139866932
Brantley County,0.0023501065000000043,0.2943701351666667,0.26627789187681505,0.8284122314172742,0.008507123714622353
Bremen City,-0.0039393850000000175,0.3708276453333333,-0.7231655217209974,0.4853727329182871,0.003762394250516733
Brooks County,0.0066095260000000045,0.4471409826666667,0.2635181663189407,0.830234215794843,0.024195328345374467
Bryan County,0.005572143500000001,0.06823017516666666,0.9542682687187239,0.19327384333000378,0.0017456321066261589
Buford City,-0.002692542499999992,0.1546679281666667,-0.20398002100279627,0.8692244781282769,0.012922500542242272
Bulloch County,0.0031393130000000047,0.06852133033333332,0.4947999972612768,0.6704826355950279,0.005513509741324519
Burke County,-0.01196989300000001,0.29896392266666666,-0.9939749000386142,0.06991905437349964,0.0013199480003759291
Butts County,-0.017749136,0.18274571266666667,-0.8495311625261818,0.353769860007802,0.011021786957159371
Calhoun City,-0.005729781499999989,0.18235345483333332,-0.6634587491616406,0.5381756311365667,0.0064617374104107735
Calhoun County,0.1474726995000002,2.346648514833333,0.9732749980007599,0.14751153361243374,0.03479595358094227
Camden County,0.001342484000000005,0.073074552,0.26881948937878547,0.8267329814534147,0.004810171828443137
Candler County,-0.021596265500000017,0.31902117416666664,-0.9451122563686184,0.21190419799166463,0.007466297433936996
Carroll County,-0.004806896499999998,0.055281702833333335,-0.7826948513039372,0.4276891112128076,0.00382248515520912
Carrollton City,-0.028690363499999996,0.1537179265,-0.8921328022191793,0.2984167825225901,0.014528709775737505
Cartersville City,-0.017666585999999998,0.16032038033333335,-0.9961238857698487,0.056070416939012435,0.0015600240987114176
Catoosa County,0.002562766000000001,0.07550127766666667,0.6071555731501089,0.5846209406894338,0.0033538854487494578
Charlton County,-0.09087129600000002,0.64137363,-0.9491096846673076,0.2039726331641543,0.030154076180541257
Chattahoochee County,-0.051896567499999935,1.0964659381666664,-0.9072013625763053,0.2764286551127632,0.024066005637852744
Chattooga County,0.014290584999999993,0.2691587413333334,0.6489449986271377,0.5504210395525877,0.01675455065936108
Cherokee County,0.0012782605000000004,0.01373098583333333,0.9275108108724394,0.2438882017325323,0.0005151520360146927
Chickamauga City,0.12771844049999997,0.6375102191666666,0.9071220429460365,0.2765486612541657,0.05925615348666299
Clarke County,0.0017800270000000033,0.087325605,0.23824341328454365,0.8468567960511277,0.007256326399362967
Clay County,1.6776186779999995,6.345020269333334,0.8766590939323505,0.3195339877057335,0.9206801324946622
Clayton County,-0.000647468,0.011770865666666666,-0.4075987972224259,0.7327324001081796,0.0014505504047692846
Clinch County,-0.02121265350000001,0.8256548608333334,-0.27405839469162097,0.8232676833203139,0.07443846331561658
Cobb County,0.000442703,0.005292969333333334,0.9498903395163828,0.20238870633212297,0.00014568163872407953
Coffee County,0.0001837010000000014,0.08878771399999999,0.01900716704578955,0.9878989329371051,0.009663082010563042
Colquitt County,-0.009003656499999999,0.10620603449999999,-0.9883101940675978,0.09743674093889916,0.0013889012317003483
Columbia County,0.00011425949999999997,0.025471056166666665,0.9376854805245167,0.22592859417442748,4.2342002716961715e-05
Commerce City,-0.071677935,0.5021263643333334,-0.8904872530451181,0.3007273459139279,0.036624945828834965
Cook County,-0.040581739500000005,0.30889390483333334,-0.7962726872966064,0.4136041116046249,0.030830431339916954
Coweta County,-0.002210692000000002,0.033149672000000005,-0.6324905639066669,0.5640654245810912,0.0027072837468213387
Crawford County,0.01324209400000001,0.44263096933333335,0.8678988342606389,0.3309402111722108,0.0075790986861555805
Crisp County,-0.05884058049999999,0.28025046483333327,-0.8465627864007728,0.3573359541524967,0.03699688555322691
Dade County,0.027931418999999985,0.3397116440000001,0.9984682907198571,0.03524023067855126,0.0015477311567798611
Dalton Public Schools,-0.0022355125000000017,0.10244489883333333,-0.4452497032216732,0.7062298243232767,0.004495662290028035
Dawson County,-0.03692048450000002,0.32838640250000006,-0.8852457642291693,0.30798021874546816,0.019398666801905506
Decatur City,0.013199032999999997,0.18765517366666665,0.974478330083617,0.14413772961559135,0.003040539559801899
Decatur County,0.02262165399999999,0.18271530500000002,0.886532381118397,0.30621454953589405,0.011805866150486375
DeKalb County,0.00041031450000000077,0.010194050833333333,0.9563152450196948,0.18886604833151588,0.00012542963465658034
Dodge County,-0.006209563,0.21260813199999998,-0.23832581807433792,0.8468027796088209,0.025304165910420114
Dooly County,-0.06690028050000002,0.8258977488333332,-0.7605572141300666,0.44985171879848335,0.057111293772521936
Dougherty County,-0.0025394394999999972,0.0745365285,-0.999999993474029,7.273068708157324e-05,2.901185114859666e-07
Douglas County,-0.0015797264999999998,0.022108755166666667,-0.9999814336558972,0.003879350235791178,9.626449713303769e-06
Dublin City,-0.00345145899999999,0.42865717899999994,-0.09798832479523054,0.9375184332740035,0.03505365647167114
Early County,-0.039475297500000006,0.6243039571666666,-0.601886355994177,0.5888320251186683,0.05237575485867637
Echols County,-0.12591149950000002,1.0384176961666667,-0.8909808650888216,0.3000359791322666,0.0641640770665329
Effingham County,0.0007093745000000019,0.050586990166666665,0.33779529504222344,0.780637685217412,0.0019765733690025483
Elbert County,-0.002757846499999994,0.23795610416666665,-0.7720333599347698,0.4384796046835344,0.0022704169432071486
Emanuel County,-0.047610932499999994,0.1820581665,-0.821637541093473,0.38612160616825464,0.033030041757435555
Evans County,-0.005849146999999999,0.529200049,-0.9756397228627588,0.14080621521160488,0.001315218924320957
Fannin County,0.0015066539999999962,0.3060348966666666,0.3715581986752664,0.757647249237569,0.0037646649691254626
Fayette County,0.0018670045000000017,0.03410425416666667,0.9541929342049641,0.19343420428767621,0.0005854086355718397
Floyd County,0.0004062224999999975,0.10654466716666668,0.036551393654753676,0.9767254756509595,0.011106308438492517
Forsyth County,-0.0007191415000000001,0.014160627833333335,-0.9790403811083663,0.13057147113266035,0.00014960040367620407
Franklin County,0.005925240000000012,0.17753224133333328,0.5921645268772233,0.596547105375296,0.008063062549303786
Fulton County,-0.00030056500000000003,0.009091235666666666,-0.5322196743820169,0.6427160853245191,0.00047811126346942914
Gainesville City,0.007114580500000002,0.08593602816666665,0.9918081587231357,0.08154227128341271,0.0009162967350984558
Gilmer County,-0.01280963,0.219149738,-0.900848320962753,0.2858911082931839,0.006173176302494121
Glascock County,0.11483385049999993,1.7869776985000003,0.9050469652486696,0.27967100854349247,0.05396424174830861
Glynn County,0.005114140499999996,0.0680722285,0.9999549734805788,0.006041307460922953,4.85329296534447e-05
Gordon County,0.012637945500000011,0.1311595265,0.9849605613845365,0.11054948810897071,0.002216916780512697
Grady County,0.007143256000000001,0.15755749799999996,0.6037755364490304,0.5873246467406698,0.00943111710615939
Greene County,-0.018916038999999996,0.3285577046666667,-0.9783958433890934,0.1325710741519183,0.003997061731530465
Griffin-Spalding County,0.0075058010000000055,0.078365273,0.9804351408215848,0.12613746927913047,0.0015069430923123856
Gwinnett County,0.000128099,0.0033929776666666665,0.964534014670591,0.17005645479615228,3.505613099492485e-05
Habersham County,-0.021540844500000003,0.16896375283333337,-0.9964096635898739,0.053962581389937335,0.0018302785842925784
Hall County,-0.004544196999999999,0.02313628,-0.7581162357555448,0.45223989273535986,0.003908845497149638
Hancock County,0.3610474735,2.6491042735,0.9241247126355187,0.24959181032365263,0.1492796160309622
Haralson County,-0.014735896500000012,0.25249653650000004,-0.475227945391586,0.684731193714178,0.027282835638250083
Harris County,-0.014133565999999998,0.13990509366666667,-0.9744930225049327,0.14409605664336256,0.0032548450515218555
Hart County,-0.033480667500000005,0.29684625183333335,-0.9623042268820033,0.1753538199732327,0.009462615893470671
Heard County,-0.012033578999999961,0.5151324253333331,-0.4304423675028911,0.7167151425736012,0.025233867741643566
Henry County,0.00045696500000000015,0.016811179666666665,0.5337302559917071,0.6415795398149058,0.0007240261050772499
Houston County,-9.39249999999843e-06,0.025442314833333333,-0.04995710546343454,0.9681830752059214,0.0001877765355258301
Irwin County,-0.04359301099999999,0.5562692589999999,-0.7106677712876046,0.49678585513865064,0.043155036603640506
Jackson County,-0.0006766330000000029,0.10036914499999999,-0.7991210260377312,0.41059724101257405,0.0005090237515823806
Jasper County,0.03679666349999999,0.31182411816666666,0.9952604623918426,0.06200615284455074,0.003595335929400724
Jeff Davis County,-0.01202072350000001,0.2525145335,-0.884538588968749,0.3089467413120537,0.006339204630729846
Jefferson City,-0.0102610515,0.14233912716666666,-0.9609583380323028,0.17847708240240104,0.0029545111942661704
Jefferson County,0.003257301500000004,0.4205774245,0.09328968624420074,0.9405234571090383,0.03476371896071273
Jenkins County,-0.06024089800000004,0.7844864403333334,-0.7302034852669937,0.47885049273575064,0.056365620785126795
Johnson County,0.06581794949999997,0.7617094898333333,0.9212046888177129,0.25441289454971217,0.027798746601193615
Jones County,0.005524433999999995,0.16253264566666664,0.9621622016232677,0.17568595568799647,0.001564479510738747
Lamar County,0.0009988914999999876,0.2901727368333333,0.020016272078018833,0.9872563943727216,0.0498939748893962
Lanier County,0.017249033000000025,0.5328815626666668,0.4860342910052319,0.6768860157117568,0.03101553878514835
Laurens County,-0.005066714,0.10022884266666666,-0.42000509339206105,0.724056566031215,0.010947850904336677
Lee County,0.003980208499999999,0.1325700475,0.815921873884179,0.3924598119149982,0.002820375406225337
Liberty County,-0.002218893999999999,0.077151685,-0.3154819463872922,0.7956676566498965,0.006674165070380192
Lincoln County,0.027133633000000046,1.0276228596666666,0.3197378632095804,0.7928103032406448,0.08040737164949573
Long County,-0.0107815785,0.1602020075,-0.9837667115965855,0.11486497745252298,0.0019667029888004823
Lowndes County,1.939499999999844e-05,0.06679905833333336,0.007671730393635802,0.9951159768337778,0.00252803842754819
Lumpkin County,-0.025361807999999996,0.21846092833333333,-0.7023983984330313,0.5042250447378566,0.025700698735553584
Macon County,-0.03414024249999992,1.2366770855,-0.3432733188372661,0.7769285742789602,0.09341165732147035
Madison County,-0.0407896525,0.15965299116666665,-0.8291847001714511,0.3776102459202898,0.027497353017518822
Marietta City,-0.008275197500000005,0.08495809383333333,-0.7632327214052387,0.44722197430071764,0.007005466264024403
Marion County,0.04481679100000002,0.7688302786666666,0.8871989844450898,0.3052960469556117,0.02330693004130867
McDuffie County,0.007962545500000001,0.23629618783333334,0.5401272122525299,0.6367522316146306,0.01240660689980682
McIntosh County,-0.1850888525,1.2989641775,-0.8262298460779364,0.3809624708235563,0.12619574007000248
Meriwether County,0.055136218999999986,0.43665829400000006,0.999611108923135,0.01775510256508808,0.0015381286671029806
Miller County,0.2938653950000001,1.2487454199999997,0.9179896039401805,0.25962307689039277,0.1269603946021978
Mitchell County,0.12244136199999997,0.5449958356666667,0.36061952558586774,0.7651305768927198,0.31668460278593047
Monroe County,-0.009726257500000002,0.2779567828333333,-0.9704936014773917,0.15503398810115818,0.00241656623564928
Montgomery County,-0.20939292199999998,1.1801599876666666,-0.9666018140227075,0.16499574734426525,0.05551803017543745
Morgan County,-0.024645978499999995,0.2445233858333333,-0.9835589361112542,0.11559975214350479,0.0045251521870777345
Murray County,0.008059947999999997,0.09242938566666667,0.9730731511008809,0.14807005899035766,0.001909198613314057
Muscogee County,-0.0006862859999999995,0.027203847666666663,-0.42826213573430794,0.7182519847634647,0.001448097820825767
Newton County,0.0015544559999999992,0.038254445,0.5990642646464931,0.5910787789760562,0.0020776642257111714
Oconee County,0.0009613880000000005,0.08790023266666666,0.17779334923652523,0.8862082784086648,0.005321183397002332
Oglethorpe County,0.00998569299999999,0.37017879499999995,0.7840054758656573,0.4263467747306931,0.007906396244358127
Paulding County,-0.0004544039999999985,0.020592555,-0.5671759894495563,0.616071858319,0.0006598403436006322
Peach County,-0.01864600150000001,0.2353219861666667,-0.9357285468881068,0.22948703027264297,0.007028572399147643
Pelham City,-0.02410284499999998,0.5445503629999999,-0.6211362185444165,0.5733427252522005,0.030411143697299102
Pickens County,-0.013122038500000002,0.21531830783333333,-0.5060322999781075,0.6622233029030142,0.022366060124052966
Pierce County,0.020143204499999998,0.17231055350000002,0.9611185313225594,0.17810813588110141,0.005787284908847209
Pike County,-0.01832494200000001,0.19858424933333332,-0.9278454586707909,0.24331762204216395,0.007366054127423526
Polk County,0.0075311254999999985,0.10075953016666667,0.9150679755798332,0.2642735297150935,0.003319207193505715
Pulaski County,0.007935675500000017,0.5449191364999999,0.15877347694655292,0.8984920931803937,0.04934710698236901
Putnam County,-0.13804542549999999,0.6034193235,-0.858740973873855,0.3424943103940019,0.08237157586633115
Quitman County,-0.12634230049999973,4.330988309166667,-0.27247178882056844,0.8243177135782978,0.4461452135948792
Rabun County,0.0060119490000000156,0.6575125316666667,0.08421610955856634,0.9463227819034239,0.07113355939767982
Randolph County,0.38898372350000016,2.0731448694999997,0.8192023578241198,0.38883304175872524,0.2723184847920483
Richmond County,0.0018249140000000004,0.027942480333333335,0.9178702972266374,0.2598145184904808,0.0007890796240084617
Rockdale County,-0.00024568599999999843,0.04101709366666667,-0.09162296439086037,0.9415890897036068,0.0026702103539858702
Rome City,-0.004088837999999997,0.1303365986666667,-0.2600994257156579,0.8324893133902299,0.015179225046465333
Savannah-Chatham County,0.002016466500000001,0.02608929516666667,0.9147712359609114,0.2647415512089676,0.0008904920648170226
Schley County,-0.013129755500000007,0.6235679825,-0.48827681950023416,0.675251280952013,0.023466587309323914
Screven County,0.015226014500000022,0.3472115478333333,0.8386773424506041,0.36665874798112985,0.009887620169778982
Seminole County,0.04197400499999998,0.7410725003333334,0.346011099339132,0.7750718972598004,0.11381510123060336
Social Circle City,0.02453206899999999,0.4534640283333333,0.6929494294793801,0.5126218039864052,0.025524637503015014
Stephens County,-0.021745934999999994,0.19995807766666665,-0.7428923316846738,0.46690684231372886,0.01959498812141534
Stewart County,-0.5891872794999999,3.5131429291666665,-0.8632258566782879,0.33688072717555534,0.3445590602146743
Sumter County,-0.0006108724999999982,0.18479715883333334,-0.735312162082871,0.4740711113712605,0.0005630340032396615
Talbot County,0.04724659199999981,3.694679949666667,0.14756843852868365,0.9057106644234578,0.31666208266133045
Taliaferro County,-0.29306785499999943,12.717330821666668,-0.7651301243547103,0.44534922397726906,0.24662375556960278
Tattnall County,-0.004788848499999998,0.18184082016666667,-0.2863151944290578,0.8151391097471149,0.016025575219101182
Taylor County,0.010702354499999955,0.6502623448333333,0.1684245282382058,0.8922641064258197,0.06263616518979384
Telfair County,0.008676993500000008,0.4726859265,0.503586260249179,0.6640272215378731,0.014886118459879362
