SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.007714696500000003,0.049355472166666664,0.9381888375091002,0.22500459533492218,0.0028461650653997662
Atkinson County,-0.019036826000000007,0.14257770366666667,-0.7737269325159107,0.43678051070349766,0.0155871472603591
Atlanta Public Schools,-8.789999999999991e-05,0.002119429333333333,-0.8102580739576033,0.39865384881412386,6.357954369396911e-05
Bacon County,-0.0011239560000000023,0.081784161,-0.25507805964631897,0.8357976600082423,0.004260562662337803
Baker County,-0.7448905725,1.6927259608333334,-0.8607955260643565,0.3399330868069092,0.4404213866974945
Baldwin County,0.0025244920000000014,0.031891407999999996,0.6660559691177783,0.535962360643355,0.0028271243421970306
Banks County,-0.005718044999999998,0.06674769033333333,-0.8044629234746621,0.40490645858486757,0.004222115175861664
Barrow County,0.0004055575000000005,0.010029318166666667,0.963007588352066,0.17369983935882946,0.00011348541228758634
Bartow County,5.180949999999962e-05,0.0110424005,0.10735628310681959,0.9315228980447683,0.0004798049204840963
Ben Hill County,-0.006496536000000001,0.04430916866666666,-0.9164627173683794,0.2620631799502969,0.0028363342336911483
Berrien County,0.003902308,0.044279921,0.9792074951473617,0.1300480718308991,0.0008084364464835821
Bibb County,0.0007963394999999998,0.007547884499999999,0.9228166224434564,0.2517623360223009,0.00033244030572532866
Bleckley County,0.0015705344999999982,0.04814225416666667,0.9062314452065977,0.27789275460960405,0.000732697617445346
Brantley County,0.0028382229999999974,0.05667964733333333,0.9985433550831091,0.03436566098207678,0.000153360397304303
Bremen City,0.0018964294999999976,0.06337504883333335,0.9602199244325161,0.18016823661850576,0.0005515072051152955
Brooks County,0.0146713435,0.05876182283333334,0.9933470946007233,0.07347538421021872,0.0017008499329964864
Bryan County,0.0013324460000000002,0.013167099333333335,0.9817957509179805,0.12165852564964116,0.00025777708023859235
Buford City,0.0003853644999999989,0.0244262525,0.2901932704813063,0.8125608089281997,0.0012708134717419198
Bulloch County,0.0005498685000000008,0.011943961833333332,0.9217229570727156,0.2535635491819335,0.0002313774505047617
Burke County,0.0003798664999999993,0.042062860166666674,0.6208750560313283,0.5735548455998015,0.00047961497224553365
Butts County,0.001027354500000001,0.0400973365,0.9995379871225655,0.019352580529646345,3.124013439071431e-05
Calhoun City,-0.001977076999999999,0.023246851666666665,-0.9725901805745732,0.14939815197186984,0.00047267782008608564
Calhoun County,-0.13891140549999997,0.6492067564999999,-0.8558985266031386,0.34600952960853504,0.08393187997992319
Camden County,0.0006724290000000004,0.018050248999999997,0.7687970863879363,0.4417112131985441,0.0005593328993390255
Candler County,0.0015145895,0.06186414983333334,0.26802287240641104,0.8272594438893792,0.005444216450691509
Carroll County,0.0004471849999999992,0.009930109666666668,0.9675121665523168,0.16271902604891308,0.00011685569448398058
Carrollton City,2.6295500000000565e-05,0.018063025500000003,0.09388077011307946,0.9401455026861767,0.0002788575819423767
Cartersville City,0.00033140100000000026,0.014480388,0.8058320811278021,0.4034367715092872,0.00024352114739176106
Catoosa County,4.219650000000016e-05,0.015396028833333332,0.10440934765502057,0.9334095819080888,0.00040193595762768404
Charlton County,0.006631734,0.16506969866666668,0.6676832681070552,0.5345721204674784,0.007394171085533072
Chattahoochee County,-0.0009976574999999988,0.1221371285,-0.3767461141937478,0.7540858384554723,0.0024529693248222127
Chattooga County,0.003913142000000001,0.06737495400000001,0.9949830335412988,0.06379658868721146,0.0003934595896505691
Cherokee County,0.00010617150000000013,0.0025008975,0.9242417335439959,0.24939676400891125,4.38598565746628e-05
Chickamauga City,0.009969429000000002,0.108608258,0.9188694955802613,0.2582070500207937,0.0042808622978025125
Clarke County,0.0012876214999999998,0.010552105499999999,0.9991865002788455,0.025680487921251743,5.1969318455696746e-05
Clay County,0.3768013114999999,1.3188586755,0.7445512887922427,0.4653269722059525,0.33784034737487373
Clayton County,0.0002345079999999999,0.0017658083333333336,0.9796629179452601,0.1286110324168755,4.80309235944234e-05
Clinch County,0.01199600399999999,0.10530577633333334,0.9980385746279602,0.039879713267661,0.0007524490588294295
Cobb County,7.855999999999998e-05,0.001217928,0.9958202964612836,0.058226306856367364,7.2053313594865105e-06
Coffee County,0.0006731250000000001,0.024353047666666666,0.9819060348643012,0.12128833128861242,0.00012981778537755534
Colquitt County,0.002563460000000001,0.014568821,0.9798698661893633,0.12795276912068912,0.0005222756723110878
Columbia County,4.437499999999971e-05,0.005399718666666668,0.8783971587831169,0.3172265110336404,2.4144210907240838e-05
Commerce City,0.0017642169999999983,0.12071345766666666,0.5694940558774375,0.6142783081801428,0.0025464328071245807
