SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,6.815000000000005,62.964999999999996,0.2891774656635266,0.8132364610585786,22.55996176858463
Bacon County,7.4799999999999995,0.7800000000000002,0.9780527357742909,0.13362349609258625,1.5934867429633708
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,-0.36,0.6,-0.8660254037844388,0.333333333333333,0.20784609690826514
Bartow County,12.37,26.28,0.8771479117229141,0.3188865715801835,6.77231865759431
Ben Hill County,-1.625,36.638333333333335,-0.028088374693795045,0.9821160331575192,57.830289713378875
Berrien County,4.84,-1.6133333333333333,0.8660254037844387,0.3333333333333332,2.794375302877788
Bibb County,0.6349999999999998,3.868333333333334,0.1932186813959163,0.876214637000467,3.22450125342406
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,3.8149999999999995,6.955000000000002,0.30191345746020287,0.8047492653082544,12.046413366641543
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.145,-0.048333333333333325,0.8660254037844386,0.3333333333333333,0.08371578903249574
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,-0.37,0.6166666666666667,-0.8660254037844387,0.3333333333333332,0.21361959960016147
Calhoun City,-0.834999999999999,22.351666666666663,-0.02475082365673411,0.984241527049704,33.72591597471199
Calhoun County,0.0,0.96,0.0,1.0,1.6627687752661222
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.9049999999999999,-0.3016666666666665,0.8660254037844386,0.3333333333333333,0.5225019936166114
Carroll County,0.62,1.9633333333333334,0.17936438266678534,0.8851917878728882,3.4005930855268955
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,1.77,1.1400000000000001,0.8174756644040712,0.39074565980237563,1.247076581449592
Catoosa County,0.375,1.938333333333333,0.2987281341774281,0.8068752452549132,1.1980018085684732
Charlton County,-1.2850000000000001,33.43166666666667,-0.024032429271545277,0.9846990072390279,53.453974672921504
Chattahoochee County,-4.455,7.425000000000001,-0.8660254037844387,0.3333333333333332,2.572095449239782
Chattooga County,0.5950000000000001,0.9483333333333331,0.4066924526367838,0.7333641278647576,1.3365658731739838
Cherokee County,-130.53000000000003,306.6,-0.9301466752266285,0.2393589942874083,51.52851152517411
Chickamauga City,2.735,-0.9116666666666666,0.8660254037844387,0.3333333333333332,1.579052986233626
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.735,-1.225,0.8660254037844387,0.3333333333333332,0.4243524478543748
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,-85.695,145.16166666666666,-0.8672120255457895,0.33181936007897755,49.20467669168585
Coffee County,1.5899999999999999,1.6166666666666671,0.662952865545895,0.5386059352237057,1.7955593371797363
Colquitt County,4.755000000000001,26.48166666666667,0.7773444899471759,0.433132463007425,3.8480395441488535
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,0.0,0.0,0.0,1.0,0.0
Cook County,-1.625,2.708333333333333,-0.8660254037844385,0.3333333333333334,0.9381941874331425
Coweta County,0.9199999999999999,2.8400000000000003,0.6817433810969787,0.5224441371119104,0.98726896031426
Crawford County,-3.055,6.318333333333333,-0.9930964748651878,0.0748480929965643,0.36084391824351336
Crisp County,0.0,0.09333333333333334,0.0,1.0,0.16165807537309523
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.49499999999999994,0.8516666666666668,0.6095646183214846,0.5826885701202551,0.6437455501464328
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,6.624999999999993,83.73833333333334,0.04578801872063887,0.9708402467747426,144.53675314027686
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,-0.06999999999999999,0.29,-1.0,9.003163161571059e-11,0.0
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,-0.2549999999999999,3.075,-0.2850808501348534,0.8159590950354739,0.8573651497465942
Douglas County,-0.16000000000000014,2.47,-0.19688673195794124,0.8738337517338639,0.7967433714816836
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,3.4050000000000007,0.25166666666666604,0.7491312494132895,0.46094244472594087,3.010881653823898
Echols County,5.63,-1.8766666666666665,0.8660254037844387,0.3333333333333332,3.250482015537592
Effingham County,0.0,0.0,0.0,1.0,0.0
Elbert County,0.0,0.0,0.0,1.0,0.0
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,-0.6699999999999999,1.3633333333333333,-0.7543183100621701,0.45593510211422383,0.5831237718815221
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,-2.630000000000001,21.14,-0.5299189336372928,0.6444446926188931,4.208883462392371
Forsyth County,0.72,1.0,0.9954022744967959,0.06107073938505103,0.06928203230275488
Franklin County,-23.53,39.21666666666667,-0.8660254037844387,0.3333333333333332,13.58505183403189
Fulton County,-2.8299999999999996,12.540000000000001,-0.9291732575364002,0.24104104938609658,1.1258330249197697
Gainesville City,-21.56,76.0,-0.4710498948551259,0.6877503435033199,40.374104324430526
Gilmer County,0.7149999999999999,33.995000000000005,0.9745269457399571,0.14399979291283094,0.16454482671904289
Glascock County,0.69,-0.22999999999999998,0.8660254037844387,0.3333333333333332,0.3983716857408417
Glynn County,0.0,0.0,0.0,1.0,0.0
Gordon County,2.265,1.1150000000000002,0.7609459261132983,0.44947044716490603,1.9312366504392984
Grady County,-0.085,0.14833333333333334,-0.9148074042510735,0.2646845478313032,0.037527767497325656
Greene County,-0.6200000000000001,6.273333333333333,-0.18482829838254822,0.8816542001453782,3.2966700370727637
Griffin-Spalding County,-1.105,1.8416666666666668,-0.8660254037844385,0.3333333333333334,0.637972047454537
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,0.24500000000000008,7.371666666666667,0.03711685253880748,0.9763652488878414,6.596226825491475
Hall County,5.83,1.2299999999999995,0.9766754766898781,0.13776829538154867,1.2817175976009743
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.4949999999999999,1.0416666666666665,0.964428054786052,0.1703118234844436,0.13567731325956214
Hart County,0.6099999999999999,7.193333333333333,0.04890115658392089,0.9688561358996706,12.459218809112125
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,1.23,0.0,1.0,2.130422493309719
Jackson County,-1.1950000000000003,10.598333333333334,-0.08375747353385789,0.9466157939178559,14.217250378794532
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,3.715,-1.2383333333333333,0.8660254037844387,0.3333333333333332,2.1448562500394592
Jefferson City,0.0,0.0,0.0,1.0,0.0
Jefferson County,0.0,0.0,0.0,1.0,0.0
Jenkins County,-18.615000000000002,152.09833333333333,-0.11678369395245675,0.9254831500261504,158.30655706044942
Johnson County,0.0,0.0,0.0,1.0,0.0
Jones County,33.89,-7.353333333333335,0.8881661193187356,0.30395889722256236,17.534127675288932
Lamar County,0.0,0.0,0.0,1.0,0.0
