SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,0.00019942199999999996,0.0010570633333333334,0.42524921116941883,0.7203729035042148,0.00042443847304448414
Bacon County,0.0035706055000000003,0.00031704850000000007,0.9771204943257259,0.13644259528641922,0.000777201508245289
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,-2.475e-05,4.125e-05,-0.8660254037844386,0.3333333333333333,1.428941916244324e-05
Bartow County,0.000906362,0.0018527870000000003,0.8866195902162163,0.30609452991061575,0.0004727979089420764
Ben Hill County,-0.0005215020000000001,0.011842650000000001,-0.027868725925832966,0.9822559206691026,0.018705535575757996
Berrien County,0.0015263324999999998,-0.0005087774999999997,0.8660254037844387,0.3333333333333332,0.0008812284797478742
Bibb County,4.506450000000001e-05,0.00014297983333333333,0.31854756057776945,0.7936098863632316,0.0001340991262987322
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,0.00037719999999999995,0.0006924333333333334,0.300020450209165,0.806012984284482,0.0011993297141876097
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,1.275e-05,-4.25e-06,0.8660254037844386,0.3333333333333333,7.36121593216773e-06
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,-0.00010117599999999998,0.00016862666666666665,-0.8660254037844386,0.3333333333333333,5.841399083552958e-05
Calhoun City,-0.00020125799999999973,0.005344643666666668,-0.024980673738262665,0.9840951546843866,0.008054033945794204
Calhoun County,0.0,0.001846154,0.0,1.0,0.003197632526596513
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.000393992,-0.00013133066666666667,0.8660254037844387,0.3333333333333332,0.00022747138725855902
Carroll County,3.97e-05,0.00012605666666666663,0.1788961042334039,0.8854948043657289,0.0002183365512994408
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,0.000379139,0.00024182733333333328,0.8135481906497793,0.39506597579078656,0.00027099609200195734
Catoosa County,3.6945500000000014e-05,0.00017431883333333332,0.3194124697593255,0.7930289191622125,0.0001096079278797083
Charlton County,-0.0007194850000000006,0.019476010666666668,-0.023023995465393528,0.9853411739353016,0.031241070852852684
Chattahoochee County,-0.0045880535,0.007646755833333333,-0.8660254037844387,0.3333333333333332,0.002648913923281404
Chattooga County,0.00024192749999999997,0.00031530616666666664,0.4481591993989338,0.7041595411544905,0.0004825785111772833
Cherokee County,-0.0029352074999999997,0.006905586166666667,-0.9293332899054374,0.24076528369822725,0.0011662143461225656
Chickamauga City,0.0021087125,-0.0007029041666666667,0.8660254037844386,0.3333333333333333,0.001217465729518529
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,1.1599999999999999e-05,-1.9333333333333333e-05,0.8660254037844386,0.3333333333333333,6.6972631225996604e-06
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,-0.000714763,0.0012114383333333332,-0.8669941578477217,0.33209779994415517,0.00041082108959537747
Coffee County,0.00020639999999999998,0.00020081100000000007,0.6813647434729119,0.5227735424501123,0.0002217215559276996
Colquitt County,0.0006305150000000001,0.0026708843333333333,0.8497824740110681,0.353466467362984,0.00039111843430901256
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,0.0,0.0,0.0,1.0,0.0
Cook County,-0.000512295,0.0008538249999999999,-0.8660254037844385,0.3333333333333334,0.00029577365615449954
Coweta County,4.0408500000000005e-05,0.00011905649999999999,0.6936515005603826,0.5120015955068725,4.19615288895674e-05
Crawford County,-0.001722097,0.0035763599999999998,-0.9912802100908075,0.08413258189202763,0.0002289182270331481
Crisp County,0.0,2.4299999999999998e-05,0.0,1.0,4.208883462392371e-05
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,6.4605e-05,0.00010588366666666667,0.6250299332477541,0.5701735054671835,8.068527746951941e-05
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,0.0011519414999999998,0.0143766115,0.04637523070075002,0.9704660184611209,0.024812860172573756
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,-5.499999999999999e-07,2.6199999999999995e-06,-0.9995045007541193,0.020041699865803574,1.732050807568689e-08
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,-6.651500000000009e-06,0.00020020649999999998,-0.10987476266446433,0.9299100417919266,6.017057902953901e-05
Douglas County,-3.280500000000003e-06,8.383416666666667e-05,-0.11523243727833025,0.9264774238684953,2.8278904860042468e-05
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,0.0019627900000000003,2.8254666666666442e-05,0.7667802402362367,0.44371520972357736,0.0016431486810682516
Echols County,0.00634009,-0.002113363333333333,0.8660254037844387,0.3333333333333332,0.0036604526681864535
Effingham County,0.0,0.0,0.0,1.0,0.0
Elbert County,0.0,0.0,0.0,1.0,0.0
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,-0.00021265099999999995,0.0004376036666666666,-0.7472165118026438,0.46277960656775036,0.00018913359733356035
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,-0.00020825849999999996,0.002114834166666667,-0.4334709910075245,0.7145773277340141,0.0004329604516928577
Forsyth County,1.3249999999999999e-05,1.9716666666666674e-05,0.9960341598272647,0.05671609975218336,1.1835680518387609e-06
Franklin County,-0.0060659965,0.010109994166666667,-0.8660254037844387,0.3333333333333332,0.0035022047121783272
Fulton County,-2.5265999999999995e-05,0.00012307666666666665,-0.909784601510989,0.27249331102175145,1.152737547464007e-05
Gainesville City,-0.0025347549999999996,0.009023225,-0.4646130098674002,0.6923868934518014,0.004831032648369498
Gilmer County,0.00025795400000000034,0.007850605666666666,0.9954424052316492,0.06080342699504001,2.471232357212348e-05
Glascock County,0.00125,-0.00041666666666666664,0.8660254037844385,0.3333333333333334,0.0007216878364870328
Glynn County,0.0,0.0,0.0,1.0,0.0
Gordon County,0.000348676,0.00016502,0.7733670669682579,0.4371420121464386,0.0002858230242650161
Grady County,-1.785e-05,3.1173333333333335e-05,-0.9155716815958915,0.263477285644538,7.840416655595118e-06
Greene County,-0.000227675,0.002446362,-0.17264788259860808,0.8895354625072536,0.0012989220582725507
Griffin-Spalding County,-0.0001002085,0.00016701416666666666,-0.8660254037844388,0.333333333333333,5.7855404450088574e-05
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,5.312899999999995e-05,0.0010072263333333333,0.057759567700062915,0.9632086407647424,0.000918294655704983
Hall County,0.00020641049999999998,4.19215e-05,0.9758459508371758,0.14020650221659,4.6208517469726156e-05
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,8.774800000000001e-05,0.00018983166666666665,0.9613449619481437,0.17758536285411095,2.513263456809358e-05
Hart County,0.000171252,0.0020004033333333336,0.049365963972491836,0.9685598725012544,0.003464800208963474
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,0.0007273803333333333,0.0,1.0,0.001259859693759719
