SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,8.850519559999995,54.861684143333335,0.3897213961488171,0.7451426114499541,20.914257966165053
Bacon County,7.162655689499999,0.716602906166667,0.9783904178117637,0.13258778020513273,1.5137043861779078
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,-0.3436189955,0.5726983258333334,-0.8660254037844387,0.3333333333333332,0.19838851955059378
Bartow County,11.705194789999998,24.486621736666663,0.8859499215154172,0.3070150379930021,6.1274862282456155
Ben Hill County,-1.5457381259999998,34.42189752333333,-0.028472981255780485,0.9818710870409157,54.265881464486036
Berrien County,4.444818669,-1.481606223,0.8660254037844387,0.3333333333333332,2.5662172550462237
Bibb County,0.6637307785000002,3.4007270984999995,0.22186312416576903,0.8575723683965149,2.9170650268578107
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,3.5961365434999997,6.6197857455,0.2992659157120122,0.8065164703915376,11.46580524642622
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.1317986115,-0.0439328705,0.8660254037844386,0.3333333333333333,0.07609396382834392
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,-0.3388323765,0.5647206275,-0.8660254037844386,0.3333333333333333,0.19562496378243566
Calhoun City,-0.8098373629999996,22.32808766233333,-0.023968981077801082,0.9847394112524093,33.777184615684845
Calhoun County,0.0,0.9443076923333332,0.0,1.0,1.6355889010994529
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.8365411404999998,-0.27884704683333317,0.8660254037844387,0.3333333333333332,0.4829772526558714
Carroll County,0.578729986,1.8339098689999997,0.1792446447184398,0.885269271141472,3.176425069609984
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,1.733324933,1.0932782096666664,0.821374119028434,0.3864157129238311,1.2036791622332912
Catoosa County,0.36012831450000005,1.8318356071666664,0.3046803192684088,0.802900753469603,1.1257894722135389
Charlton County,-1.1758118700000004,31.165293926666664,-0.023553645316082433,0.9850038968872327,49.906740715839284
Chattahoochee County,-4.0550978375,6.758496395833333,-0.8660254037844387,0.3333333333333332,2.3412118280708936
Chattooga County,0.5790622314999999,0.8510814661666667,0.4235319372422949,0.7215802760966881,1.2385407732415452
Cherokee County,-126.09226806,297.00261185333335,-0.926281580603903,0.24597325889591862,51.29716003233743
Chickamauga City,2.67154973,-0.8905165766666667,0.8660254037844387,0.3333333333333332,1.5424199557689717
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.6364588355,-1.0607647258333335,0.8660254037844386,0.3333333333333333,0.3674596800040409
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,-81.18030461800001,137.54491599733333,-0.8672281183728799,0.3317987846688795,46.60892328055433
Coffee County,1.5109808999999998,1.5071361763333333,0.6690555081964511,0.5333976637284729,1.6784553503257398
Colquitt County,5.13835044,24.937447003333332,0.8022559352640951,0.4072658719295106,3.8235849381898945
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,0.0,0.0,0.0,1.0,0.0
Cook County,-1.5368852460000002,2.56147541,-0.8660254037844387,0.3333333333333332,0.8873211104916641
Coweta County,0.8597249049999999,2.680470521666667,0.6874087393591948,0.5174962606377875,0.9083286686077405
Crawford County,-2.855684893,5.914867260666666,-0.9924688557221331,0.0781805178818893,0.3524679653346279
Crisp County,0.0,0.09114583333333333,0.0,1.0,0.1578692142315383
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.500964639,0.8488831793333331,0.6109491443218228,0.5815759559607208,0.6491515728560913
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,6.484897663499999,82.78163718750001,0.045337716767261775,0.9711272159293773,142.88830174149393
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,-0.057689341499999984,0.2616774495,-0.999543708014777,0.01923238109904598,0.0017433342525550461
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,-0.1815093510000001,2.8030804849999997,-0.22053290878392515,0.8584407198942638,0.8027849777407331
Douglas County,-0.12342616299999998,2.2635809073333335,-0.16541685809530363,0.8942060949816606,0.735873074525451
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,3.2928689029999996,0.21442826100000056,0.7517326614214577,0.458436776744797,2.888715215013133
Echols County,5.355292795,-1.7850975983333335,0.8660254037844387,0.3333333333333332,3.091879736782513
Effingham County,0.0,0.0,0.0,1.0,0.0
Elbert County,0.0,0.0,0.0,1.0,0.0
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,-0.638297714,1.2953277973333335,-0.7553439729783475,0.454939617212518,0.5537804201865812
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,-2.296048474999999,19.788457328333333,-0.505077405507525,0.6629278794705626,3.923477536169077
Forsyth County,0.7064852865000001,0.9675266361666667,0.9960610501082425,0.05652336480428505,0.06289184013770178
Franklin County,-21.89213457,36.48689095,-0.8660254037844388,0.333333333333333,12.639429787125003
Fulton County,-2.5832524180000003,11.630806503333334,-0.9339010578241881,0.23276308505991516,0.9889637142944383
Gainesville City,-21.768706762999997,77.115604161,-0.4623079869465572,0.6940429083563326,41.752977503302354
Gilmer County,0.8253537649999991,32.938038238333334,0.967642231491377,0.16239119549687894,0.2152225000392636
Glascock County,0.6620380435,-0.22067934783333332,0.8660254037844387,0.3333333333333332,0.38222784262849807
Glynn County,0.0,0.0,0.0,1.0,0.0
Gordon County,2.12942734,1.0731156373333337,0.7533753185175318,0.45684877249567174,1.85869080625799
Grady County,-0.081371932,0.14346118366666666,-0.9251078236035356,0.24794867238630158,0.03339858204344252
Greene County,-0.5644617305000001,6.0600438525,-0.16992644489284822,0.8912939729286302,3.273490609353577
Griffin-Spalding County,-0.9926090505,1.6543484175,-0.8660254037844386,0.3333333333333333,0.5730831025062341
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,0.31046876,6.985876013333334,0.04907477692867026,0.9687454728897151,6.318819928476477
Hall County,5.746163159,1.1822381390000007,0.9766957529277109,0.13770816600162453,1.2627172306046957
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.4699884315000001,1.0030755605000001,0.9659188043120558,0.16668393781883536,0.12594668675233148
Hart County,0.5790286354999998,6.946536121500001,0.04806940876648377,0.9693862665094437,12.03175349905045
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,1.1827321113333333,0.0,1.0,2.0485521085725433
Jackson County,-1.1215551515,10.148346815833332,-0.08163813134239303,0.9479696467130494,13.69227128607595
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,3.5960026209999993,-1.1986675403333327,0.8660254037844386,0.3333333333333333,2.07615308124095
Jefferson City,0.0,0.0,0.0,1.0,0.0
Jefferson County,0.0,0.0,0.0,1.0,0.0
Jenkins County,-17.68443784,144.69473303333334,-0.11561380822094833,0.9262330019700309,151.93557340236114
