SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0142885835,0.08245827816666668,0.9551275431187158,0.19143553716536968,0.004431036010296014
Atkinson County,-0.006322061499999989,0.16029231249999998,-0.679574240653999,0.5243290926767135,0.0068247244528535245
Atlanta Public Schools,0.0015691424999999997,0.014329463833333334,0.8910187725172944,0.29998282401321563,0.0007994647119755077
Bacon County,0.044596386000000016,0.20896756166666666,0.9948703517920212,0.06450965731692816,0.004534551160784979
Baker County,-0.6211423054999999,3.0911833991666664,-0.9867076696541177,0.10391492438036354,0.10229870897880936
Baldwin County,0.0023304915000000002,0.06203909683333332,0.5777476464625778,0.6078635608372773,0.0032924117901623547
Banks County,0.009361753,0.101716174,0.994327150901855,0.06784240848763803,0.0010014440641234008
Barrow County,0.0035721764999999996,0.022718688499999997,0.9494744778536646,0.20323396194237206,0.0011807658823072193
Bartow County,0.003640385500000001,0.024351542166666663,0.96541888316285,0.16790907603135857,0.000983056901425388
Ben Hill County,0.007095727500000002,0.08828746416666666,0.9385646743228259,0.22431230453561643,0.002609047309843595
Berrien County,0.008776026,0.06781581266666667,0.7522769457709028,0.45791110243947425,0.007686077072234271
Bibb County,0.0005701115000000005,0.013949270833333333,0.32450783696786806,0.7896026653962278,0.0016617742894274427
Bleckley County,0.0222033165,0.11326180816666669,0.975420555337574,0.14144081485888205,0.005015817932150668
Brantley County,0.0170209345,0.0798408875,0.9489262649341272,0.20434306635210606,0.00565910102473147
Bremen City,0.013721611499999994,0.12468682283333336,0.8822213273120036,0.3120945243272077,0.007323121495381188
Brooks County,0.004492226500000002,0.2922200068333334,0.5127404343898557,0.6572606475305349,0.007521881253752962
Bryan County,0.002494719500000001,0.030039163833333334,0.9907915466957288,0.08646140627803577,0.00034091465297649346
Buford City,-0.005915999499999997,0.10008747416666665,-0.869669756189984,0.3286634922827271,0.0033579855016861054
Bulloch County,0.012588585999999999,0.03080418633333333,0.9166559131063067,0.26175562149365356,0.005488833790819349
Burke County,-0.0004982089999999995,0.10178288866666665,-0.46203877598288173,0.6942361729444497,0.0009562866128187338
Butts County,-0.004868455000000008,0.148910549,-0.9481908813479922,0.20582177817789488,0.0016312263980094721
Calhoun City,0.0258406965,0.07546723083333333,0.9594302614101762,0.18195983640217298,0.007593759052865991
Calhoun County,0.06921423949999997,0.49922742350000004,0.9965515885387911,0.052884638725926573,0.005762958255254947
Camden County,0.0036291370000000006,0.03633400333333334,0.9937759552773711,0.07106520059720427,0.000406807927874245
Candler County,0.015147309499999997,0.11294115349999999,0.9878714676096627,0.09925197843433493,0.002380857121499881
Carroll County,0.0028578484999999994,0.018449914166666664,0.9812660598986122,0.12342127515077128,0.0005610975704368013
Carrollton City,0.0019808959999999994,0.02528374666666667,0.6316002988179252,0.5647967931895227,0.0024315649296174123
Cartersville City,0.008367877000000003,0.09625541633333332,0.8511006473430612,0.3518712844124843,0.005161735995809969
Catoosa County,0.0043714145,0.0389066845,0.9816822045203721,0.12203851220954855,0.000848407848995251
Charlton County,0.024228863000000003,0.22718461566666664,0.754053614512719,0.45619171923081875,0.021104373405366385
Chattahoochee County,-0.10096261750000002,0.6325791851666667,-0.9828034866656454,0.11823325751073578,0.01896941553701697
Chattooga County,0.016504427500000002,0.1073265315,0.9998883687636683,0.009512442142400348,0.00024662931256597104
Cherokee County,0.0005508809999999996,0.008498134666666667,0.9977193173674093,0.043004125807064614,3.7269114576729315e-05
Chickamauga City,0.08921314,0.17994163133333332,0.8613916722025177,0.33918665891436917,0.05260677781611587
Clarke County,0.008661557,0.029818530999999995,0.997087589263687,0.04859895069529371,0.0006625025056918753
Clay County,0.49311519950000005,2.3314856351666666,0.7922785117671114,0.41778939223536615,0.37976415797135515
Clayton County,0.0016786309999999997,0.0037580086666666665,0.9580037813959598,0.185153509343844,0.0005024581243211544
Clinch County,0.07716204399999999,0.4560379536666667,0.9999311714937242,0.007469332352960044,0.0009053683605273087
Cobb County,0.000294704,0.0021634673333333337,0.792282508190226,0.41778522248581823,0.0002269581228692494
Coffee County,-0.0016256154999999967,0.07276762283333334,-0.44549144818378367,0.7060579359506538,0.0032669339001332853
Colquitt County,0.005748252000000002,0.060962297333333325,0.9894649981899845,0.0924899279345693,0.0008410480764387583
Columbia County,0.00017980850000000022,0.006513823833333333,0.8924137886018656,0.29802058489755084,9.091390351361729e-05
Commerce City,0.04675897250000001,0.15789786349999996,0.9798401993835936,0.12804733859220763,0.009533840709429276
Cook County,0.004837275500000002,0.1406940585,0.973242029980541,0.1476029003778207,0.0011420805275201792
Coweta County,0.0014231140000000005,0.015763462,0.9778591173691442,0.13421379716357476,0.00030454995759645036
Crawford County,0.020440401499999997,0.22539569183333336,0.9923296468577254,0.07890068814165825,0.0025463713193209147
Crisp County,0.0023820565,0.11628667416666666,0.6835656938455277,0.5208565417679643,0.0025434816812236125
Dade County,0.018828977999999996,0.10933896566666665,0.942068065902102,0.21775763532047815,0.006704026203652937
Dalton Public Schools,0.0028574710000000003,0.04281927766666666,0.9281302001227978,0.24283112978717694,0.0011460783894591735
Dawson County,-0.004203077499999999,0.13387288916666668,-0.8043752871690816,0.40500037300124014,0.003104445017722821
Decatur City,0.018961431499999994,0.10665222116666667,0.9960894603444654,0.056319020982017715,0.0016818262416266718
Decatur County,0.017111617000000003,0.07403649866666664,0.9591301207251814,0.1826363158085849,0.005048319576879548
DeKalb County,0.0003357149999999999,0.006290824333333334,0.7637311703828287,0.4467306330455888,0.0002837589970526633
