SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,0.02,-0.006666666666666666,0.8660254037844385,0.3333333333333334,0.011547005383792525
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,-6.0,10.0,-0.8660254037844387,0.3333333333333332,3.464101615137754
Banks County,-9.47,15.783333333333335,-0.8660254037844386,0.3333333333333333,5.467507049225757
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,-0.05000000000000001,0.41333333333333333,-0.09174183232066814,0.941513095966299,0.5427092530382482
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,9.74,0.0,1.0,16.870174865720863
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,67.425,0.5949999999999989,0.9998832095873449,0.009729778288244438,1.0305702305035194
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,-5.835,9.725,-0.8660254037844388,0.333333333333333,3.368838820721464
Bulloch County,1.11,-0.37,0.8660254037844386,0.3333333333333333,0.6408587988004848
Burke County,0.0,0.9900000000000001,0.0,1.0,1.7147302994931886
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,0.0,0.0,0.0,1.0,0.0
Calhoun County,0.0,58.593333333333334,0.0,1.0,101.48663031815242
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,-16.8,28.21,-0.874103805899734,0.32289902055278197,9.335753852796248
Carrollton City,-17.4,29.0,-0.8660254037844387,0.3333333333333332,10.045894683899483
Cartersville City,0.0,8.596666666666666,0.0,1.0,14.889863442400447
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,-0.9249999999999997,8.108333333333333,-0.9485142572487398,0.20517279989749856,0.3088823940164502
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,-3.98,6.633333333333333,-0.8660254037844387,0.3333333333333332,2.29785407137471
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,-2.205,14.701666666666668,-0.20149936120514694,0.870837207772867,10.718507747505402
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,0.075,-0.025,0.8660254037844386,0.3333333333333333,0.043301270189221946
Commerce City,0.0,0.62,0.0,1.0,1.073871500692704
Cook County,0.0,0.0,0.0,1.0,0.0
Coweta County,-3.915,6.525,-0.8660254037844385,0.3333333333333334,2.2603263038773864
Crawford County,0.0,0.9166666666666666,0.0,1.0,1.5877132402714709
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,0.0,0.0,0.0,1.0,0.0
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,0.014999999999999986,0.46166666666666667,0.018755373402744236,0.9880592583299868,0.7996301228276317
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,3.1900000000000004,-1.063333333333334,0.8660254037844387,0.3333333333333332,1.841747358714906
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,-2.5150000000000006,29.745,-0.9579371154947385,0.18530145542525253,0.7534421012924615
Elbert County,0.0,2.0100000000000002,0.0,1.0,3.4814221232134432
Emanuel County,-15.585,27.085,-0.9105570570470832,0.27130614956545207,7.07542754891886
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,-0.020000000000000018,4.9399999999999995,-0.00235652516781023,0.9984997880955891,8.4870489570875
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,-36.474999999999994,61.30833333333332,-0.8730584736842322,0.32426641294753267,20.37180424835595
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,0.0,0.0,0.0,1.0,0.0
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,1.23,9.03,0.07840033078759734,0.950037526517858,15.640418792346964
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,0.0,0.0,0.0,1.0,0.0
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,-0.029999999999999995,0.32333333333333336,-0.9332565252573827,0.23390804928192135,0.01154700538379252
Habersham County,0.0,0.0,0.0,1.0,0.0
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,1.9966666666666668,0.0,1.0,3.4583281124458582
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,-135.005,225.00833333333333,-0.8660254037844386,0.3333333333333333,77.94517309194545
Henry County,3.425,-1.1416666666666666,0.8660254037844386,0.3333333333333333,1.9774246719744686
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,0.0,0.0,1.0,0.0
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,1.5099999999999996,-0.0699999999999994,0.7710406535400834,0.4394729909123891,1.247076581449592
Jefferson City,0.0,0.0,0.0,1.0,0.0
Jefferson County,0.0,8.893333333333333,0.0,1.0,15.403705181979216
Jenkins County,7.195,-2.3983333333333334,0.8660254037844387,0.3333333333333332,4.154035186819357
Johnson County,340.705,-105.12499999999997,0.8819522298450989,0.3124581786265315,182.0818411456782
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,0.0,5.083333333333333,0.0,1.0,8.804591605141793
Lee County,-3.9249999999999994,6.541666666666666,-0.8660254037844386,0.3333333333333333,2.2660998065692812
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,0.0,0.0,0.0,1.0,0.0
Lowndes County,2.0249999999999995,6.505,0.8498581745072235,0.35337503319913965,1.2557368354874359
Lumpkin County,0.0,0.0,0.0,1.0,0.0
Macon County,0.0,0.0,0.0,1.0,0.0
Madison County,-5.415,8.021666666666667,-0.6610828087436661,0.5401943743168074,6.145893615523566
Marietta City,0.0,0.0,0.0,1.0,0.0
Marion County,0.0,15.29,0.0,1.0,26.483056847728133
McDuffie County,0.0,0.0,0.0,1.0,0.0
McIntosh County,0.0,0.0,0.0,1.0,0.0
Meriwether County,0.0,0.0,0.0,1.0,0.0
Miller County,0.0,0.0,0.0,1.0,0.0
Mitchell County,0.0,0.0,0.0,1.0,0.0
Monroe County,-6.495,10.825,-0.8660254037844387,0.3333333333333332,3.7498899983866187
