SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,3.794999999999999e-07,-1.2649999999999992e-07,0.8660254037844387,0.3333333333333332,2.1910442715746288e-07
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,-0.0011518525,0.0019197541666666667,-0.8660254037844387,0.3333333333333332,0.0006650223509417433
Banks County,-0.003226576,0.005377626666666666,-0.8660254037844386,0.3333333333333333,0.0018628645221607863
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,-1.925e-06,1.7241666666666665e-05,-0.08270751438799968,0.9472865461072677,2.3195047064693218e-05
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0027916309999999997,0.0,1.0,0.004835246727984312
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.029755074999999995,2.1323000000003645e-05,0.9999992296904668,0.0007901831873232391,3.6932519373611553e-05
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,-0.0011412085,0.0019020141666666666,-0.8660254037844386,0.3333333333333333,0.0006588770346764892
Bulloch County,9.7531e-05,-3.251033333333333e-05,0.8660254037844387,0.3333333333333332,5.630954910433338e-05
Burke County,0.0,0.000232013,0.0,1.0,0.0004018583040164779
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,0.0,0.0,0.0,1.0,0.0
Calhoun County,0.0,0.11267948733333333,0.0,1.0,0.1951665970321471
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,-0.0010585345,0.0017776908333333335,-0.8742464920168143,0.3227119637274216,0.0005878202276462446
Carrollton City,-0.0032056005,0.0053426675,-0.8660254037844386,0.3333333333333333,0.0018507543115893993
Cartersville City,0.0,0.001801481,0.0,1.0,0.0031202566208699887
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,-1.95905e-05,0.00018226816666666668,-0.949111060778857,0.20396985152422778,6.5006753559405944e-06
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,-0.000287801,0.00047966833333333336,-0.8660254037844386,0.3333333333333333,0.00016616198482304352
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,-1.49855e-05,0.00012156449999999998,-0.16175109929792963,0.896571656468905,9.14254358521194e-05
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,2.53e-06,-8.433333333333332e-07,0.8660254037844386,0.3333333333333333,1.4606961810497533e-06
Commerce City,0.0,0.000341034,0.0,1.0,0.0005906882151084444
Cook County,0.0,0.0,0.0,1.0,0.0
Coweta County,-0.0001645025,0.00027417083333333334,-0.8660254037844385,0.3333333333333334,9.497556265736649e-05
Crawford County,0.0,0.0005277296666666666,0.0,1.0,0.0009140545953280545
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,0.0,0.0,0.0,1.0,0.0
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,1.5300000000000006e-07,4.282333333333333e-06,0.020623290406147188,0.9868698746929307,7.417218908279121e-06
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,0.0013106,-0.0004368666666666667,0.8660254037844387,0.3333333333333332,0.0007566752627999234
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,-0.000229886,0.002296322333333333,-0.9756009410369718,0.1409187126855139,5.173404822100575e-05
Elbert County,0.0,0.0006622733333333333,0.0,1.0,0.0011470910618313322
Emanuel County,-0.003658450499999999,0.006365792833333332,-0.9118221515778899,0.26935126109129987,0.0016473676681603552
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,-3.919999999999989e-07,9.516299999999998e-05,-0.0023979980165397324,0.9984733855854644,0.00016346922316754306
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,-0.0003587155,0.0006030991666666667,-0.8732001613625494,0.32408138058051733,0.00020021092827336698
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,0.0,0.0,0.0,1.0,0.0
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,9.088900000000003e-05,0.0006516860000000001,0.08026180607140812,0.9488487276624479,0.0011287532625813314
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,0.0,0.0,0.0,1.0,0.0
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,-1.3999999999999993e-07,1.6499999999999999e-06,-0.896258159530272,0.29255003879649855,6.9282032302755e-08
Habersham County,0.0,0.0,0.0,1.0,0.0
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,0.00035963000000000005,0.0,1.0,0.0006228974319259953
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,-0.0634124,0.10568733333333333,-0.8660254037844386,0.3333333333333333,0.03661116620996024
Henry County,7.51445e-05,-2.504816666666667e-05,0.8660254037844387,0.3333333333333332,4.3384697303119824e-05
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,0.0,0.0,1.0,0.0
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,0.0004962370000000001,-2.5401666666666732e-05,0.7726253576850027,0.4378863044305758,0.00040775535966598074
Jefferson City,0.0,0.0,0.0,1.0,0.0
Jefferson County,0.0,0.0037461386666666663,0.0,1.0,0.006488502502864997
Jenkins County,0.0062240485,-0.0020746828333333333,0.8660254037844387,0.3333333333333332,0.003593456076924286
Johnson County,0.319910798,-0.09913174733333333,0.8811123321421203,0.3135907128185222,0.17170122302441385
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,0.0,0.0007726603333333334,0.0,1.0,0.0013382869543264381
Lee County,-0.0005953285,0.0009922141666666665,-0.8660254037844386,0.3333333333333333,0.0003437130697312562
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,0.0,0.0,0.0,1.0,0.0
Lowndes County,0.00018644799999999997,0.0005765483333333333,0.8462233421642933,0.3577417252711441,0.00011739782638674927
Lumpkin County,0.0,0.0,0.0,1.0,0.0
Macon County,0.0,0.0,0.0,1.0,0.0
