SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,8.5,1000.1666666666666,0.9367659069225723,0.227607353351594,3.175426480542944
Atkinson County,48.25477699999999,953.2484076666667,0.9989975330663292,0.02850797938881262,2.1623055072249184
Atlanta Public Schools,61.0,945.3333333333334,0.8835632201000448,0.3102752669462779,32.33161507461905
Bacon County,0.0,997.3333333333334,0.0,1.0,37.52776749732568
Baker County,-90.78125,1030.6469773666668,-0.8743952956989415,0.32251678148453783,50.37579251065377
Baldwin County,37.5,898.8333333333334,0.8012649791952703,0.40832145197963604,28.001488055696846
Banks County,11.5,1047.1666666666667,0.6465846072812315,0.5523934654717508,13.567731325956204
Barrow County,35.0,978.3333333333334,0.9743547036924464,0.14448791047580906,8.082903768654756
Bartow County,8.0,1023.0,0.3592106040535498,0.7660919507180787,20.784609690826525
Ben Hill County,9.0,931.0,0.6546536707079772,0.54562894834299,10.392304845413264
Berrien County,19.0,999.0,0.9645788568769381,0.169948270015608,5.19615242270663
Bibb County,21.0,920.0,0.6820482925847124,0.522178756190858,22.516660498395403
Bleckley County,30.999999999999996,1083.3333333333333,0.9796531900811727,0.12864189315301375,6.350852961085893
Brantley County,34.5,1027.1666666666667,0.8213509720168043,0.38644154686055443,23.960036171369467
Bremen City,27.5,1061.8333333333333,0.6249462018505567,0.5702417897622447,34.35234101678273
Brooks County,-11.0,976.6666666666666,-0.20933086469176637,0.8657428655746215,51.3841739578767
Bryan County,16.0,1058.3333333333333,0.8925696039667222,0.29780067112167025,8.082903768654758
Buford City,26.499999999999996,1104.1666666666667,0.8901174859387804,0.30124429084789645,13.567731325956215
Bulloch County,28.5,1032.1666666666667,0.835230210614854,0.3706687010114495,18.76388374866283
Burke County,42.0,957.0,0.8962581595302719,0.2925500387964986,20.78460969082652
Butts County,57.49999999999999,938.5,0.9358567275868332,0.22925556759247526,21.650635094610987
Calhoun City,34.0,1017.0,0.9090129279699949,0.2736744453991114,15.588457268119903
