SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.3650000000000002,8.145,0.9675878681038521,0.16252829787472783,0.09526279441628775
Atkinson County,4.7749999999999995,8.011666666666667,0.9158872054059582,0.262977357683503,2.092894725812393
Atlanta Public Schools,0.5349999999999999,1.3283333333333334,0.8249012072626652,0.38246137176055983,0.3666174209354124
Bacon County,7.67,3.213333333333333,0.9974529147268529,0.045447404778561074,0.5484827557301647
Baker County,1.5249999999999992,8.555000000000001,0.960526305063576,0.17946843024669265,0.441672955930064
Baldwin County,-1.1199999999999992,11.336666666666666,-0.7255411958377375,0.4831790268869069,1.0623244953089113
Banks County,1.4950000000000006,6.098333333333333,0.9473733672635521,0.20745369811469772,0.5051814855409225
Barrow County,0.5300000000000002,3.923333333333334,0.8781850215093029,0.31750896944396484,0.28867513459481287
Bartow County,-0.40000000000000036,6.196666666666667,-0.882090680275128,0.3122711273626047,0.21361959960016158
Ben Hill County,1.755,6.5150000000000015,0.8697182211097217,0.32860098363106216,0.9959292143521039
Berrien County,0.3049999999999997,7.378333333333334,0.4959294960367016,0.669654877216151,0.5340489990004041
Bibb County,2.925,1.1816666666666666,0.8193363027887092,0.38868433110123357,2.046706704277224
Bleckley County,1.2149999999999999,10.245000000000001,0.8922494291643106,0.29825239484382815,0.6148780366869514
Brantley County,1.13,7.276666666666666,0.6546536707079773,0.5456289483429899,1.3048116083685535
Bremen City,-0.004999999999999893,5.681666666666667,-0.012641696353032915,0.9919518317693884,0.39548493439489396
Brooks County,0.45999999999999996,9.973333333333333,0.91555508833035,0.2635035519091933,0.20207259421636925
Bryan County,0.05499999999999994,3.0583333333333336,0.4578037741347369,0.697272448732938,0.10680979980008067
Buford City,-0.2550000000000001,2.5083333333333337,-0.9776407723017846,0.1348764309392917,0.05484827557301459
Bulloch County,0.08499999999999996,7.008333333333334,0.9148074042510725,0.26468454783130485,0.03752776749732588
Burke County,-0.06999999999999984,5.443333333333332,-0.834675065193023,0.3713109010212447,0.04618802153516985
Butts County,0.5449999999999999,11.754999999999999,0.8856229243237039,0.3074635965376004,0.2857883832488642
Calhoun City,0.4049999999999998,7.145,0.912245460839306,0.26869415950618236,0.18186533479473205
Calhoun County,1.5350000000000001,6.701666666666666,0.8800018200921553,0.31508241132184295,0.8284976362871123
Camden County,0.13500000000000023,4.5649999999999995,0.9122454608393062,0.26869415950618203,0.06062177826491071
Candler County,0.09499999999999974,7.028333333333334,0.1331267081745942,0.9149965508765722,0.7072540797572919
Carroll County,-0.1549999999999998,5.548333333333334,-0.40560724045353425,0.7341201605750538,0.3492969128597236
Carrollton City,-0.1200000000000001,8.976666666666667,-0.8838515090524252,0.3098831411812012,0.06350852961085897
Cartersville City,0.5299999999999998,5.279999999999999,0.8619310599323883,0.3385100163736895,0.3117691453623978
Catoosa County,0.1349999999999998,5.581666666666666,0.7519364865695366,0.45823997872997385,0.11835680518387333
Charlton County,3.4399999999999995,4.1433333333333335,0.8508042882116649,0.3522304861752496,2.124648990617824
Chattahoochee County,0.5049999999999999,10.024999999999999,0.18778684783514316,0.8797371637889745,2.6413774815425377
Chattooga County,1.1800000000000006,8.61333333333333,0.9679830033947081,0.16152918866741584,0.3059956426705017
Cherokee County,3.71,2.5933333333333337,0.8660254037844387,0.3333333333333332,2.1419694986935114
Chickamauga City,-0.07500000000000018,10.038333333333334,-0.4837870716047251,0.6785218314810937,0.13567731325956123
Clarke County,0.33999999999999986,5.5633333333333335,0.9607689228305228,0.1789123750220667,0.0981495457622363
Clay County,208.56,0.14666666666667538,0.9369703224785842,0.2272352018286717,77.77485476253455
Clayton County,0.16999999999999993,4.6466666666666665,0.878657601552394,0.3168794190977428,0.09237604307034018
Clinch County,-0.2400000000000002,10.583333333333334,-0.10111531823246708,0.9355177881327779,2.361362600985569
Cobb County,0.4749999999999998,3.485,0.9551719305457772,0.19134011097240247,0.14722431864335497
Coffee County,0.5099999999999998,6.203333333333334,0.9296832967972585,0.24016110597485182,0.20207259421636883
Colquitt County,6.119999999999999,6.426666666666668,0.8355539933771168,0.37029368990274186,4.02413137625169
Columbia County,0.0950000000000002,4.265000000000001,0.8429886839453087,0.361588043378463,0.06062177826491069
Commerce City,2.3900000000000006,26.08666666666667,0.9909735366329813,0.08560145632612551,0.32331615074618975
Cook County,-0.10000000000000009,4.616666666666667,-0.31063491357800127,0.7989166945848011,0.30599564267050156
Coweta County,0.3999999999999999,4.710000000000001,0.957003528059822,0.1873613639161261,0.12124355652982154
Crawford County,-1.045,10.801666666666668,-0.9869769888210123,0.10285449479148402,0.1703183294109396
Crisp County,-0.19500000000000026,9.305,-0.31856111650350355,0.7936007821028005,0.5802370205355734
Dade County,-0.5099999999999998,9.040000000000001,-0.3785262238364456,0.7528619621268929,1.2470765814495919
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,-0.5199999999999996,13.999999999999998,-0.44158273586348157,0.7088343379175892,1.0565509926170151
Decatur City,-12.344999999999999,173.06833333333333,-0.9683099522908293,0.16069789595344752,3.184086734580796
Decatur County,0.7600000000000006,9.290000000000001,0.9997404058278415,0.014506144038903001,0.017320508075691077
DeKalb County,0.18000000000000016,3.226666666666666,0.9522165814091078,0.19759612400303003,0.057735026918962554
Dodge County,6.449999999999998,7.900000000000001,0.8219949365267863,0.3857222661549801,4.468691083527704
Dooly County,-0.6849999999999996,13.345000000000002,-0.6812296096255365,0.5228910671279989,0.7361215932167725
Dougherty County,-0.029999999999999805,6.299999999999999,-0.1320676359488427,0.9156767836780568,0.2251666049839541
Douglas County,0.15500000000000025,3.835,0.45529195897068686,0.699069767170159,0.30310889132455343
Dublin City,0.02499999999999991,6.178333333333333,0.05305556199645733,0.9662079140208454,0.47054046938954497
Early County,-3.1999999999999993,15.479999999999999,-0.8592345816656876,0.34188055454650973,1.9052558883257642
Echols County,0.9599999999999999,11.456666666666667,0.996957661335307,0.04967170488941935,0.07505553499465151
Effingham County,-0.33999999999999986,5.293333333333334,-0.9829984097150759,0.11755933719396144,0.06350852961085889
Elbert County,0.44999999999999973,6.74,0.9449111825230679,0.21229561500965685,0.1558845726811991
Emanuel County,53.605,-3.6883333333333326,0.9470919847412033,0.20801253641245165,18.166326220051584
Evans County,21.315,10.698333333333327,0.9972671888168866,0.04707592770583783,1.579052986233609
