SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.00014744049999999994,0.0022501795000000003,0.9931454368303977,0.07458189255363476,1.7352551015628906e-05
Atkinson County,0.002970655,0.004599884333333334,0.9184052780541455,0.2589550355399422,0.0012797320900252273
Atlanta Public Schools,1.1549999999999996e-05,2.2150000000000003e-05,0.8432903731493355,0.3612308494441798,7.36121593216773e-06
Bacon County,0.0036828855000000005,0.001423799166666666,0.9969558585079171,0.049686427398718716,0.0002880241721662996
Baker County,0.004547435000000001,0.029734541666666663,0.9996320518253999,0.01727037487409029,0.00012339418628253148
Baldwin County,-0.00018184450000000008,0.002185659166666667,-0.6955562852933153,0.5103159716941983,0.00018783542525328755
Banks County,0.000535375,0.002066425,0.9413994121335694,0.2190231866356493,0.0001918194307858304
Barrow County,3.3681999999999994e-05,0.00026950733333333337,0.8593418036156649,0.3417471025100747,2.004444664572542e-05
Bartow County,-2.4612e-05,0.0004376829999999999,-0.8888515649238542,0.30300791173478636,1.2687272165442035e-05
Ben Hill County,0.0005920885000000001,0.0020871114999999997,0.8759689240029126,0.3204460479903164,0.0003260438420929769
Berrien County,0.00012827900000000002,0.002259247666666667,0.6194615943376938,0.5747019123129193,0.00016256451529572284
Bibb County,0.000129758,4.8489e-05,0.8394982890063128,0.36569802175837207,8.398541160820728e-05
Bleckley County,0.000529016,0.003956043,0.8950321067374408,0.29430495437793913,0.00026361293675956037
Brantley County,0.00034746249999999994,0.0020530758333333335,0.6882673759731863,0.5167431925304891,0.00036623723578315087
Bremen City,1.6866000000000146e-05,0.0024503883333333327,0.09257463916115462,0.9409806487533589,0.0001814057639804572
Brooks County,0.000275249,0.004245325333333333,0.9296969014491187,0.24013759256959138,0.00010904760944345978
Bryan County,3.0215000000000044e-06,0.0003069915,0.2658970123293016,0.8286637753057512,1.0954355332469376e-05
Buford City,-6.918450000000003e-05,0.0004909475000000001,-0.9895316417666842,0.09219640787580588,1.0090061979492509e-05
Bulloch County,1.915999999999973e-06,0.0006266556666666668,0.4582942439304145,0.6969211906456745,3.715826332504441e-06
Burke County,-1.5769500000000066e-05,0.0012897238333333333,-0.5566350170549765,0.6241843922994519,2.3535395048380467e-05
Butts County,0.0002016114999999999,0.003227214166666667,0.9636152503151706,0.1722584350978787,5.59241677996494e-05
Calhoun City,9.859899999999998e-05,0.001717081,0.9482646242501952,0.2056739585840368,3.301115634145527e-05
Calhoun County,0.0038712539999999993,0.01190863133333333,0.9290610857281099,0.24123416351729457,0.0015414259144899988
Camden County,1.8554999999999988e-05,0.00045987999999999997,0.977869425810192,0.13418243341483632,3.969860450947847e-06
Candler County,2.046499999999859e-06,0.003154628166666667,0.00609083426405282,0.9961224305018564,0.0003359904325305758
Carroll County,-6.945500000000016e-06,0.00035061350000000006,-0.32465449091694976,0.7895039583822332,2.0234683559423396e-05
Carrollton City,-3.18785e-05,0.0016472045,-0.9999469995686973,0.006554457335152267,3.2822362803466127e-07
Cartersville City,0.00011364000000000003,0.0011222563333333335,0.8134734851868133,0.3951477555090492,8.124819398197925e-05
Catoosa County,1.756850000000004e-05,0.0005038791666666666,0.8398494900286346,0.3652863383109343,1.135503641928698e-05
Charlton County,0.0020680689999999996,0.0023139546666666663,0.8649543964697854,0.3346944629530526,0.0011999030230049155
Chattahoochee County,0.0005100165,0.010206190166666665,0.1987060628404805,0.8726521854788519,0.0025155061739300273
Chattooga County,0.0005472044999999999,0.0029762401666666672,0.9830160489087248,0.1174981635123415,0.00010215780000608536
Cherokee County,8.580750000000001e-05,5.7664166666666656e-05,0.8665298888571137,0.3326904406323961,4.9425513169650866e-05
Chickamauga City,8.195250000000032e-05,0.007504687833333332,0.4108854541963559,0.7304392245144435,0.0001818390653574839
Clarke County,4.6130999999999976e-05,0.00039957,0.9687265390274431,0.15963255474009527,1.1816050609234865e-05
Clay County,1.137598207,-0.03905415599999995,0.9287899526225849,0.2417003377739401,0.45392541059667224
Clayton County,8.550000000000005e-06,7.198333333333334e-05,0.925727390116975,0.24690782190621038,3.492969128597233e-06
Clinch County,-1.893000000000207e-06,0.007781831666666667,-0.0010017854151597476,0.9993622434903672,0.001889625284487994
Cobb County,4.849999999999999e-06,2.8883333333333332e-05,0.9854277451567558,0.10881463303274448,8.371578903249592e-07
Coffee County,7.758899999999998e-05,0.0007739763333333334,0.9220971947617633,0.25294856503980606,3.256024578121814e-05
Colquitt County,0.0007108385,0.0006279621666666667,0.8503968432587199,0.35272379438131324,0.0004397968562303321
Columbia County,1.7975000000000044e-06,0.00014635583333333333,0.5883848959906837,0.5995280100230993,2.4701931267278193e-06
Commerce City,0.0015621930000000006,0.014447589333333333,0.996972073915244,0.049553849858289555,0.00012184573286058658
Cook County,-2.983599999999999e-05,0.0014564986666666668,-0.29044982596561697,0.8123901293176982,9.829503803007215e-05
