SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.3896182994999999,7.752655920166668,0.9995491583431381,0.01911716362116555,0.011703432377050337
Atkinson County,4.727944943000001,7.638399228333332,0.9251499379631867,0.24787805311018926,1.9399415665619157
Atlanta Public Schools,0.556475187,1.1507716766666667,0.8450937774355861,0.3590890583811239,0.35203395439411944
Bacon County,7.357804079499999,3.018521532166668,0.9976391487935935,0.0437537124250961,0.506486139244001
Baker County,1.2965389194999997,7.835728579166666,0.9426008540685941,0.2167441542519462,0.45930611967245344
Baldwin County,-1.0142556919999999,10.562370484999999,-0.7388744277487103,0.47071530942013995,0.9249870026900405
Banks County,1.4805628329999996,5.749338327666667,0.9394726581672743,0.22263128895528167,0.5399584341943788
Barrow County,0.46609011250000004,3.7890327475000003,0.8913038098788283,0.2995828552946654,0.23710020901547327
Bartow County,-0.34811791449999996,5.773891112166668,-0.9059843188124994,0.2782646416462716,0.16265428258160208
Ben Hill County,1.5882591554999999,6.197986944833334,0.8560881628862367,0.34577601067913344,0.9588494744164465
Berrien County,0.24315642849999985,6.906823016833334,0.3801910754401162,0.7517164576654034,0.5915376038755468
Bibb County,2.677269763,1.0380039760000002,0.8301809167338942,0.376474144316486,1.797875624890506
Bleckley County,1.2529429079999996,9.558306416666667,0.9094891663956732,0.27294607449360114,0.5727203749827362
Brantley County,1.0211430310000003,6.762535035333333,0.6583207402221489,0.5425341299923507,1.167596044620983
Bremen City,0.02265447949999988,5.5330612595,0.060189422645918034,0.9616590495970736,0.37570399127805176
Brooks County,0.6398899020000002,8.925520414666666,0.9576548465987609,0.18592660382702333,0.19238276529988485
Bryan County,0.04177080150000001,2.908557723166667,0.4009747232076333,0.7373430301746835,0.09543189251590517
Buford City,-0.2670129149999999,2.4979255326666667,-0.9835600991014852,0.11559565221490589,0.049023424502876944
Bulloch County,0.09554084349999979,6.404895717500001,0.9998603926474651,0.01063786119286732,0.0015966278171031798
Burke County,-0.00722928449999971,5.086346165166666,-0.2522654040052334,0.8376488031784697,0.027730618114728954
Butts County,0.5689760549999994,10.869406601666668,0.9960414170512235,0.056664148324827655,0.05077749140826078
Calhoun City,0.4769180285000001,7.033393064166666,0.9059814421532159,0.27826896783619076,0.22283867356163095
Calhoun County,1.4782045015,6.392049868500001,0.9250891340846695,0.24798000570894743,0.6068044689608245
Camden County,0.1263514495,4.189790131166667,0.9679610761951163,0.16158479051168256,0.03277702608486706
Candler County,-0.005446381000000056,6.690762951,-0.008091093295278184,0.9948489938246639,0.6731108544306589
Carroll County,-0.11961634999999982,5.140525665,-0.36027587086563684,0.7653651204359746,0.30971713454119754
Carrollton City,-0.06915632250000048,8.616657088500002,-0.47782894413024507,0.682847747988969,0.1271387447398786
Cartersville City,0.5469347554999997,5.093890349166667,0.8887587961038228,0.30313678009579076,0.28208026309907824
Catoosa County,0.13876394949999993,5.287123360833334,0.8630396720412693,0.33711544838804247,0.0812183827895044
Charlton County,3.2184616179999996,3.8001318696666675,0.857849760917364,0.3435999478193614,1.9280406777947263
Chattahoochee County,0.41844631000000015,9.125509706,0.1719869227640076,0.8899626324463923,2.3967586157745653
Chattooga County,1.2145332005,7.885549857833334,0.9887605550894112,0.09553778368212587,0.18364619681478353
Cherokee County,3.570012692,2.5218433253333337,0.8687579988760811,0.3298374424997896,2.0350913013617404
Chickamauga City,-0.1404069400000001,9.998247907333333,-0.48983038939189966,0.6741173980814896,0.24990132339566884
Clarke County,0.41464090599999975,5.179534432333333,0.9718335146340713,0.15145587852619,0.10054991876621108
Clay County,211.81226291500002,-5.908762958333369,0.9335683079891935,0.23335486020825708,81.31532768526998
