SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0,0.0,0.0,1.0,0.0
Atkinson County,0.0,0.0,0.0,1.0,0.0
Atlanta Public Schools,0.0,0.0,0.0,1.0,0.0
Bacon County,0.0,0.0,0.0,1.0,0.0
Baker County,0.0,0.0,0.0,1.0,0.0
Baldwin County,0.0,0.0,0.0,1.0,0.0
Banks County,0.0,0.0,0.0,1.0,0.0
Barrow County,0.0,0.0,0.0,1.0,0.0
Bartow County,0.0,0.0,0.0,1.0,0.0
Ben Hill County,0.0,0.0,0.0,1.0,0.0
Berrien County,0.0,0.0,0.0,1.0,0.0
Bibb County,0.0,0.0,0.0,1.0,0.0
Bleckley County,0.0,0.0,0.0,1.0,0.0
Brantley County,0.0,0.0,0.0,1.0,0.0
Bremen City,0.0,0.0,0.0,1.0,0.0
Brooks County,0.0,0.0,0.0,1.0,0.0
Bryan County,0.0,0.0,0.0,1.0,0.0
Buford City,0.0,0.0,0.0,1.0,0.0
Bulloch County,0.0,0.0,0.0,1.0,0.0
Burke County,0.0,0.0,0.0,1.0,0.0
Butts County,0.0,0.0,0.0,1.0,0.0
Calhoun City,0.0,0.0,0.0,1.0,0.0
Calhoun County,0.0,0.0,0.0,1.0,0.0
Camden County,0.0,0.0,0.0,1.0,0.0
Candler County,0.0,0.0,0.0,1.0,0.0
Carroll County,0.0,0.0,0.0,1.0,0.0
Carrollton City,0.0,0.0,0.0,1.0,0.0
Cartersville City,0.0,0.0,0.0,1.0,0.0
Catoosa County,0.0,0.0,0.0,1.0,0.0
Charlton County,0.0,0.0,0.0,1.0,0.0
Chattahoochee County,0.0,0.0,0.0,1.0,0.0
Chattooga County,0.0,0.0,0.0,1.0,0.0
Cherokee County,0.0,0.0,0.0,1.0,0.0
Chickamauga City,0.0,0.0,0.0,1.0,0.0
Clarke County,0.0,0.0,0.0,1.0,0.0
Clay County,0.0,0.0,0.0,1.0,0.0
Clayton County,0.0,0.0,0.0,1.0,0.0
Clinch County,0.0,0.0,0.0,1.0,0.0
Cobb County,0.0,0.0,0.0,1.0,0.0
Coffee County,0.0,0.0,0.0,1.0,0.0
Colquitt County,0.0,0.0,0.0,1.0,0.0
Columbia County,0.0,0.0,0.0,1.0,0.0
Commerce City,0.0,0.0,0.0,1.0,0.0
Cook County,0.0,0.0,0.0,1.0,0.0
Coweta County,0.0,0.0,0.0,1.0,0.0
Crawford County,0.0,0.0,0.0,1.0,0.0
Crisp County,0.0,0.0,0.0,1.0,0.0
Dade County,0.0,0.0,0.0,1.0,0.0
Dalton Public Schools,0.0,0.0,0.0,1.0,0.0
Dawson County,0.0,0.0,0.0,1.0,0.0
Decatur City,0.0,0.0,0.0,1.0,0.0
Decatur County,0.0,0.0,0.0,1.0,0.0
DeKalb County,0.0,0.0,0.0,1.0,0.0
Dodge County,0.0,0.0,0.0,1.0,0.0
Dooly County,0.0,0.0,0.0,1.0,0.0
Dougherty County,0.0,0.0,0.0,1.0,0.0
Douglas County,0.0,0.0,0.0,1.0,0.0
Dublin City,0.0,0.0,0.0,1.0,0.0
Early County,0.0,0.0,0.0,1.0,0.0
Echols County,0.0,0.0,0.0,1.0,0.0
Effingham County,0.0,0.0,0.0,1.0,0.0
Elbert County,0.0,0.0,0.0,1.0,0.0
Emanuel County,0.0,0.0,0.0,1.0,0.0
Evans County,0.0,0.0,0.0,1.0,0.0
Fannin County,0.0,0.0,0.0,1.0,0.0
Fayette County,0.0,0.0,0.0,1.0,0.0
Floyd County,0.0,0.0,0.0,1.0,0.0
Forsyth County,0.0,0.0,0.0,1.0,0.0
Franklin County,0.0,0.0,0.0,1.0,0.0
Fulton County,0.0,0.0,0.0,1.0,0.0
Gainesville City,0.0,0.0,0.0,1.0,0.0
Gilmer County,0.0,0.0,0.0,1.0,0.0
Glascock County,0.0,0.0,0.0,1.0,0.0
Glynn County,0.0,0.0,0.0,1.0,0.0
Gordon County,0.0,0.0,0.0,1.0,0.0
Grady County,0.0,0.0,0.0,1.0,0.0
Greene County,0.0,0.0,0.0,1.0,0.0
Griffin-Spalding County,0.0,0.0,0.0,1.0,0.0
Gwinnett County,0.0,0.0,0.0,1.0,0.0
Habersham County,0.0,0.0,0.0,1.0,0.0
Hall County,0.0,0.0,0.0,1.0,0.0
Hancock County,0.0,0.0,0.0,1.0,0.0
Haralson County,0.0,0.0,0.0,1.0,0.0
Harris County,0.0,0.0,0.0,1.0,0.0
Hart County,0.0,0.0,0.0,1.0,0.0
Heard County,0.0,0.0,0.0,1.0,0.0
Henry County,0.0,0.0,0.0,1.0,0.0
Houston County,0.0,0.0,0.0,1.0,0.0
Irwin County,0.0,0.0,0.0,1.0,0.0
Jackson County,0.0,0.0,0.0,1.0,0.0
Jasper County,0.0,0.0,0.0,1.0,0.0
Jeff Davis County,0.0,0.0,0.0,1.0,0.0
Jefferson City,0.0,0.0,0.0,1.0,0.0
Jefferson County,0.0,0.0,0.0,1.0,0.0
Jenkins County,0.0,0.0,0.0,1.0,0.0
Johnson County,0.0,0.0,0.0,1.0,0.0
Jones County,0.0,0.0,0.0,1.0,0.0
Lamar County,0.0,0.0,0.0,1.0,0.0
Lanier County,0.0,0.0,0.0,1.0,0.0
Laurens County,0.0,0.0,0.0,1.0,0.0
Lee County,0.0,0.0,0.0,1.0,0.0
Liberty County,0.0,0.0,0.0,1.0,0.0
Lincoln County,0.0,0.0,0.0,1.0,0.0
Long County,0.0,0.0,0.0,1.0,0.0
Lowndes County,0.0,0.0,0.0,1.0,0.0
Lumpkin County,0.0,0.0,0.0,1.0,0.0
Macon County,0.0,0.0,0.0,1.0,0.0
Madison County,0.0,0.0,0.0,1.0,0.0
Marietta City,0.0,0.0,0.0,1.0,0.0
Marion County,0.0,0.0,0.0,1.0,0.0
McDuffie County,0.0,0.0,0.0,1.0,0.0
McIntosh County,0.0,0.0,0.0,1.0,0.0
Meriwether County,0.0,0.0,0.0,1.0,0.0
Miller County,0.0,0.0,0.0,1.0,0.0
Mitchell County,0.0,0.0,0.0,1.0,0.0
Monroe County,0.0,0.0,0.0,1.0,0.0
Montgomery County,0.0,0.0,0.0,1.0,0.0
Morgan County,0.0,0.0,0.0,1.0,0.0
Murray County,0.0,0.0,0.0,1.0,0.0
Muscogee County,0.0,0.0,0.0,1.0,0.0
Newton County,0.0,0.0,0.0,1.0,0.0
Oconee County,0.0,0.0,0.0,1.0,0.0
Oglethorpe County,0.0,0.0,0.0,1.0,0.0
Paulding County,0.0,0.0,0.0,1.0,0.0
Peach County,0.0,0.0,0.0,1.0,0.0
Pelham City,0.0,0.0,0.0,1.0,0.0
Pickens County,0.0,0.0,0.0,1.0,0.0
Pierce County,0.0,0.0,0.0,1.0,0.0
Pike County,0.0,0.0,0.0,1.0,0.0
Polk County,0.0,0.0,0.0,1.0,0.0
Pulaski County,0.0,0.0,0.0,1.0,0.0
Putnam County,0.0,0.0,0.0,1.0,0.0
Quitman County,0.0,0.0,0.0,1.0,0.0
Rabun County,0.0,0.0,0.0,1.0,0.0
Randolph County,0.0,0.0,0.0,1.0,0.0
Richmond County,0.0,0.0,0.0,1.0,0.0
Rockdale County,0.0,0.0,0.0,1.0,0.0
Rome City,0.0,0.0,0.0,1.0,0.0
Savannah-Chatham County,0.0,0.0,0.0,1.0,0.0
Schley County,0.0,0.0,0.0,1.0,0.0
Screven County,0.0,0.0,0.0,1.0,0.0
Seminole County,0.0,0.0,0.0,1.0,0.0
Social Circle City,0.0,0.0,0.0,1.0,0.0
