SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.0015974885000000008,0.05046578583333333,0.1954515423186562,0.8747655262364946,0.008015686629589763
Atkinson County,0.0091836265,0.10142369383333333,0.9968483210981335,0.050556876207689616,0.0007308506739342235
Atlanta Public Schools,0.00036336750000000003,0.0011071778333333333,0.5946337321358391,0.5945941544767963,0.0004913045831458152
Bacon County,0.0037913580000000016,0.08795338266666666,0.39693999993498186,0.7401442006843808,0.008766758996702333
Baker County,0.80957962,0.609823531,0.8720294925392879,0.32560730001918914,0.45440142319191296
Baldwin County,-0.0015241314999999995,0.018134977499999996,-0.2032164496713562,0.8697209822655008,0.007343542951752699
Banks County,0.0032173880000000016,0.135375303,0.271891195048998,0.8247018331354683,0.011387579344560103
Barrow County,0.0006682810000000002,0.006563590666666667,0.635178671078636,0.5618529174816844,0.0008126170397827831
Bartow County,0.0007358964999999999,0.007596326833333333,0.515763879654999,0.6550163617370897,0.0012223911046649852
Ben Hill County,0.012728623000000001,0.03559747433333334,0.9223539447956163,0.2525258281161919,0.005331632282174127
Berrien County,0.005395827499999999,0.04287037183333334,0.3477709695388519,0.7738773542359348,0.014546980025006014
Bibb County,0.000501011,0.003703924333333333,0.8217635546963797,0.3859808446121032,0.0003474118642308195
Bleckley County,0.006660021000000001,0.052793742666666664,0.4000477516959307,0.7379870699905611,0.015257856689027344
Brantley County,0.010480150999999997,0.05419840633333334,0.9177113437910188,0.2600693712362092,0.004536522234603984
Bremen City,-0.0451648605,0.1112436485,-0.9715099850227386,0.1523273812145119,0.011017910338776903
Brooks County,0.0726842745,0.05638122749999999,0.9515902280030832,0.19889753809111876,0.023477471516598653
Bryan County,-0.0004429310000000005,0.010148584000000002,-0.1683595539103438,0.8923060695974298,0.0025933096075308865
Buford City,4.692849999999963e-05,0.017310090166666667,0.0323995474784039,0.9793701970959239,0.0014476702929514327
Bulloch County,0.00041080350000000007,0.0097527635,0.2838958323004996,0.816746016884411,0.0013874844141397592
Burke County,-0.0004033695000000004,0.0424427905,-0.039110094395565224,0.9750953888414837,0.010305801897956258
Butts County,0.0017517270000000015,0.03776325866666667,0.16390669898030813,0.8951807968285974,0.010542805049483997
Calhoun City,-0.001246833000000001,0.02553144933333333,-0.9553216000942152,0.19101800356114548,0.00038575946911039387
Calhoun County,0.1516075645,0.5234277858333334,0.5899188597088845,0.5983194394266678,0.20751570446394477
Camden County,0.0019942189999999998,0.008177615999999999,0.5122730157688793,0.6576071873718824,0.0033432962674622485
Candler County,-0.004314320000000003,0.09021996633333335,-0.3857259887164533,0.7479020230638262,0.010319370495307614
Carroll County,-0.0009960020000000002,0.012235418666666668,-0.7074230937332118,0.4997151549190983,0.0009951111090206626
Carrollton City,-0.014431638,0.039147467,-0.9920488650140505,0.08033371766780276,0.0018308262010229136
Cartersville City,-0.0044444870000000004,0.026727077666666668,-0.9690151378228004,0.15889041879611188,0.0011328969054633046
Catoosa County,0.0010965760000000001,0.010669335999999998,0.359694326289184,0.7657619472636465,0.002844588610489749
Charlton County,-0.007873833999999996,0.12503862100000002,-0.30855898646678437,0.8003065581150535,0.024272934036508133
Chattahoochee County,0.2464437445,0.15205546749999993,0.9965679991720383,0.0527585801556922,0.02047041307625666
Chattooga County,-0.0016026575,0.07367117616666666,-0.2672587469710926,0.8277643197647684,0.005778521886461461
Cherokee County,0.000278288,0.0019017273333333336,0.8081566537791594,0.40093088321799986,0.00020281044786039343
Chickamauga City,0.0033799225,0.0614843785,0.09563779452911009,0.9390218900381258,0.035178870754677315
Clarke County,0.0019717515,0.009209754166666665,0.5430643161474561,0.6345279469737386,0.0030487405317006036
Clay County,1.6253534919999997,1.9964079740000005,0.7210827679004908,0.48728946375106547,1.5617131351918696
Clayton County,-0.00014559750000000003,0.0010714151666666666,-0.5053511920331795,0.66272591058951,0.00024861539749195606
Clinch County,-0.063994948,0.23963084066666665,-0.9806695818592395,0.12537698697141764,0.012768786517898081
Cobb County,5.00365e-05,0.0006941948333333334,0.4619033238682209,0.6943334014710683,9.607830167151857e-05
Coffee County,0.0014489719999999998,0.013118547666666668,0.47452736644934496,0.6852379848109398,0.0026878201145464214
Colquitt County,0.0012371534999999993,0.016170099833333333,0.34932286991140293,0.7728232842944287,0.0033184652984098065
Columbia County,-1.4874999999999913e-05,0.0031084529999999997,-0.03211640405897765,0.9795505456534546,0.00046292002318651127
Commerce City,-0.002598246999999998,0.076577544,-0.05796106198648898,0.9630801502561571,0.04475209483536908
Cook County,0.0006361205000000002,0.05016605083333334,0.03060492519872877,0.9805132565987297,0.020775169725250148
Coweta County,-0.0001291189999999998,0.003405864666666667,-0.17424402124464491,0.8885036908022889,0.0007296881791671928
Crawford County,0.014067445499999996,0.07632467450000001,0.5515548386010592,0.6280694787142821,0.021274765346936654
Crisp County,0.0108806275,0.03242257583333334,0.9439811339854088,0.21409711582112817,0.00380367854754054
Dade County,0.011315787,0.055922241333333324,0.43247877062362555,0.7152780854151546,0.023591476544128503
Dalton Public Schools,0.002026324,0.0067483433333333336,0.9501443143177539,0.20187081084991026,0.0006649822250980344
Dawson County,-0.009149089499999999,0.05883293683333333,-0.34947303864307244,0.77272125335147,0.02452894990975056
Decatur City,-0.00030366950000000007,0.013214711166666664,-0.10017984311822248,0.9361163696227269,0.0030159943791327063
Decatur County,0.0056960495,0.022011022166666665,0.7284311676463175,0.4804996217727608,0.005357365072347045
DeKalb County,4.169699999999999e-05,0.0008364576666666666,0.4081214772525671,0.7323679617055451,9.32720906881224e-05
Dodge County,0.0102668325,0.028485031499999997,0.9432926058050664,0.21542145343663296,0.0036130917595794225
Dooly County,-0.1727000165,0.5462135131666667,-0.9994274674910907,0.021543483047172567,0.005846473703743151
Dougherty County,-0.0015087864999999998,0.0078471515,-0.7522742532088116,0.4579137041576456,0.0013214118719834288
Douglas County,-0.0002829874999999999,0.0038626641666666666,-0.8232670298628229,0.3842979332539353,0.00019512389505153713
Dublin City,-0.0017693510000000021,0.09955224933333333,-0.08772812151472115,0.944078655688378,0.02009081191379324
Early County,0.0172363965,0.0654322185,0.48384345722749095,0.6784808152257085,0.031176428695988263
Echols County,-0.020367978499999995,0.3118025128333333,-0.5212381067552929,0.6509406894619061,0.03334802781049659
Effingham County,-0.0001570994999999997,0.009561046166666667,-0.08141984096246589,0.9481090788589704,0.0019230928362172438
Elbert County,-0.0017288624999999972,0.045100725833333334,-0.28826035886170776,0.8138462791815774,0.005742988286793915
Emanuel County,0.003159905999999997,0.09009651800000001,0.7733522754174357,0.4371568655788173,0.002590418814733052
Evans County,-0.008554479500000003,0.1007187945,-0.6434182414181991,0.5550312890621619,0.01017779814712449
Fannin County,-0.010152279999999996,0.074986527,-0.9597444265071577,0.18124911751591802,0.0029711235822366955
Fayette County,0.0004307189999999999,0.002003018,0.9553727280800088,0.19090784903075805,0.00013317911864477844
Floyd County,-0.0002997570000000003,0.013816100333333334,-0.060466233232242476,0.9614825049487807,0.0049483571512720596
Forsyth County,-0.00016194599999999994,0.00199339,-0.644321571471017,0.5542796858953258,0.00019221607042076375
Franklin County,0.007580930999999999,0.05177819866666666,0.46916209243280177,0.6891120013325795,0.014269719971258484
Fulton County,7.62755e-05,0.0007751868333333333,0.5015016057612204,0.6655622748543344,0.0001315853432266806
Gainesville City,0.0004324049999999998,0.008569769,0.21273247213652233,0.8635274406860713,0.001986097627718235
Gilmer County,-0.00288972,0.03469169,-0.9856454748624307,0.10799668281669879,0.0004949716233805714
Glascock County,0.007087345000000022,0.7467961366666667,0.12038566220055974,0.9231737693876625,0.05844383811239584
Glynn County,-0.020324364999999997,0.012051345333333331,-0.8173375052138946,0.39089834302040444,0.014327091844858135
Gordon County,0.002405176000000001,0.015425539666666665,0.5538058282631441,0.626349971876077,0.0036161768307428404
Grady County,-0.007830604500000001,0.036300180833333334,-0.9935849805367811,0.07214837448525249,0.0008912645594771997
Greene County,-0.027608884499999993,0.1375322905,-0.8364190990464226,0.36929005638923634,0.018091605836888187
Griffin-Spalding County,0.00029182450000000016,0.011551870833333335,0.08942570714101547,0.9429936742865865,0.003250243281201283
Gwinnett County,8.13605e-05,0.0003439041666666666,0.7688199963359322,0.4416884056860956,6.76715137268506e-05
Habersham County,-0.00034563200000000023,0.025410167666666664,-0.12679068692541495,0.9190646947662429,0.0027040043972923434
Hall County,-0.0005691420000000001,0.004108741333333334,-0.8575864507733884,0.34392599693896636,0.0003413444902519054
Hancock County,0.041257726999999994,0.260943503,0.9056792338653646,0.27872310705135567,0.019313431715639644
Haralson County,0.0059595065,0.03046677583333333,0.3433385288713606,0.7768843739464916,0.01630238926976577
Harris County,0.005630804,0.016747967000000002,0.9460238685687662,0.21012081804258925,0.0019290490702693372
Hart County,-0.006226626500000001,0.0517065765,-0.606434709728688,0.5851982963923825,0.008164107217990879
Heard County,-0.0052185289999999995,0.060543099999999996,-0.2200459012224485,0.858758566585176,0.023134356581746267
Henry County,0.000304191,0.0018415146666666661,0.559963858537576,0.6216300182591694,0.0004500780211489262
Houston County,-0.00026368349999999997,0.0039485195,-0.3354437309281514,0.7822275195018473,0.000740528796496632
Irwin County,-0.005374630499999991,0.1450739655,-0.1660629521700862,0.8937890102203092,0.03191563507169332
Jackson County,0.0019625140000000003,0.01973689,0.7005967386543076,0.5058344438413169,0.0019988195408998277
Jasper County,0.007326691500000002,0.0535672625,0.4740131807577575,0.6856098027166342,0.013609920908202103
Jeff Davis County,0.0003787835000000003,0.061693512166666666,0.22497508311060835,0.8555398559439649,0.0016405070149115779
Jefferson City,-0.012321684999999997,0.044453451,-0.8420029792395926,0.36275291529448456,0.00789452650017384
Jefferson County,0.009990931499999998,0.05898163316666667,0.3269665705903061,0.7879470919640839,0.028876924557544214
Jenkins County,-0.128858696,0.43171723133333334,-0.9275619905341479,0.24380102184679683,0.05191085943154385
Johnson County,0.20604417049999998,0.22047290316666676,0.9506863586171634,0.20076117810826602,0.06722028187118867
Jones County,0.004681846,0.027331048666666666,0.31882351416865234,0.7934245452576959,0.013918420230314947
Lamar County,0.023534775999999997,0.04557309633333334,0.7641405050086936,0.4463267996579121,0.019866900468294507
Lanier County,0.00019222699999999968,0.08569929933333334,0.003902393344977469,0.9975156529314526,0.04925837026672048
Laurens County,-0.004045034500000001,0.026549471833333338,-0.8077998845561616,0.40131635780913943,0.0029516879514498284
Lee County,0.002222171500000001,0.013867091166666665,0.5765973406997877,0.6087603127158181,0.0031487785901933587
Liberty County,0.002777208,0.006761792000000001,0.8400836055254359,0.3650116754357968,0.0017932926600228974
Lincoln County,0.05187219949999999,0.20805184850000003,0.6044075609243762,0.5868197505557212,0.06837323303825237
Long County,-0.004574053,0.03960110633333334,-0.9629729446582134,0.17378166459638414,0.001280571557316629
Lowndes County,-8.491650000000016e-05,0.008514633166666665,-0.08353344080299788,0.9467589191554797,0.0010130040598882526
Lumpkin County,-0.0009195815000000006,0.01971610583333333,-0.2678239123123974,0.82739091227478,0.00330809608757516
Macon County,-0.08658338050000002,0.2751120675,-0.7820015152165389,0.42839778543333845,0.06900931484092555
Madison County,-0.005438784499999998,0.04859109016666667,-0.7125112935733269,0.4951154427482745,0.005355958647091302
Marietta City,0.0008723920000000004,0.014855654666666666,0.5491245669222464,0.6299224965342514,0.001327737610207806
Marion County,-0.01187693549999999,0.13298251083333332,-0.3509130625073156,0.7717425304221226,0.031693485121865886
McDuffie County,-0.005592986499999999,0.0467167715,-0.5040053561535187,0.6637183563947435,0.009584551692973267
McIntosh County,0.03883674250000001,0.15615211350000002,0.6114289492440166,0.5811900314656567,0.05026174932027109
