SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,65.26477149999982,5374.110393166668,0.4427594852555721,0.7079991094993713,132.16889510378678
Atkinson County,348.7126910000002,7443.793063666668,0.9109665258686526,0.27067486881992286,157.89505700693735
Atlanta Public Schools,81.97484650000001,3321.3016308333326,0.4647459354670823,0.692291325890031,156.18026291023955
Bacon County,463.38765250000006,7093.767781166667,0.8874003380229071,0.3050181034864248,240.72734453167524
Baker County,142.13581899999963,7256.930560333334,0.16497344878056028,0.8944923104646282,849.7626510540289
Baldwin County,119.57904150000012,4737.550506833333,0.4706804098952204,0.6880169724409619,224.15430413669347
Banks County,5.623042499999883,6257.560195833334,0.03825542836743794,0.9756398936894884,146.87919164281374
Barrow County,119.99663599999984,5777.940343333335,0.7011872421841716,0.5053073957074921,122.01428853962547
Bartow County,47.26417450000008,5217.067296166667,0.1985291453328555,0.872767104180633,233.33289574066328
Ben Hill County,257.5810915000002,6700.1350821666665,0.9925245281724161,0.07789065272698925,31.673340793623403
Berrien County,164.6971410000001,6366.169924666667,0.5703180458550405,0.61363992182076,237.211813997934
Bibb County,199.47635199999968,4943.265802666667,0.6182219251251214,0.575706600304455,253.61302051904815
Bleckley County,270.64709700000003,6988.511900666666,0.7121206224471374,0.4954698002427739,266.8223882235173
Brantley County,386.4245180000002,7059.771413333333,0.8401965129146408,0.3648791475619012,249.40722299384475
Bremen City,297.9879195000003,6510.765188166667,0.8547478358884877,0.34742346735953933,180.9524178681098
Brooks County,259.8807139999999,5440.335500333334,0.9461892555817693,0.2097957079892729,88.88389435647535
Bryan County,219.48355649999985,5346.364966499999,0.8100891535575722,0.3988373013963978,158.85249456751785
Buford City,-153.84614749999992,4934.400321499999,-0.5711850533117726,0.6129677274230234,221.08456220027622
Bulloch County,90.71674249999978,5584.788543166666,0.4172395779481809,0.7259951915167699,197.59166013170804
Burke County,-89.83572550000008,2349.8918968333337,-0.7114338851150549,0.496092219611825,88.73955823255375
Butts County,42.713220999999976,5207.957003666667,0.20493584658273162,0.8686028489395606,203.99871958487518
Calhoun City,153.9259444999998,5012.452975166667,0.7491761043490108,0.4608993352733092,136.09091457937885
Calhoun County,314.37110200000006,6557.1967553333325,0.9590397586909917,0.1828395037622553,92.85576745046197
Camden County,305.2345335,5375.2483078333335,0.7260595371196806,0.48269932961058487,289.0795774073097
Candler County,-33.711396499999864,6361.359971166667,-0.23978971210040403,0.8458430073600767,136.4856784032873
Carroll County,229.80308400000013,5784.194675999999,0.7713009680356906,0.4392126798901163,189.63142972752462
Carrollton City,142.83610249999992,5081.273256833332,0.6462750935776164,0.5526517215802054,168.6570874384602
Cartersville City,22.745832000000064,5028.0697943333325,0.10167147661246588,0.9351618925668239,222.5596058241903
Catoosa County,142.4648460000003,6717.673462666668,0.6430623005707732,0.5553272398617869,169.65938511495673
Charlton County,418.7845545,5756.249345833333,0.9235563007205521,0.25053717087935384,173.88037936527044
Chattahoochee County,416.8750795000001,6441.9555365,0.9993157579967484,0.023551835142485385,15.429390052081011
Chattooga County,250.92384949999996,6615.1175668333335,0.5261565463011477,0.6472651771206084,405.54957246660706
Cherokee County,127.19376599999985,4858.214032,0.6481203988471658,0.5511106949807026,149.45197154079776
Chickamauga City,275.92034550000017,6483.905689833333,0.8413270795052255,0.3635497511904529,177.2702002494753
Clarke County,329.10313050000013,5014.620575499999,0.9141452789353275,0.2657262725508452,145.94402912164446
Clay County,-22.74258800000007,9191.863559333331,-0.14295294950584495,0.9086804784139786,157.4574711135629
Clayton County,406.36423749999994,5143.717372166667,0.9980559424315649,0.03970270202841718,25.37575532307235
Clinch County,304.5846120000001,5994.033923333334,0.7952942360007061,0.41463271318865025,232.17367599305143
Cobb County,193.69081199999982,4523.5847926666665,0.7647249532672952,0.44574967950274313,163.20377714367868
Coffee County,230.2792690000001,6481.436092666667,0.6887299869098547,0.5163371086612677,242.41227056689735
Colquitt County,590.0660760000001,6849.299184333333,0.9892671880475782,0.09335575184704879,87.15460963404671
Columbia County,149.56246199999987,4910.459259666667,0.686887869719644,0.517952679217151,158.24493300211722
Commerce City,306.99992900000007,6717.102009,0.9860613661730505,0.10641699114478845,51.801312991467576
Cook County,202.8494384999999,6490.667347166667,0.8667616307309322,0.3323947413246858,116.7167588944764
Coweta County,59.24226700000008,4771.981130333334,0.3685670715306936,0.759696977918866,149.42105327918244
Crawford County,-67.82607800000005,6209.893149666667,-0.08764828964003799,0.9441296747652832,770.8655636228527
Crisp County,70.72197200000028,6571.749052333333,0.7350108762410102,0.47435405398748093,65.24176802793124
Dade County,227.1115794999996,5541.487236500001,0.9919049776718126,0.08105831109648802,29.07451922307293
Dalton Public Schools,242.10908449999988,5816.191770833332,0.7734730573301436,0.43703556599467835,198.3983812705418
Dawson County,31.56621300000006,4834.382476,0.1504546558898076,0.9038524950736446,207.41725671676855
Decatur City,138.18322149999995,5146.279645833332,0.7491307841757532,0.46094289184194454,122.18910875775987
Decatur County,314.43895299999986,5505.362065333333,0.7335682124682233,0.47570700008037065,291.31263690134836
DeKalb County,260.52166750000015,4662.117529833333,0.9783677403184649,0.13265758469142475,55.0866268374211
Dodge County,552.2251084999998,6743.784705166667,0.9999187471858911,0.008115537093554368,7.040067443000516
Dooly County,-215.39653200000018,5174.229344333333,-0.9829148780875653,0.1178486030818829,40.33516839962653
Dougherty County,386.2287965,5912.473510833333,0.9932288596465673,0.07412614065028812,45.17569182039601
Douglas County,42.93033050000031,5618.0304075,0.4758186198323011,0.6843037369667723,79.35605808984572
Dublin City,158.75371399999995,4432.615827,0.9993235305721673,0.02341767061566137,5.842293976470844
Early County,216.30194699999993,6065.538036666666,0.6748302115530687,0.5284337050564314,236.54098379195926
Echols County,252.80798000000001,7071.959733666666,0.4481573452249286,0.7041608615843238,504.2846729340334
Effingham County,118.80746700000009,6086.676458,0.39388893013867476,0.7422589168729647,277.2427216924494
Elbert County,293.6015160000002,6554.869950666667,0.8233708269879775,0.3841815101644223,202.3631994329137
Emanuel County,279.8910609999998,6532.017047000001,0.7226600044938591,0.4858385079666283,267.70781317369716
Evans County,337.7629529999999,6287.207988333334,0.8929362276103091,0.2972826338152511,170.28674026831095
Fannin County,-75.55220449999979,4988.1247355,-0.8809115432181289,0.3138609047902049,40.591384036062195
Fayette County,122.77778499999977,5009.858970666666,0.6874331689783382,0.5174748462743073,129.71017537028325
Floyd County,104.7498099999998,6465.005162333333,0.5286728993001749,0.6453796471065981,168.1840028751096
Forsyth County,49.74705149999999,4527.089663166667,0.21341439139073376,0.8630831139602178,227.73050638949817
Franklin County,56.35558100000025,6554.236673666667,0.1567187464669676,0.8998167607153233,355.15349452330565
Fulton County,150.76225799999997,3688.732431333333,0.6877180269846801,0.5172250968639363,159.14962759488125
Gainesville City,-16.16077949999999,5036.3866395,-0.07203826480111915,0.9540992573243208,223.75319176922505
Gilmer County,17.52606650000007,4920.6916365,0.08595281721348828,0.9452131354643707,203.14873614699525
Glascock County,400.3546974999999,7075.5388495,0.963239355295451,0.17315145719036557,111.657756028216
Glynn County,150.16381650000017,3871.0447765,0.5899345389641178,0.5983070774973912,205.5311685687048
Gordon County,93.639138,6181.7990003333325,0.42682403327304413,0.7192647388720323,198.39820373533405
Grady County,292.52585899999985,6239.5671569999995,0.8866266330286584,0.30608483550015375,152.58856659693603
Greene County,152.7915620000001,3830.467824333333,0.5412419911838405,0.6359085927612809,237.3750851899594
Griffin-Spalding County,386.8730679999999,5826.176695333334,0.9431727936384812,0.21565110509116664,136.30478330562005
Gwinnett County,108.76667300000007,5257.751141333333,0.47207985900315014,0.6870067822825654,203.10947026651274
Habersham County,147.70071050000024,6447.544528166666,0.5515989850024868,0.6280357853176611,223.34804891952714
Hall County,70.74397399999998,5360.542518666667,0.2354625691804486,0.8486789866235387,291.99925705983526
Hancock County,191.2652079999998,5148.016009333334,0.44226001799168596,0.7083536853432688,387.87873373240166
Haralson County,-133.22993599999973,8334.936968666665,-0.2125668932546899,0.8636353188104143,612.4432922894015
Harris County,80.25831449999987,4863.6520185,0.37520785934968276,0.7551426622928874,198.2759593421127
Hart County,12.973414500000217,5139.636170499999,0.0897764877981761,0.9427694585274968,143.92439899029162
Heard County,377.7345799999998,5529.7412810000005,0.9076487082899601,0.27575093059962996,174.6785744840042
Henry County,-121.80976549999967,5023.875930833333,-0.40577825123083217,0.7340010492962088,274.36330298359485
Houston County,346.3384154999999,5937.5497221666665,0.9514494568867853,0.19918889498137335,112.04452586029763
Irwin County,148.37436800000023,7460.451903000001,0.44239366749094305,0.708258816032354,300.7846939150963
Jackson County,134.9590975000001,5006.7880655,0.4338132249590553,0.7143355382732444,280.3015693179618
Jasper County,24.797807999999804,6136.566659,0.17754899912633063,0.8863663514771467,137.4483640778148
Jeff Davis County,-7.277486500000122,7023.615882833333,-0.22101148205960827,0.8581283429039203,32.11382036654744
Jefferson City,21.071525500000007,5115.0614735,0.17902942943642774,0.8854085341456432,115.7970959186336
Jefferson County,183.16600049999988,6589.3899815,0.5237697262506387,0.6490504589139822,297.9014658491656
Jenkins County,208.68364199999994,6956.04937,0.5552094247496537,0.6252762150194698,312.6106761036617
Johnson County,343.0868069999997,7181.534216,0.9824440070574311,0.1194662542803894,65.14924302849148
Jones County,53.502333499999615,6989.430302833334,0.23473689485477883,0.8491542873439741,221.55623138944188
Lamar County,-310.34650950000014,5396.292441833333,-0.6267117513689845,0.5688007107544366,385.8837480859644
Lanier County,143.08771549999983,7657.9313775,0.6628058498643365,0.5387309383120804,161.65040787284508
Laurens County,96.37192349999987,6952.293207166667,0.6088754088534093,0.583241866115112,125.55697993943056
Lee County,327.2756180000001,5449.155200000001,0.9908397274908907,0.0862345690043654,44.60490169364014
Liberty County,268.195874,5682.919788333333,0.7202161126746999,0.48808526685968767,258.3402733018305
Lincoln County,31.181839000000306,6243.677666666667,0.11154905265826297,0.928837562524271,277.7901756099996
Long County,242.3159875000001,6237.8929198333335,0.9234733269064948,0.2506748869936747,100.67165624589579
Lowndes County,226.75874650000011,5528.2781955,0.8463342282324431,0.35760921743244595,142.71376822193528
Lumpkin County,-328.5468685000001,5753.0255584999995,-0.9766078312544524,0.13796871199398222,72.33902143775133
Macon County,-68.84690150000006,4778.396307166666,-0.29373812347792894,0.8102012760676247,224.04236746650307
Madison County,97.7960334999998,7509.074171833334,0.4949742439523293,0.6703549781221769,171.6770565855214
Marietta City,165.7099400000002,4771.128404333334,0.718048945026187,0.490070758086798,160.61982176520937
Marion County,326.40553,6536.741429333334,0.9945577707019526,0.06644781375022922,34.193158619364326
McDuffie County,204.07191099999997,6158.9919709999995,0.6693946375969906,0.5331071130879563,226.48292029643608
McIntosh County,52.541374500000074,4661.0869354999995,0.4272109146615345,0.71899236049242,111.19891152057934
Meriwether County,294.46562200000017,6007.784484666667,0.7933831932254636,0.41663544659485446,225.92847639917636
Miller County,385.9309014999999,6486.634067833333,0.8982237315409757,0.28971602089563114,188.8521745843716
Mitchell County,-85.83894949999967,5301.579488166666,-0.7816599677883883,0.4287465249585549,68.49291024350181
Monroe County,135.1640050000001,4480.593917666667,0.6509614485115717,0.5487318860994316,157.6198635784782
Montgomery County,312.20538350000015,5920.456388166665,0.9884222377185601,0.096967754871336,47.92526243298339
Morgan County,148.02979950000008,5137.8694405,0.9023619609203261,0.2836633942581164,70.70082353524165
Murray County,123.35429900000008,5853.452567666667,0.36877817927919393,0.7595523982594701,310.9185346334508
Muscogee County,234.35199200000034,4845.958784666665,0.9723157050380707,0.15014777715837432,56.320473726126906
Newton County,261.09451149999995,5817.8119358333315,0.9352959625723463,0.2302665281392,98.78433227958085
Oconee County,151.39655249999987,4962.6463845,0.7295560998152023,0.4794534084873314,141.926409101729
Oglethorpe County,36.57331750000003,6827.3737275,0.15389218384417994,0.9016383087903398,234.8244224260872
Paulding County,104.2018465000001,5916.088739833333,0.7168542808279142,0.49116254409213855,101.34824898490699
Peach County,119.62228200000025,5101.364358,0.6634196842850777,0.5382088688666433,134.9177235326034
Pelham City,469.575777,8012.042143999999,0.9773550524328452,0.13573872086930364,101.66730515669185
Pickens County,117.02293000000009,5203.764633666667,0.5513259270936307,0.6282441695487553,177.08409802972974
Pierce County,309.5559294999998,6490.200648833334,0.8498147972452677,0.3534274286253039,191.99615683720432
Pike County,-107.98130949999995,6191.601575833334,-0.5072626797462487,0.6613147820878998,183.45006919628997
Polk County,246.1900424999999,6015.6954905,0.7931411693111232,0.4168884967228812,189.04459445943732
Pulaski County,421.6491890000002,6458.199287666666,0.8777493454493703,0.3180883470016645,230.15751573681675
Putnam County,145.90880700000002,4196.701997,0.638013778061155,0.5595125458292773,176.0987383667558
Quitman County,557.5384650000005,8881.985173999998,0.9304623897514281,0.23881102051218123,219.5414686095338
Rabun County,81.06749849999983,3554.5994488333336,0.533873813694984,0.6414714619431361,128.39695378921854
Randolph County,-229.03446499999973,6614.063655666665,-0.7645855310131027,0.4458874099721708,193.0690667610233
Richmond County,611.4594135000002,4370.893033833334,0.9611146012364353,0.17811719629800696,175.68602847575463
Rockdale County,257.33312849999993,5856.818326833332,0.7492124208097081,0.4608644296108808,227.49141871482382
Rome City,353.0455529999999,5406.426605333333,0.9488138807701791,0.20456971664065815,117.51978816701406
Savannah-Chatham County,54.54875099999981,3875.491368,0.32028650639921175,0.7924416393615955,161.34042880199237
Schley County,264.0132615000002,7080.1601661666655,0.5605058970850191,0.6212134320086364,390.0809927442803
Screven County,468.36046750000014,5860.021090833334,0.9234968961261637,0.2506357751814696,194.54947512363873
Seminole County,113.55668550000019,5925.194540166667,0.3077731243955704,0.8008324471268062,351.0528044806332
Social Circle City,224.54954650000036,6234.319104499999,0.7796035977946997,0.4308411610408686,180.38575377505228
Stephens County,18.066625000000386,6344.6671989999995,0.18130336665769836,0.8839368174383018,97.9971362608254
Stewart County,-29.439426999999792,7054.262758666666,-0.39344737546057057,0.7425647114235836,68.7895121086177
Sumter County,293.292238,5925.974838666667,0.8513828330244748,0.35152895593301614,180.70005546737033
Talbot County,-58.223147000000154,6101.941739,-0.11092979775700297,0.9292342544598491,521.6254708302323
Taliaferro County,592.1678750000001,10580.917155,0.9815838603914021,0.12236668200175038,115.24523075635136
Tattnall County,227.51824499999975,6482.260480999999,0.9649698773972492,0.16900204248199052,61.85876565040599
Taylor County,588.717697,6039.136109666666,0.9872531305722775,0.10175582877297229,94.9088989085343
Telfair County,637.3081684999997,6152.957876833333,0.9999999901221659,8.948000201669896e-05,0.089576759997019
Terrell County,-308.07261849999986,5896.624169833334,-0.933646614261157,0.23321572632871307,118.19270462818635
Thomas County,415.7921580000002,6554.503953333333,0.9656888702335533,0.16724851756696557,111.8185783890745
Thomaston-Upson County,315.3197759999998,6511.512282666667,0.7169765467993837,0.49105089552162706,306.5770592176372
Thomasville City,287.82677950000016,4904.431640166667,0.8058883747381173,0.40337624579796216,211.45966094036496
Tift County,232.18253349999986,5832.585544166666,0.9074130993351536,0.2761080701137285,107.52802151422667
Toombs County,226.28459500000008,6145.881875666667,0.9500830629563836,0.20199582962139828,74.30943043792972
Towns County,56.548012499999906,4241.610063166667,0.2962264459884189,0.8085433887069648,182.3267655428992
Treutlen County,667.6338055000001,7301.177840499999,0.9314825498344895,0.237032118040449,260.7411558174174
Trion City,319.26180899999963,8373.352508333335,0.9138089249665492,0.26625399002792804,141.89660714685868
Troup County,313.6029840000001,4905.517999666667,0.8638981901365144,0.33603188763517955,182.83555979774937
Turner County,401.2930265,6459.137906166667,0.7981860012341766,0.41158638097050476,302.86595416695917
Twiggs County,-65.38006649999988,4900.7792645,-0.26639895727551954,0.8283322705712577,236.5527926256903
Union County,-179.46455800000012,5595.596658,-0.9802083603889958,0.12686882116258527,36.245710995116546
Valdosta City,357.83886699999994,4443.689349666667,0.9529237118379493,0.19611683371812044,113.86050925192467
Vidalia City,202.11122650000016,5577.0461841666665,0.9192761881025348,0.2575500675695303,86.53942300364007
Walker County,230.98670249999986,6974.737090166667,0.8856246554176801,0.30746122349577576,121.12425315887087
