SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,-2.0,215.66666666666666,-0.2574846452537247,0.8342126435295312,7.505553499465134
Atkinson County,4.5,106.5,0.8660254037844387,0.3333333333333332,2.5980762113533156
Atlanta Public Schools,25.5,2518.8333333333335,0.7538134915718446,0.45642441099982883,22.22798536380059
Bacon County,-1.5,134.83333333333334,-0.10545266042842769,0.9327417013042685,14.145081595145832
Baker County,1.0,217.77902623333333,0.002919155889494723,0.9981416050027414,342.56332210763117
Baldwin County,-33.0,274.33333333333337,-0.9975602281428747,0.04447931264432299,2.309401076758487
Banks County,3.4999999999999996,176.5,0.2312865101592814,0.8514130465764803,14.722431864335457
Barrow County,6.5,789.5,0.31022807393717594,0.79918915757554,19.918584287042087
Bartow County,0.5,841.8333333333334,0.011944325861962542,0.9923958251706632,41.85789451624787
Ben Hill County,-6.5,190.5,-0.8322397195638238,0.37411662787016775,4.330127018922194
Berrien County,0.5,185.5,0.1147078669352809,0.9268136049596727,4.330127018922194
Bibb County,-140.5,1346.1666666666667,-0.9713864121134272,0.15265896570138313,34.35234101678275
Bleckley County,-6.5,177.16666666666666,-0.5198613887753597,0.6519671756600405,10.680979980008077
Brantley County,0.0,215.66666666666666,0.0,1.0,16.743157806499145
Bremen City,-15.499999999999998,189.83333333333334,-0.9719189649569495,0.15122487562460563,3.752776749732572
Brooks County,-2.5,132.16666666666666,-0.7777137710478189,0.4327586173847452,2.0207259421636907
Bryan County,7.5,636.5,0.8660254037844387,0.3333333333333332,4.330127018922193
Buford City,12.499999999999998,318.5,0.7953559537197221,0.4145678966042724,9.526279441628827
Bulloch County,12.0,615.0,0.8108848540793832,0.39797250716048393,8.660254037844386
Burke County,10.0,255.66666666666669,0.7997867519620918,0.4098917390126868,7.505553499465134
Butts County,1.5,210.83333333333334,0.3711537444790452,0.7579245633526466,3.7527767497325675
Calhoun City,10.0,254.0,0.985329278164293,0.10918255350924792,1.7320508075688834
Calhoun County,-4.0,49.333333333333336,-0.5694947974514993,0.61427773384502,5.773502691896258
Camden County,-6.999999999999999,560.3333333333334,-0.43636510833477593,0.7125312256056966,14.433756729740644
Candler County,16.0,115.0,0.9773555548504419,0.13573720933030262,3.464101615137747
Carroll County,-11.5,963.8333333333334,-0.9025972107457433,0.28331569662201117,5.484827557301447
Carrollton City,21.5,361.8333333333333,0.9851060195933472,0.11001224287459606,3.752776749732578
Cartersville City,16.0,290.3333333333333,0.7034524581126589,0.5032816033489418,16.165807537309526
Catoosa County,7.5,726.1666666666666,0.2445796660497751,0.8427000592501979,29.733538863265725
Charlton County,-10.0,106.0,-0.8873565094161138,0.30507862328820284,5.196152422706631
Chattahoochee County,-2.5,94.83333333333333,-0.45392064950160177,0.7000499066542565,4.907477288111819
Chattooga County,-35.5,198.16666666666666,-0.957595977322703,0.18605672599857218,10.680979980008088
Cherokee County,23.0,2891.0,0.553133980780464,0.6268635116139292,34.64101615137755
Chickamauga City,-1.0,102.66666666666667,-0.3973597071195132,0.739853061706994,2.309401076758503
Clarke County,1.0,613.0,0.041204282171516456,0.9737611109889153,24.24871130596428
Clay County,0.0,204.77902623333333,0.0,1.0,354.6876777606133
Clayton County,11.5,2835.8333333333335,0.9996850889545595,0.015977192409072038,0.28867513459480465
Clinch County,-5.5,91.83333333333333,-0.5490856186527705,0.6299521646649339,8.371578903249572
Cobb County,-44.0,7930.666666666667,-0.44122980348467256,0.7090847356544494,89.48929172439199
Coffee County,-9.5,437.8333333333333,-0.8660254037844387,0.3333333333333332,5.4848275573014424
Colquitt County,-46.0,574.0,-0.9936804516261774,0.0716089193120202,5.19615242270663
Columbia County,5.0,1887.3333333333333,0.1706640371965723,0.8908174464907525,28.867513459481287
Commerce City,1.0,105.0,0.06401843996644799,0.9592167054631655,15.588457268119896
Cook County,10.0,185.33333333333334,0.8660254037844386,0.3333333333333333,5.773502691896259
Coweta County,13.0,1572.6666666666667,0.5521509898336354,0.6276143848039353,19.629909152447276
Crawford County,-1.5,90.5,-0.8660254037844387,0.3333333333333332,0.8660254037844385
Crisp County,-2.5,246.5,-0.12453387034667947,0.9205129090293452,19.91858428704209
Dade County,9.5,119.5,0.6449020216370241,0.5537963357084223,11.258330249197702
Dalton Public Schools,-38.0,541.3333333333333,-0.9810467818963953,0.12414377196157066,7.5055534994651465
Dawson County,-4.5,252.83333333333334,-0.47346567108652876,0.6860055893859276,8.371578903249572
Decatur City,19.5,309.1666666666667,0.8548576198925039,0.347288791081662,11.835680518387333
Decatur County,-19.0,366.3333333333333,-0.8545621490691667,0.34765114983018774,11.547005383792516
DeKalb County,-162.5,5340.166666666667,-0.9999605546022764,0.005654506635816498,1.4433756729749585
Dodge County,5.5,197.16666666666666,0.8660254037844386,0.3333333333333333,3.175426480542942
Dooly County,0.5,82.5,0.1147078669352809,0.9268136049596727,4.330127018922194
Dougherty County,-61.0,832.3333333333334,-0.9955507876850578,0.06007556168408659,5.773502691896303
Douglas County,9.0,1902.6666666666667,0.21444786770603222,0.8624095895331814,40.99186911246343
Dublin City,-11.0,161.0,-0.7269004605005988,0.4819202867568529,10.392304845413264
Early County,-7.5,136.83333333333334,-0.31970420914438963,0.7928329149328027,22.22798536380059
Echols County,-6.0,57.0,-0.5694947974514994,0.6142777338450199,8.660254037844387
Effingham County,-10.5,791.1666666666666,-0.33882722372774143,0.7799395743477533,29.1561885940761
Elbert County,2.5,158.5,0.38124642583151164,0.7509898829886106,6.06217782649107
Emanuel County,6.0,219.66666666666666,0.9011271137791661,0.2854820100499837,2.8867513459481264
Evans County,4.0,98.33333333333333,0.7034524581126589,0.5032816033489418,4.0414518843273814
Fannin County,-6.5,197.83333333333334,-0.280669978874907,0.8188867199922373,22.22798536380059
Fayette County,-27.999999999999996,1616.0,-0.8029550685469662,0.40651972837366046,20.784609690826528
