SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.004763568999999995,0.17395089433333333,0.9721846412171294,0.1505044352713428,0.001147624533480072
Atkinson County,-0.03415013350000001,0.36843661850000003,-0.9943036887000724,0.0679826908260609,0.003660714496533531
Atlanta Public Schools,8.538800000000048e-05,0.011101066,0.9144957496804104,0.2651753553103578,3.777776016388485e-05
Bacon County,0.018862313500000005,0.24597462616666665,0.8869955393830872,0.3055766406706567,0.009819892941751167
Baker County,0.008780451499999842,4.5877710485000005,0.013286596727447753,0.9915412409274438,0.6607919712854533
Baldwin County,-0.008934473000000005,0.11621451833333335,-0.8038725807456059,0.40553873050529887,0.006610796836884741
Banks County,0.0017314875000000035,0.23240491183333334,0.2202938702543086,0.8585967334608692,0.007666808873025466
Barrow County,0.001137972000000001,0.039493306666666665,0.6905651034825265,0.5147237959359978,0.001191866307257792
Bartow County,-0.005830140999999999,0.040732804666666664,-0.809376314094761,0.39961066330338646,0.00423040015222453
Ben Hill County,-0.03206668100000001,0.18765173766666668,-0.8397372463493441,0.36541795690700735,0.020735036087312836
Berrien County,-0.046197433499999996,0.2266963218333333,-0.9489270316981161,0.2043415191505113,0.015359545680614836
Bibb County,-0.00036620499999999966,0.017741920333333334,-0.3898384030918209,0.7450617250533242,0.0008650560326824686
Bleckley County,0.012314303999999998,0.28593258066666666,0.8201543050130519,0.38777507489574536,0.008590499733021431
Brantley County,-0.0003435155000000023,0.22897952850000003,-0.06163508079784399,0.9607370028263533,0.0055627799472717605
Bremen City,-0.003124606,0.031334821666666665,-0.7587159455982446,0.45165412351145384,0.002682737700126744
Brooks County,-0.019598139999999986,0.332384449,-0.9956993763009161,0.059063150676205226,0.0018234753773955657
Bryan County,-0.000368727499999999,0.045638265166666664,-0.3429848166172282,0.7771241119277303,0.001009843067164438
Buford City,-0.009671694499999998,0.0720588915,-0.904974566951966,0.2797793569602725,0.004547060320392367
Bulloch County,-0.001320626499999998,0.0508777955,-0.9882877175285798,0.09753055252076893,0.0002039186717021026
Burke County,-0.017550429999999978,0.34789921766666665,-0.6836626854781782,0.5207719389933048,0.01873478183099406
Butts County,-0.0586685245,0.19835054616666664,-0.9131148027142698,0.26733992361270614,0.026195289019081365
Calhoun City,-0.00046689250000000315,0.0641877415,-0.06934529856405462,0.9558179532278517,0.0067166566068168725
Calhoun County,0.06769815949999991,1.8663546811666667,0.33839135872714216,0.7802344752919945,0.18825639760399077
Camden County,0.0008992380000000001,0.042126311666666666,0.47614979348997133,0.684064006699797,0.00166073303821696
Candler County,0.03130519750000001,0.19284555350000004,0.8304321250173249,0.37618718547086,0.02100201237806556
Carroll County,-0.001387303000000003,0.037385477,-0.9709121929078309,0.15392494024994038,0.0003421216037142363
Carrollton City,-0.021945393,0.06790362533333333,-0.8662197951316641,0.3330857431860266,0.012658801291617476
Cartersville City,0.001465118500000001,0.08813975983333332,0.26039021542093227,0.8322975844444311,0.005432527417141501
Catoosa County,0.00017616749999999765,0.0492583585,0.9742085483940545,0.14490083323073247,4.080451895011076e-05
Charlton County,0.002164893000000001,0.3633245763333333,0.7039491697234921,0.5028365392380035,0.0021842713755667533
Chattahoochee County,-0.02873798500000002,0.6352821386666667,-0.2976193121198024,0.8076147837614901,0.0921839124477592
Chattooga County,-0.060013605000000005,0.24209419966666668,-0.8675127432906367,0.3314346871808157,0.03441063549611253
Cherokee County,5.307000000000402e-06,0.01232222333333333,0.0309035794497206,0.9803230374185201,0.00017164565767980656
Chickamauga City,0.021300830500000003,0.06190013216666666,0.8148055649289181,0.39368732082171864,0.015155545313849647
Clarke County,-0.005214791999999999,0.05829387866666666,-0.7745006125094056,0.4360024633531984,0.004259179908443095
