SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL
601,Appling County,221,90.57,244,3628,45.8,41.2,13,13.1,222,204,220,0,797586.15,22189806.06,1344802.03,2498397.45,594424.45,1059181.02,0,1764742.48,28151.15,2158920.67,0,232.26,6461.8,391.61,727.55,173.1,308.44,0,513.9,8.2,628.69,1002
602,Atkinson County,109,93.16,117,1727,58,33.9,8.1,8.9,106,117,90,0,611883.3,9684279.26,638906.58,1184630.04,378327.68,442824.64,0,1140505.26,15125.8,1037521.99,0,373.1,5905.05,389.58,722.34,230.69,270.02,0,695.43,9.22,632.64,952
761,Atlanta Public Schools,2590,80.69,3210,58359,45.8,35.9,18.3,21,2489,2577,2695,964119.55,15846212.23,507539083.1,58560064.15,79578049.77,6468398.37,44371182.64,0,39534722.77,79019.17,33367351.83,18.76,308.27,9873.53,1139.21,1548.09,125.83,863.19,0,769.1,1.54,649.12,964
603,Bacon County,144,94.74,152,2220,44.7,42.1,13.2,14,148,117,141,0,805132.96,12961821.67,619653.42,1761648.86,366462.06,977493.88,0,1305433.52,7350.29,1162546.68,0,386.9,6228.65,297.77,846.54,176.1,469.72,0,627.31,3.53,558.65,1019
604,Baker County,20,86.96,23,297,51.2,36.7,12.1,11.8,22,11,17,0,534938.14,2377298.26,238359.21,502601.57,157864.45,245848.72,0,189472.39,2405.97,341048.17,0,1959.48,8708.05,873.11,1841.03,578.26,900.54,0,694.04,8.81,1249.26,
605,Baldwin County,274,91.33,300,5209,51.9,35.4,12.7,11.9,270,236,230,0,2003450.74,26444530.79,2437223.06,3811943.39,762232.14,1514908.4,58028,3235063.69,57801.21,2831384.18,0,414.28,5468.27,503.97,788.24,157.62,313.26,12,668.95,11.95,585.48,915
606,Banks County,175,90.21,194,2935,35.8,45.9,18.3,16.5,172,204,167,0,786287.33,18856062.07,691439.33,2196165.61,525114.23,825822.56,52697.41,1498006.96,17789.28,1933763.41,0,282.63,6777.88,248.54,789.42,188.75,296.84,18.94,538.46,6.39,695.1,1055
607,Barrow County,815,90.96,896,14551,48.1,39,12.9,12.9,818,800,863,0,3164732.66,82016826.81,5111618.03,9368100.54,2053915.8,4483742.86,0,7803591.85,57126.1,8175593.08,0,226.33,5865.47,365.56,669.96,146.89,320.66,0,558.08,4.09,584.68,983
608,Bartow County,881,91.11,967,14202,45,40.3,14.7,15.3,891,817,884,0,2035024.7,80815226.17,2469186.46,10147030.73,2015399.51,4452581.96,0,9269429.02,83334.49,7168339.12,0,154.38,6130.73,187.32,769.76,152.89,337.78,0,703.19,6.32,543.8,1035
609,Ben Hill County,193,87.33,221,3116,50.4,37.6,12,11.8,200,176,176,0,1208516.18,18574068.65,217130.33,2431346.1,424918.05,802573.02,0,2148585.29,21037.92,1624751.45,0,407.18,6258.11,73.16,819.19,143.17,270.41,0,723.92,7.09,547.42,937
610,Berrien County,190,87.56,217,3265,41.9,43.9,14.2,15.1,196,184,196,0,823901.37,16074226.35,965673.16,1696886.92,433999.88,627836.78,0,1471598.78,21435.7,2157810.28,0,271.56,5298.03,318.28,559.29,143.05,206.93,0,485.04,7.07,711.21,1002
611,Bibb County,1397,81.6,1712,25998,51,35.3,13.8,15.7,1344,1176,1093,600000,6299558.09,140660976.9,15002960.14,20026045.6,4414499.62,7795658.4,2273.76,16183360.22,0,10347935.17,25.99,272.9,6093.44,649.93,867.53,191.24,337.71,0.1,701.06,0,448.27,933
612,Bleckley County,171,93.44,183,2600,56.4,35.1,8.5,9,178,183,169,0,800890,13994878.58,412746.38,1790244.72,300996.25,732677.45,0,1540265.26,23991.88,1834843.71,0,330.13,5768.71,170.13,737.94,124.07,302.01,0,634.9,9.89,756.32,1087
613,Brantley County,209,86.72,241,3546,50.2,38.5,11.3,11.6,210,240,225,0,955865.84,18083096.95,1181537.71,3372823.66,661461.25,892237.54,0,2463729.37,26370.35,2705538.53,0,290.89,5503.07,359.57,1026.42,201.3,271.53,0,749.77,8.03,823.35,1041
763,Bremen City,192,97.96,196,2313,64.2,31.6,4.2,4.2,193,169,181,0,1061525.03,13436903.55,554017,1917721.9,328026.01,670598.07,0,1507981.6,13299.69,171048.86,0,472,5974.61,246.34,852.7,145.85,298.18,0,670.51,5.91,76.06,1042
614,Brooks County,131,92.91,141,2342,45.4,38.3,16.4,17.5,144,125,140,0,1749276.93,11670013.38,173334.24,2265672.03,293552.33,1457167.37,0,1954339.77,21163.7,1638346.41,0,833.78,5562.45,82.62,1079.92,139.92,694.55,0,931.53,10.09,780.91,947
615,Bryan County,656,91.24,719,9958,51.7,39.3,8.9,8.6,656,663,698,0,1132874.3,51537774.83,3896404.62,6333905.8,1254667.2,2848866.6,0,5124080.31,29512.08,4245261.03,0,119.73,5446.82,411.8,669.4,132.6,301.09,0,541.54,3.12,448.66,1063
764,Buford City,325,93.39,348,5113,63.7,31.9,4.5,4.1,328,319,393,0,3541210.81,34755480.78,309922.78,3823576.88,615394.17,2650029.27,59269.8,3385270.19,12916.61,1939873.19,0,697.09,6841.63,61.01,752.67,121.14,521.66,11.67,666.39,2.54,381.86,1112
616,Bulloch County,630,81.19,776,11180,45.3,41.1,13.5,14.7,633,619,648,0,1292616.03,61691757.22,3623720.58,7438476.09,1344557.69,3867736.3,0,7386913.15,71617.04,5805599.09,0,126.94,6058.31,355.86,730.48,132.04,379.82,0,725.42,7.03,570.13,1043
617,Burke County,268,93.38,287,4197,56.6,35.1,8.3,8.6,258,258,284,0,2808921.33,30793340.27,1238864.95,4928653.24,696215.3,1682767.87,0,3955575.46,21414.59,5898678.99,0,716.93,7859.45,316.2,1257.95,177.7,429.5,0,1009.59,5.47,1505.53,969
