SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2019-20 5 year grad rate PROGRAM_TOTAL,2019-20 5 year grad rate PROGRAM_PERCENT,2019-20 5 year grad rate TOTAL_COUNT,2019-20 Attendance STUDENT_COUNT_ALL,2019-20 Attendance FIVE_OR_FEWER_PERCENT_ALL,2019-20 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2019-20 Attendance OVER_15_PERCENT_ALL,2019-20 Attendance CHRONIC_ABSENT_PERC_ALL,2019-20 Completers PROGRAM_TOTAL,2019-20_Debt Services_x,2019-20_General Administration_x,2019-20_Instruction_x,2019-20_Instructional Support_x,2019-20_Maintenance and Operations_x,2019-20_Media_x,2019-20_Pupil Services_x,2019-20_Renovation and Capital Projects_x,2019-20_School Administration_x,2019-20_School food Services_x,2019-20_Transportation_x,2019-20_Debt Services_y,2019-20_General Administration_y,2019-20_Instruction_y,2019-20_Instructional Support_y,2019-20_Maintenance and Operations_y,2019-20_Media_y,2019-20_Pupil Services_y,2019-20_Renovation and Capital Projects_y,2019-20_School Administration_y,2019-20_School food Services_y,2019-20_Transportation_y,2019-20 SAT DSTRCT_AVG_SCORE_VAL
601,Appling County,205,93.18,220,3533,57.4,34.4,8.2,8.4,204,0,840706.12,23400454.37,1548058.98,2626114.12,728864.8,1106500.16,0,1940018.29,28718.91,2174104.39,0,245.96,6846.24,452.91,768.32,213.24,323.73,0,567.59,8.4,636.08,1005
602,Atkinson County,117,94.35,124,1702,60.3,33.2,6.5,6.9,117,0,709881.34,10170087.07,778278.06,1302918.74,400379.38,457838.43,0,1335656.86,17234.95,957559.83,0,427.12,6119.19,468.28,783.95,240.9,275.47,0,803.64,10.37,576.15,1004
761,Atlanta Public Schools,2629,82.23,3197,57060,52.9,33.9,13.2,15,2577,965257.66,16233088.07,536868463.9,53650002.03,86616672.64,5767413.71,44109047.83,0,40036251.78,74220.97,32820440.26,18.7,314.47,10400.4,1039.33,1677.97,111.73,854.5,0,775.6,1.44,635.81,969
603,Bacon County,119,94.44,126,2147,52.1,38,9.9,10.1,117,0,841554.59,13714842.26,601891.66,1786445.47,376858.28,1093518.42,0,1368898.77,21022.32,1116274.72,0,410.31,6686.91,293.46,871.01,183.74,533.16,0,667.43,10.25,544.26,954
604,Baker County,TFS,TFS,TFS,278,60.1,32.4,7.6,8.3,11,0,549634.79,2276205.35,214198.19,470072.01,30530.7,179877.46,0,229186.64,2391.33,372490.63,0,2198.54,9104.82,856.79,1880.29,122.12,719.51,0,916.75,9.57,1489.96,
605,Baldwin County,250,87.72,285,5031,57.8,32.9,9.3,8.7,236,0,1953720.13,29166488.9,2352203.77,3882935.86,899338.97,1627059.81,0,3245879.94,42663.04,2742632.36,0,411.83,6148.08,495.83,818.49,189.57,342.97,0,684.21,8.99,578.13,904
606,Banks County,200,90.5,221,2945,50.9,38.8,10.4,10.2,204,0,775853.6,20133062.06,1037536.87,2281201.88,538995.1,917888.57,0,1491511.59,19455.88,1842439.39,0,279.39,7249.93,373.62,821.46,194.09,330.53,0,537.09,7.01,663.46,1043
607,Barrow County,790,87.88,899,14712,56.2,35.7,8.1,9.5,800,0,3501975.17,86816712.14,6216892.46,10227529.63,2152729.29,5777699.07,0,8716015.57,58573.52,8201357.45,0,246.6,6113.42,437.78,720.2,151.59,406.85,0,613.76,4.12,577.52,1004
608,Bartow County,805,92.64,869,13930,52.3,37.9,9.9,10.4,817,0,2383100.23,88887132.53,2587996.57,11033995.73,2134914.06,5338361.08,0,10089528.49,72964.73,7292174.55,0,181.13,6755.88,196.7,838.64,162.26,405.74,0,766.86,5.55,554.24,1007
609,Ben Hill County,179,85.65,209,3092,54.7,37.1,8.2,9.3,176,0,1605401.92,19830438.23,860206.63,2415008.84,309900.66,882894.18,0,2257932.3,20651.66,1610892.85,0,553.21,6833.37,296.42,832.19,106.79,304.24,0,778.06,7.12,555.1,928
610,Berrien County,183,89.27,205,3223,54.3,37.2,8.5,8.7,184,0,892579.92,16638930.35,1156612.83,2071405.04,481377.06,837664.88,0,1577648.26,25245.85,1942928.08,0,293.52,5471.53,380.34,681.16,158.3,275.46,0,518.79,8.3,638.91,1012
611,Bibb County,1185,77.76,1524,23508,59.5,31.5,9.1,11.3,1176,600000,5958718.4,128480294.1,16119411.43,20360868.8,4317177.23,8130889.64,20887,17453076.04,136141.45,9088558.36,28.52,283.2,6106.19,766.1,967.68,205.18,386.43,0.99,829.48,6.47,431.95,915
612,Bleckley County,183,95.81,191,2541,64.4,30.3,5.3,5.3,183,0,975026.48,14589192.22,402025.58,1830690.77,307803.98,789470.05,0,1601847.53,29151.8,1755405.74,0,406.94,6088.98,167.79,764.06,128.47,329.5,0,668.55,12.17,732.64,1107
613,Brantley County,236,94.78,249,3489,58.6,34.8,6.6,7.7,240,0,971398.75,19863006.84,1127372.09,3478115.52,673294.72,1173156.33,95038.35,2566237.5,22453.3,2521268.62,0,298.71,6107.94,346.67,1069.53,207.04,360.75,29.22,789.13,6.9,775.3,1034
763,Bremen City,170,97.14,175,2312,74.9,22.9,2.2,2.3,169,0,1204459.95,14617362.29,481341.89,1946609.71,345592,681425.04,0,1609078.99,11841.81,131688.51,0,531.07,6445.05,212.23,858.29,152.38,300.45,0,709.47,5.22,58.06,1129
614,Brooks County,134,91.78,146,2321,53.7,36.4,9.8,11,125,0,1900320.37,12764856.37,290312.81,2101152.49,352652.77,1421262.63,147144.51,2160719.04,21685.72,1533034.23,0,893.85,6004.17,136.55,988.31,165.88,668.51,69.21,1016.33,10.2,721.09,1025
615,Bryan County,650,94.2,690,10055,68.9,26.8,4.3,4.5,663,0,1983593.93,55530156.06,4186314.73,7286503.05,1364858.59,3088876.94,0,6038501.44,28557.54,4462710.61,0,207.53,5809.81,437.99,762.35,142.8,323.17,0,631.77,2.99,466.91,1065
764,Buford City,326,94.22,346,5340,74.1,23.5,2.4,2.4,319,0,4083384.68,37562701.38,364629.67,4728888.09,744615.26,2558416.07,0,4052648.91,11610.79,1618919.31,0,769.58,7079.29,68.72,891.23,140.33,482.17,0,763.79,2.19,305.11,1115
