SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
601,Appling County,205,92.76,221,41.45976668,19,3533,57.4,34.4,8.2,8.4,1.9,27.29712988,46.57,0,0,237.9581432,6623.394953,438.1712369,4348.681613,743.3099689,206.301953,0,313.1899689,0,549.1135834,8.12876026,0,209.5860543,5591.990659,615.370617,0,0,245.96,6846.24,452.91,4494.99,768.32,213.24,0,323.73,0,567.59,8.4,0,216.64,5780.14,636.08,1005
602,Atkinson County,114,91.94,124,43.2160804,19.41111111,1702,60.3,33.2,6.5,6.9,1.833333333,37.77292576,43.59,0,0,417.0865687,5975.374307,457.2726557,1645.134395,765.5221739,235.2405288,0,269.0002526,0,784.757262,10.1262926,0,185.233161,7974.827262,562.6085958,0,0,427.12,6119.19,468.28,1684.73,783.95,240.9,0,275.47,0,803.64,10.37,0,189.69,8166.76,576.15,1004
761,Atlanta Public Schools,2570,80.26,3202,48.37741917,19,57060,52.9,33.9,13.2,15,4,53.040497,40.2,16.91653803,23.1292904,284.491554,9408.840938,940.2383812,11623.69587,1517.992861,101.0763006,39.56249877,773.0292294,0,701.6518013,1.300753067,0,105.1898267,3583.617911,575.1917326,18.7,25.57,314.47,10400.4,1039.33,12848.66,1677.97,111.73,43.73,854.5,0,775.6,1.44,0,116.28,3961.28,635.81,969
603,Bacon County,117,92.86,126,41.72876304,19.41111111,2147,52.1,38,9.9,10.1,1.833333333,34.68815697,52.14,0,98.12050769,391.9676712,6387.909762,280.3407825,1927.605277,832.0658919,175.5278435,6.131383326,509.3239031,0,637.5867583,9.791485794,0,208.9329809,7835.123428,519.9230182,0,102.71,410.31,6686.91,293.46,2017.83,871.01,183.74,6.42,533.16,0,667.43,10.25,0,218.71,8201.86,544.26,954
604,Baker County,614.3370787,89.71179775,704.2752809,63.41463415,19.41111111,278,60.1,32.4,7.6,8.3,1.833333333,57.69230769,0,0,0,1977.103561,8187.789029,770.4970863,8948.438597,1690.906511,109.8226619,0,647.041223,0,824.4123741,8.601906475,0,486.0272662,8380.28777,1339.894353,0,0,2198.54,9104.82,856.79,9950.66,1880.29,122.12,0,719.51,0,916.75,9.57,0,540.46,9318.88,1489.96,998.0346821
605,Baldwin County,244,85.02,287,53.01306363,15.6,5031,57.8,32.9,9.3,8.7,2.7,58.36685438,27.97,0,0,388.3363407,5797.354184,467.5419936,3807.260759,771.8019996,178.7594852,0,323.4068396,0,645.1758974,8.480031803,0,119.0280759,5115.960644,545.1465633,0,0,411.83,6148.08,495.83,4037.59,818.49,189.57,0,342.97,0,684.21,8.99,0,126.23,5425.46,578.13,904
606,Banks County,197,88.34,223,24.25905598,20.1,2945,50.9,38.8,10.4,10.2,1.7,31.33640553,50,0,0,263.4477419,6836.35384,352.3045399,3234.969158,774.601657,183.0204075,0,311.6769338,0,506.4555484,6.606410866,0,421.3870934,6432.78472,625.6160917,0,0,279.39,7249.93,373.62,3430.67,821.46,194.09,0,330.53,0,537.09,7.01,0,446.88,6821.95,663.46,1043
607,Barrow County,773,85.13,908,20.67213472,19.3,14712,56.2,35.7,8.1,9.5,1.5,42.63908627,46.75,0,0,238.0352889,5901.081576,422.572897,3412.599765,695.1828188,146.3247206,0,392.7201652,0,592.4426026,3.981343121,0,116.024028,6038.826944,557.4604031,0,0,246.6,6113.42,437.78,3535.4,720.2,151.59,0,406.85,0,613.76,4.12,0,120.2,6256.12,577.52,1004
608,Bartow County,794,91.16,871,25.48958898,20.2,13930,52.3,37.9,9.9,10.4,1.1,29.51209366,49.2,0,6.866961953,171.0768291,6380.985824,185.785827,4258.129676,792.1030675,153.2601622,29.11640488,383.2276439,0,724.302117,5.23795621,0,128.202542,5533.761091,523.4870459,0,7.27,181.13,6755.88,196.7,4508.3,838.64,162.26,30.83,405.74,0,766.86,5.55,0,135.73,5858.88,554.24,1007
609,Ben Hill County,179,85.65,209,45.57137895,16,3092,54.7,37.1,8.2,9.3,2.2,31.96891192,49.43,0,36.91445343,519.2114877,6413.466439,278.2039554,2270.405191,781.0507245,100.2266041,95.53700194,285.5414554,0,730.2497736,6.679062096,0,158.1094405,6921.14295,520.9873383,0,39.33,553.21,6833.37,296.42,2419.05,832.19,106.79,101.79,304.24,0,778.06,7.12,0,168.46,7374.28,555.1,928
610,Berrien County,181,88.29,205,36.71641791,21.1,3223,54.3,37.2,8.5,8.7,1.1,28.59266601,46.2,0,0,276.9407136,5162.559836,358.8621874,1841.501948,642.6947068,149.356829,0,259.9022277,0,489.4968228,7.833028235,0,197.85861,6804.775675,602.8321688,0,0,293.52,5471.53,380.34,1951.71,681.16,158.3,0,275.46,0,518.79,8.3,0,209.7,7212.03,638.91,1012
611,Bibb County,1166,76.06,1533,54.73251029,17.7,23508,59.5,31.5,9.1,11.3,2.9,52.19221835,26.53,25.52322614,51.54322954,253.4761953,5465.386001,685.6989718,3886.227695,866.1250978,183.6471512,0.69612132,345.8775583,0.88850604,742.4313442,5.791281691,0,96.91623235,5435.589246,386.6155505,28.52,57.59,283.2,6106.19,766.1,4341.88,967.68,205.18,0.78,386.43,0.99,829.48,6.47,0,108.28,6072.9,431.95,915
612,Bleckley County,183,95.81,191,29.64360587,19,2541,64.4,30.3,5.3,5.3,1.833333333,28.07520714,44.81,0,0,383.717623,5741.516025,158.2154978,1703.174754,720.4607517,121.1349784,0,310.6926604,0,630.4004447,11.47256985,0,184.6665958,7567.258953,690.8326407,0,0,406.94,6088.98,167.79,1806.25,764.06,128.47,0,329.5,0,668.55,12.17,0,195.84,8025.21,732.64,1107
613,Brantley County,235,94.38,249,36.98798891,20.7,3489,58.6,34.8,6.6,7.7,1.6,28.38547614,52.08,0,0,278.4175265,5693.037214,323.1218372,1641.530476,996.8803439,192.9764173,0,336.2442906,27.2394239,735.522356,6.435454285,0,227.3657036,7734.186586,722.633597,0,0,298.71,6107.94,346.67,1761.16,1069.53,207.04,0,360.75,29.22,789.13,6.9,0,243.94,8297.84,775.3,1034
763,Bremen City,170,97.14,175,11.35957066,22.8,2312,74.9,22.9,2.2,2.3,1.833333333,21.35231317,72.19,0,34.58403547,520.960186,6322.388534,208.192859,2248.909624,841.9592171,149.4775087,0,294.7340138,0,695.9684213,5.121890138,0,121.0168166,7017.698962,56.9586981,0,35.25,531.07,6445.05,212.23,2292.54,858.29,152.38,0,300.45,0,709.47,5.22,0,123.36,7153.84,58.06,1129
