SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,PROGRAM_TOTAL_Grad_Rate,PROGRAM_PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,direct_cert_perc,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_REV_EXP_VALUE,Federal_Revenues_REV_EXP_VALUE,General Administration_Expenditures_REV_EXP_VALUE,Instruction_Expenditures_REV_EXP_VALUE,Instructional Support_Expenditures_REV_EXP_VALUE,Local_Revenues_REV_EXP_VALUE,Maintenance and Operations_Expenditures_REV_EXP_VALUE,Media_Expenditures_REV_EXP_VALUE,Other_Revenues_REV_EXP_VALUE,Pupil Services_Expenditures_REV_EXP_VALUE,Renovation and Capital Projects_Expenditures_REV_EXP_VALUE,School Administration_Expenditures_REV_EXP_VALUE,School food Services_Expenditures_REV_EXP_VALUE,State Lottery_Revenues_REV_EXP_VALUE,State Other_Revenues_REV_EXP_VALUE,State QBE_Revenues_REV_EXP_VALUE,Transportation_Expenditures_REV_EXP_VALUE,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
601,Appling County,216,87.45,247,44.27784578,21.35454545,3495,38.1,42.2,19.8,18.4,1.2,27.97779112,44.19,0,0,1202.517651,6640.353185,470.9900715,4630.981605,695.6678627,210.8971474,0,379.4004006,0,568.7007868,8.538649499,0,163.7716023,5428.332189,610.5988269,0,0,1258.32,6948.51,492.85,4845.89,727.95,220.68,0,397.01,0,595.09,8.93,0,171.37,5680.25,638.94,1019
602,Atkinson County,114,94.21,121,45.92164419,21.35454545,1664,52.3,36.1,11.7,12.4,2.287288136,37.71775701,48.28,0,2.030288462,349.7423678,5101.272482,343.6907692,1897.81488,618.9060697,154.2380048,0,232.0853846,0,524.2292067,18.2143149,0,192.7782692,8050.057692,481.3111478,0,2.09,360.35,5256.05,354.12,1955.4,637.68,158.92,0,239.13,0,540.13,18.77,0,198.63,8294.3,495.91,1048.509554
761,Atlanta Public Schools,2557,83.13,3076,54.39046893,20,52688,42.4,20,37.6,38.4,2.5,49.58234596,42.22,18.31442492,25.07475251,302.7573539,10643.44272,1018.547592,13168.32464,1451.547594,98.53993908,84.63757573,892.106863,0.037959308,746.9349406,2.466968949,0,77.14039326,3395.080607,561.9403145,19.39,26.55,320.59,11270.41,1078.55,13944.02,1537.05,104.34,89.62,944.66,0.04,790.93,2.61,0,81.68,3595.07,595.04,1086
603,Bacon County,140,95.89,146,46.46464646,21.35454545,2107,28.4,39.9,31.7,29.3,2.287288136,37.61543739,48.94,0,142.1743522,385.3741671,6067.59158,273.0679307,2002.523953,907.732411,155.1594495,15.91585192,605.4641006,0,645.3531182,18.0265496,0,182.1271856,7881.559089,582.4980161,0,148.81,403.37,6350.93,285.82,2096.03,950.12,162.4,16.66,633.74,0,675.49,18.87,0,190.63,8249.6,609.7,1019
604,Baker County,22,91.67,24,61.95652174,21.35454545,306,31.7,46.1,22.2,19.3,2.287288136,35,52.63,0,0,1628.138366,6641.546242,626.3294444,8215.635163,1537.489575,126.1938562,0,493.9987908,0,773.2113725,10.69398693,0,542.7901634,7050.591503,1165.777255,0,0,1805.11,7363.45,694.41,9108.64,1704.61,139.91,0,547.69,0,857.26,11.86,0,601.79,7816.96,1292.49,820
605,Baldwin County,207,84.84,244,59.63127781,18.1,5030,45.8,30,24.2,24.6,2.3,46.6603235,26.92,0,-12.85586481,413.9332724,5519.473396,443.7539264,4039.080439,682.9780934,165.9090378,0,304.4870258,0,669.0320915,9.067900596,0,50.97007753,4847.293042,444.1931093,0,-13.76,443.09,5908.27,475.01,4323.6,731.09,177.6,0,325.94,0,716.16,9.71,0,54.56,5188.74,475.48,990
606,Banks County,175,88.83,197,27.0993766,20.6,2888,37.2,40.8,22,22.2,3.5,23.4747229,48.9,0,0,258.9882445,6511.068556,447.3737742,3617.568355,548.7500277,146.9360111,0,333.0954155,0,507.3799515,9.022209141,0,375.8159037,6184.00554,667.7800866,0,0,269.15,6766.45,464.92,3759.46,570.27,152.7,0,346.16,0,527.28,9.38,0,390.56,6426.56,693.97,1078
607,Barrow County,814,90.95,895,24.72034148,21.4,14780,24.6,36.1,39.4,39.4,3.3,43.48834863,48.19,0,2.926522327,209.4531942,5914.734358,417.4702246,3657.928078,519.9962605,152.0835947,0,406.9353329,0,587.2197815,4.858102842,0,103.6216103,5947.488633,592.0658681,0,3.1,221.99,6268.9,442.47,3876.96,551.13,161.19,0,431.3,0,622.38,5.15,0,109.83,6303.61,627.52,1053
608,Bartow County,867,93.63,926,29.8700288,21.4,13947,37,37.5,25.4,25.1,1.5,32.19234807,53.48,0,13.66834445,157.7970395,6565.135854,191.5550929,4892.114219,735.4108747,141.9520872,51.43471714,405.7028135,0,725.4126063,5.171563777,0,109.2107693,5176.880835,347.7883839,0,14.6,168.51,7011.02,204.56,5224.37,785.36,151.59,54.93,433.26,0,774.68,5.52,0,116.63,5528.48,371.41,1051
609,Ben Hill County,180,84.51,213,49.20578892,21.35454545,3064,38,37.1,24.8,25.1,3.2,37.71908764,41.28,0,0,569.5834987,4791.778512,90.55329308,2550.77748,669.1354569,94.54,0,289.6924282,0,724.27875,9.928097258,0,166.3318505,7233.583877,320.0278198,0,0,608.3,5117.47,96.71,2724.15,714.62,100.97,0,309.38,0,773.51,10.6,0,177.64,7725.24,341.78,955
